pre_gaze_horizontal,pre_gaze_vertical,measured_head_horizontal,measured_head_vertical
-1.328504597321575609e-01,-9.947002449288692816e+00,1.466114941032500951e+00,1.677687609635168542e+01
9.211023600502139530e+00,-7.933170869212672116e+00,1.418905841964194003e+00,1.681984770525077977e+01
-1.543994352805242221e+00,-5.976984498087094089e+00,1.171952267032077888e+00,1.701390515648425605e+01
-4.523850712045851097e+00,-5.875654812320601827e+00,6.981582026455129819e-01,1.730117789141720053e+01
-9.871209977793979462e+00,-4.348058222678003126e+00,7.334329984061968566e-02,1.766264029834759697e+01
-9.145630500670412388e+00,-2.034816665949365166e+00,-1.350720217539484347e+00,1.844484349547581914e+01
-9.309031930340884387e+00,1.143658261962509304e+00,-2.600739561309830972e+00,1.915979653437115005e+01
-1.191945026358080995e+01,2.336687088076447427e+00,-4.823867134939168189e+00,2.032019350702127269e+01
-1.038027591834150520e+01,2.692629294640272342e+00,-6.433901702967130376e+00,2.116664896790858919e+01
-1.076966059371818929e+01,3.506421505927643345e+00,-8.134214481966848709e+00,2.195116594317006786e+01
-9.537652880590110627e-01,3.232626054487765188e+00,-1.072917172537775876e+01,2.309097397055158041e+01
-1.429339665151557881e+01,3.507416696979408943e+00,-1.236936012605356083e+01,2.375585434944607854e+01
-9.987952304230704570e+00,1.628218132983892508e+00,-1.459218978401408506e+01,2.457738597697097305e+01
-9.337537979652955400e+00,2.080529560351545904e+00,-1.598262973343749671e+01,2.506705167539581325e+01
-8.709796065648863106e+00,4.988212313070495840e-01,-1.727827559423187154e+01,2.554518147555917551e+01
-5.774091061083085563e+00,-6.364662264901579380e-01,-1.886494068420386228e+01,2.621911537722343510e+01
-6.627399586129041786e+00,-1.871083912654888104e-01,-1.975318720727649691e+01,2.663537605973327871e+01
-3.104053026108192004e+00,-1.981704623846208546e-01,-2.068365558435365870e+01,2.724431955864789145e+01
-2.681048028608741696e+00,-1.715728516346100851e-01,-2.104643153207076267e+01,2.762675389490963340e+01
-1.999508007005494692e+00,7.888538962473347349e-02,-2.120100053386175532e+01,2.794234299401658461e+01
9.777920934386106211e-01,1.919641987034897412e-01,-2.106684559920782718e+01,2.827444956819855193e+01
2.253428339599347296e+00,-1.278125331936366127e-01,-2.091639052983948943e+01,2.845477065330474886e+01
2.687241190123093038e+00,1.621101994131669777e+00,-2.050502457763830577e+01,2.866775845272629297e+01
4.454430067437899154e+00,-9.388031738322355491e-01,-2.026420979078651285e+01,2.874404147019198774e+01
5.211302014206987465e+00,-1.251049738967034752e+00,-2.000999652288736286e+01,2.883595009066941017e+01
5.123296068819835014e+00,-1.435496266946307387e+00,-1.992209297308660609e+01,2.887574870484537470e+01
5.576475014358639903e+00,-2.089872240638984024e+00,-1.988182870772079980e+01,2.887762643896415327e+01
7.945814985485847082e+00,-2.089872240638984024e+00,-1.996429498053416651e+01,2.893223256772921914e+01
1.059841003885992805e+01,-3.727970211188921468e+00,-2.005011259494180109e+01,2.898806347412731199e+01
8.517147210427157944e+00,-3.981999001251768089e+00,-2.010006553715147248e+01,2.901536675139631072e+01
8.914735940293052607e+00,-4.468235856690062846e+00,-2.009044261686703337e+01,2.901865619198235535e+01
1.337167251532857204e+00,-4.737642374882542917e+00,-2.008735804528613755e+01,2.903236556027891169e+01
-1.013342531475736497e+00,-5.985175052069396706e+00,-2.004139608520007343e+01,2.901013284234179324e+01
2.484968818569174509e+00,-6.528194686501322508e+00,-1.995234207227640866e+01,2.901223081547545135e+01
2.372194133848311459e+00,-7.251728542152092061e+00,-1.989122902239060409e+01,2.902734627203608753e+01
2.908467809635119750e+00,-8.459107428834171216e+00,-1.976377322956568960e+01,2.898010520788043110e+01
3.592988366789445998e+00,-8.671468616001765994e+00,-1.963000009385585187e+01,2.896523773996519324e+01
4.464961065572182086e+00,-9.282268892854112607e+00,-1.939791093101741737e+01,2.896364702938127422e+01
4.523758422307546212e+00,-9.143887956062286548e+00,-1.920871139663051608e+01,2.896385123722888011e+01
4.638410344468645086e+00,-1.005390881702230033e+01,-1.899010422357072514e+01,2.896420370453794035e+01
4.758260278025792545e+00,-1.005945458656485059e+01,-1.859273607657984684e+01,2.894186799978881197e+01
5.772727252464258996e+00,-1.085625371452151988e+01,-1.824494689916929602e+01,2.894906517187445161e+01
4.981531133105987941e+00,-1.246797807079797948e+01,-1.767378540949747645e+01,2.892765983885064074e+01
5.529272022043565826e+00,-1.296190787068734807e+01,-1.725765508244386837e+01,2.884281666704990599e+01
5.914570375168791472e+00,-1.268940217403964787e+01,-1.678602879681866611e+01,2.869478602509391862e+01
7.448227805790292422e+00,-1.467740029094892584e+01,-1.606363201149651232e+01,2.843860116420021455e+01
8.046022738884445857e+00,-1.409064064946809935e+01,-1.559139289060367695e+01,2.824937807093295561e+01
7.498281849946867972e+00,-1.456443388787414506e+01,-1.486972423675998733e+01,2.791793883820703925e+01
7.973981293127402559e+00,-1.481302700151623952e+01,-1.436437500159773606e+01,2.768025595983165132e+01
7.072691015110768475e+00,-1.544421369073610784e+01,-1.386853716590591823e+01,2.745908656980667573e+01
4.675155829661552076e+00,-1.575575246375499106e+01,-1.308953521786683005e+01,2.704509879308254838e+01
4.526414029999349609e+00,-1.522705552054282663e+01,-1.250358640136454724e+01,2.668601251727951862e+01
6.354760770040339679e+00,-1.656749634026581219e+01,-1.153680457945595705e+01,2.616377046653463623e+01
6.066638301841282832e+00,-1.794373848069907140e+01,-1.079402708489915419e+01,2.574583610551352209e+01
7.937364462278998722e+00,-1.845609660769966709e+01,-9.777726740318113841e+00,2.527701834947162141e+01
1.054146443267730326e+01,-1.796917413069107994e+01,-7.338370509738312286e+00,2.466842181159872638e+01
1.406396890547682688e+01,-1.400416740053265663e+01,-5.302755868569724029e+00,2.413489312869566206e+01
1.764003977695971770e+01,-1.411091653993723760e+01,-2.167444659868396961e+00,2.322702453976145875e+01
1.806247595580733289e+01,-1.313437201697010792e+01,-1.984541298155542977e-01,2.266918835117384035e+01
1.805879605746423877e+01,-1.358736771933908827e+01,1.635906000233516400e+00,2.208281888628378908e+01
1.675751758549056802e+01,-1.348485986012448734e+01,4.244743455457241410e+00,2.123204694633528788e+01
1.791361147544233035e+01,-1.305164672273100734e+01,5.787626280901115194e+00,2.068801078109715164e+01
1.906593468985812834e+01,-1.418858766376188996e+01,8.047980340984191017e+00,1.993281934332051719e+01
1.748839523674895702e+01,-1.498140397401367707e+01,9.388603217836655190e+00,1.951560102447771428e+01
1.490043832646480126e+01,-1.472940020251898474e+01,1.049979921328247379e+01,1.911124218316602708e+01
1.064684381798461743e+01,-1.501496638965501162e+01,1.164163673398082999e+01,1.848762839298551341e+01
8.658383907491284504e+00,-1.580970687909871586e+01,1.206650368895179248e+01,1.805951955184418978e+01
7.479379766110743510e+00,-1.560902837913434560e+01,1.231692103230390600e+01,1.747253526013111724e+01
6.907023674938131741e+00,-1.428686107642385039e+01,1.236313965857809549e+01,1.712322833502904018e+01
6.456913807223377155e+00,-1.539674810702250873e+01,1.236848221450572716e+01,1.681144299304069634e+01
5.068457994395656918e+00,-1.520345851472791665e+01,1.233738803861128375e+01,1.643131944292881030e+01
4.123978187445863419e+00,-1.489191974170903343e+01,1.230506269596248714e+01,1.623355094264447729e+01
3.703482413941516782e+00,-1.485741674088141195e+01,1.225646632012565362e+01,1.599362454141366996e+01
2.967452430271002584e+00,-1.450931149511561635e+01,1.222125213386651943e+01,1.583937781509521869e+01
3.264029492707663849e+00,-1.375322915868163776e+01,1.217410525313133007e+01,1.569452814263231843e+01
2.438478145368460748e+00,-1.375322915868163776e+01,1.209229151379487277e+01,1.547179612274361737e+01
2.438478145368460748e+00,-1.375322915868163776e+01,1.203939354371770776e+01,1.530968527129257417e+01
2.438478145368460748e+00,-1.375322915868163776e+01,1.197773557665635558e+01,1.514483291267426424e+01
2.438478145368460748e+00,-1.512574243560183795e+01,1.187797057709340010e+01,1.488191220293523109e+01
2.019853543823495912e+00,-1.543172161253223251e+01,1.179675554059084952e+01,1.469451149047117333e+01
1.357441121381573357e+00,-1.505929918867782824e+01,1.165654572004127765e+01,1.446368372528054103e+01
7.240678973769820725e-01,-1.442721146632236007e+01,1.159638070284966993e+01,1.434092483561375886e+01
2.670472494401670449e+00,-1.353129259002604101e+01,1.166655264230828060e+01,1.424026356737863352e+01
2.727113755632157410e+00,-1.441943625229352577e+01,1.193678800847772159e+01,1.417856506279915862e+01
2.405204727439820722e+00,-1.502973631553399514e+01,1.205887141352061676e+01,1.408963714417115298e+01
2.928672324346658140e+00,-1.425638395706648787e+01,1.226201109957242963e+01,1.393333674753110962e+01
2.536121627884213137e+00,-1.440302766277920554e+01,1.237223054957387625e+01,1.383092014995833985e+01
2.267393884475027210e+00,-1.350068372397052663e+01,1.244062727537094837e+01,1.374316987711075200e+01
8.387286978081764932e-01,-1.270209930646517904e+01,1.240513899895805849e+01,1.366259312944439763e+01
3.252152104730593463e-01,-1.111109845294778253e+01,1.233914397383044737e+01,1.363493443670714278e+01
5.531271968005786910e+00,-1.077756964254056626e+01,1.211125482041982160e+01,1.363993522618516430e+01
-2.116640067589578678e+00,-1.077756964254056626e+01,1.186295092444100163e+01,1.368094401976847507e+01
-4.674643496150987509e+00,-1.094820634371978230e+01,1.161654806120309935e+01,1.368922899855817477e+01
-7.928344029716747343e-01,-1.020614242337874700e+01,1.123163056306167462e+01,1.368237666063327040e+01
-1.681249143782669542e+00,-1.061134003003326143e+01,1.098362407060637480e+01,1.365538813901414805e+01
-3.173803854638015842e+00,-1.061134003003326143e+01,1.073563869700085149e+01,1.362292501720500404e+01
-8.181504099814094211e-01,-1.082625768356093054e+01,1.063636176713812098e+01,1.359183482688403721e+01
-3.052258069699465004e+00,-1.172217655985724960e+01,1.060310746693044237e+01,1.354395111503016302e+01
-3.052258069699465004e+00,-1.125464870063720291e+01,1.066320426072738314e+01,1.344282939038672353e+01
-6.691450982724997942e-01,-1.131332396409978713e+01,1.075281312487271634e+01,1.338156006471764670e+01
-2.106953722232585424e-01,-1.142823293422825159e+01,1.090269198210699919e+01,1.329299246851103788e+01
-5.326044004155947587e-01,-1.098788067647613076e+01,1.099911884644558491e+01,1.324255484652549164e+01
3.499220889895211517e-01,-1.081429644288508207e+01,1.108690332807630519e+01,1.320306728548121633e+01
5.188264468353143144e-01,-1.048631340202041606e+01,1.117065899969397513e+01,1.316975416554477007e+01
3.344184516723423428e+00,-1.015278459161319979e+01,1.119524780249011542e+01,1.317679747811931357e+01
1.677676235807013416e+00,-1.015278459161319979e+01,1.120992459283927190e+01,1.319754158771340613e+01
8.899433991174283687e-01,-1.048076763247786580e+01,1.121297409356373898e+01,1.320274381075398473e+01
5.701144245604027327e-01,-1.082625768356093054e+01,1.119834958189845509e+01,1.319516418709667605e+01
1.678630949826038776e-01,-1.082625768356093054e+01,1.116592860630756512e+01,1.314041657754958869e+01
-1.716222963027064008e+00,-1.065828606602249629e+01,1.115347668450586660e+01,1.309389949913383511e+01
