pre_gaze_horizontal,pre_gaze_vertical,measured_head_horizontal,measured_head_vertical
-1.190977149165071580e+01,2.030345479633366068e+01,-2.600739561309830972e+00,1.915979653437115005e+01
-1.674331739851997725e+01,2.265688059509772145e+01,-4.823867134939168189e+00,2.032019350702127269e+01
-1.681417762130863736e+01,2.385927826254886241e+01,-6.433901702967130376e+00,2.116664896790858919e+01
-1.890387507568503622e+01,2.545758744909771210e+01,-8.134214481966848709e+00,2.195116594317006786e+01
-1.168293701343677071e+01,2.632360002503934737e+01,-1.072917172537775876e+01,2.309097397055158041e+01
-2.666275677756913964e+01,2.726327104642548704e+01,-1.236936012605356083e+01,2.375585434944607854e+01
-2.458014208824479141e+01,2.620560410995486578e+01,-1.459218978401408506e+01,2.457738597697097305e+01
-2.532016771309045211e+01,2.714758123574736004e+01,-1.598262973343749671e+01,2.506705167539581325e+01
-2.598807165988073464e+01,2.604400270686622676e+01,-1.727827559423187154e+01,2.554518147555917551e+01
-2.463903174528694962e+01,2.558264915073327828e+01,-1.886494068420386228e+01,2.621911537722343510e+01
-2.638058679340553780e+01,2.644826766846778909e+01,-1.975318720727649691e+01,2.663537605973327871e+01
-2.378770861046185203e+01,2.704614909626327091e+01,-2.068365558435365870e+01,2.724431955864789145e+01
-2.372747956067950525e+01,2.745518104327502229e+01,-2.104643153207076267e+01,2.762675389490963340e+01
-2.320050854086725067e+01,2.802122838364131852e+01,-2.120100053386175532e+01,2.794234299401658461e+01
-2.008905350576921478e+01,2.846641376690204339e+01,-2.106684559920782718e+01,2.827444956819855193e+01
-1.866296219024014391e+01,2.832695812011111158e+01,-2.091639052983948943e+01,2.845477065330474886e+01
-1.781778338751521318e+01,3.028886044685796364e+01,-2.050502457763830577e+01,2.866775845272629297e+01
-1.580977972334861370e+01,2.780523829635975375e+01,-2.026420979078651285e+01,2.874404147019198774e+01
-1.479869450868037539e+01,2.758490035170237675e+01,-2.000999652288736286e+01,2.883595009066941017e+01
-1.479879690426677108e+01,2.744025243789906909e+01,-1.992209297308660609e+01,2.887574870484537470e+01
-1.430535369336216078e+01,2.678775419832516747e+01,-1.988182870772079980e+01,2.887762643896415327e+01
-1.201847999504832032e+01,2.684236032709023334e+01,-1.996429498053416651e+01,2.893223256772921914e+01
-9.451702556081873041e+00,2.526009326293839052e+01,-2.005011259494180109e+01,2.898806347412731199e+01
-1.158291832672431454e+01,2.503336775014454219e+01,-2.010006553715147248e+01,2.901536675139631072e+01
-1.117570667657398076e+01,2.455042033529229428e+01,-2.009044261686703337e+01,2.901865619198235535e+01
-1.875019079375327991e+01,2.429472318539636788e+01,-2.008735804528613755e+01,2.903236556027891169e+01
-2.105473861667580948e+01,2.302495779027239564e+01,-2.004139608520007343e+01,2.901013284234179324e+01
-1.746737325370723326e+01,2.248403612897412884e+01,-1.995234207227640866e+01,2.901223081547545135e+01
-1.751903488854229352e+01,2.177561772988399724e+01,-1.989122902239060409e+01,2.902734627203608753e+01
-1.685530541993056985e+01,2.052099777904626166e+01,-1.976377322956568960e+01,2.898010520788043110e+01
-1.603701172706640676e+01,2.029376912396342902e+01,-1.963000009385585187e+01,2.896523773996519324e+01
-1.493294986544523439e+01,1.968137813652716162e+01,-1.939791093101741737e+01,2.896364702938127422e+01
-1.468495297432296987e+01,1.981996328116659356e+01,-1.920871139663051608e+01,2.896385123722888011e+01
-1.435169387910207917e+01,1.891029488751564003e+01,-1.899010422357072514e+01,2.896420370453794035e+01
-1.383447579855405429e+01,1.888241341322396138e+01,-1.859273607657984684e+01,2.894186799978881197e+01
-1.247221964670503702e+01,1.809281145735292995e+01,-1.824494689916929602e+01,2.894906517187445161e+01
-1.269225427639148762e+01,1.645968176805266125e+01,-1.767378540949747645e+01,2.892765983885064074e+01
-1.172838306040030254e+01,1.588090879636255792e+01,-1.725765508244386837e+01,2.884281666704990599e+01
-1.087145842164987464e+01,1.600538385105426897e+01,-1.678602879681866611e+01,2.869478602509391862e+01
-8.615404205706219898e+00,1.376120087325128871e+01,-1.606363201149651232e+01,2.843860116420021455e+01
-7.545370151719231089e+00,1.415873742146485625e+01,-1.559139289060367695e+01,2.824937807093295561e+01
-7.371442386813119363e+00,1.335350495033289420e+01,-1.486972423675998733e+01,2.791793883820703925e+01
-6.390393708470333500e+00,1.286722895831541180e+01,-1.436437500159773606e+01,2.768025595983165132e+01
-6.795846150795149754e+00,1.201487287907056789e+01,-1.386853716590591823e+01,2.745908656980667573e+01
-8.414379388205277976e+00,1.128934632932755733e+01,-1.308953521786683005e+01,2.704509879308254838e+01
-7.977172371365197634e+00,1.145895699673669199e+01,-1.250358640136454724e+01,2.668601251727951862e+01
-5.182043809415617375e+00,9.596274126268824034e+00,-1.153680457945595705e+01,2.616377046653463623e+01
-4.727388783057871358e+00,7.802097624814450683e+00,-1.079402708489915419e+01,2.574583610551352209e+01
