pre_gaze_horizontal,pre_gaze_vertical,measured_head_horizontal,measured_head_vertical
3.151137833527602083e+01,-1.774883282199149548e+01,1.469919916377167191e+01,-2.048875954634774565e+00
3.125253001204474401e+01,-1.808725350478067995e+01,1.580177882531261702e+01,-2.589784624902567778e+00
3.237026139841070460e+01,-1.940166724002722631e+01,1.682434378164014532e+01,-3.244389994892105555e+00
3.220255092814912956e+01,-1.968959601338967147e+01,1.789336340085697685e+01,-3.655736746819941096e+00
3.261211396882984559e+01,-1.941056577198925481e+01,1.890730122481685171e+01,-3.960398029748000148e+00
3.191912307467953624e+01,-2.000880280399888278e+01,1.969913839481164075e+01,-4.462344378602832506e+00
3.177519098432802025e+01,-2.037292858711133547e+01,2.044971389601803580e+01,-4.826470161715286089e+00
3.240949401646654593e+01,-2.063799560301368530e+01,2.108401692815656503e+01,-5.091537177617638577e+00
3.308336969471937294e+01,-2.099818431622846049e+01,2.175789260640938849e+01,-5.451725890832410215e+00
3.412001801190024963e+01,-2.134315277674627964e+01,2.246762667807692537e+01,-5.796694351350229368e+00
3.356941977259963750e+01,-2.146944392255781153e+01,2.311169299015518064e+01,-6.153108735322460277e+00
3.435385236295293510e+01,-1.988148814321045421e+01,2.389612558050847824e+01,-6.388288435738602722e+00
3.508102666130442771e+01,-1.884513984710806511e+01,2.462329987885997085e+01,-6.413939278974925884e+00
3.767152225936961685e+01,-1.715696975000468427e+01,2.541692594228700131e+01,-6.490790022984555208e+00
3.809335014942431030e+01,-1.591122928000567427e+01,2.634824516448364307e+01,-6.380672707231760832e+00
4.089771530899031404e+01,-1.317517396290002551e+01,2.726768168261271441e+01,-6.317131643846474631e+00
4.331761410347382224e+01,-1.130001634566133362e+01,2.839585598202273076e+01,-6.090246725439281583e+00
4.405305209509649700e+01,-1.219183476769060448e+01,2.953243354325603320e+01,-5.776123593469423056e+00
4.498292561307320625e+01,-9.835637881125631310e+00,3.066807661859732193e+01,-5.671643386950556476e+00
4.603947281830377847e+01,-8.933492866922980724e+00,3.182078121713453100e+01,-5.345928783488839819e+00
4.717228064413042432e+01,-1.158012291589262688e+01,3.295358904296117686e+01,-5.118213667044284598e+00
4.910446067859143682e+01,-9.269225492300353864e+00,3.413268105831949839e+01,-4.948915643093587668e+00
5.041191382655060238e+01,-5.261903298908161553e+00,3.544013420627867106e+01,-4.302901201911653928e+00
5.205605174117649625e+01,-2.263996306741643316e+00,3.670896438858898847e+01,-3.550577976549889048e+00
5.227301456803458279e+01,1.439670317491226648e+00,3.806555005797845581e+01,-2.741199671533313342e+00
5.760677603907306832e+01,5.371927470387669601e+00,3.948516996729495787e+01,-1.860087605275593914e+00
5.766901954472508862e+01,6.179150535156568758e+00,4.116515708624235970e+01,-1.109957541762224054e+00
5.452249390196779188e+01,9.319435692098270607e+00,4.321908676401109517e+01,-7.432370830432398490e-02
6.091671478983584365e+01,1.072471814931734180e+01,4.524485600833326515e+01,9.802400100834621766e-01
6.674671553940049762e+01,1.218558630017261990e+01,4.762881574842040067e+01,1.857048023561511219e+00
6.608197870679090613e+01,1.484436069626027788e+01,5.002698233387750548e+01,2.907076151530565422e+00
6.850876299978308737e+01,1.354347759446256916e+01,5.224081997935602573e+01,4.124888115016115187e+00
6.827611663761324223e+01,1.348266049326219829e+01,5.438020309748957004e+01,5.221752199212324363e+00
7.198970283647672375e+01,1.504813805194565646e+01,5.632956351239195669e+01,6.340478772829367671e+00
7.272461242909881207e+01,1.541339809427754126e+01,5.790677266540189549e+01,7.115152541723599455e+00
7.208095529512962685e+01,1.746926529796927952e+01,5.929095948760242862e+01,8.016102409610219581e+00
7.353683260941060951e+01,1.887207603725647331e+01,6.047598078634718632e+01,9.051164758228978258e+00
7.407698226549152309e+01,1.870259260797175216e+01,6.157832865563397462e+01,9.733967094718257940e+00
7.538380005548945917e+01,2.004216370861998797e+01,6.288514644563191780e+01,1.053473120348205860e+01
7.419225603042551143e+01,2.468131407463578597e+01,6.411252527766590958e+01,1.131641521977697629e+01
7.653632059646956520e+01,2.377615598370210392e+01,6.518031400825586275e+01,1.186909289370175813e+01
7.619172744578924039e+01,2.345956604308477722e+01,6.605886014909296478e+01,1.275837531340505215e+01
7.618832121606776298e+01,2.205311529205051357e+01,6.679983274791419490e+01,1.325164302386945536e+01
7.478007082771178204e+01,2.023995451904352194e+01,6.756102009534542674e+01,1.349382137923123537e+01
7.980567222900003799e+01,1.966509159192253975e+01,6.801534464932036883e+01,1.389012431018765525e+01
7.832093811583480658e+01,1.974470858503279658e+01,6.849077522957313136e+01,1.408981633368127007e+01
7.870272224076160228e+01,1.923472322951374025e+01,6.887255935449992705e+01,1.430085557938184060e+01
7.896865624339034184e+01,1.967453300597465216e+01,6.913849335712866662e+01,1.464850378918256446e+01
8.207010583504724366e+01,2.045601011102637656e+01,6.946964926074885227e+01,1.517396834335555944e+01
8.243616841566860387e+01,2.036589500181718293e+01,6.983571184137021248e+01,1.548490440425210934e+01
7.882055127038591991e+01,1.718308727748756581e+01,7.006108544974033236e+01,1.582775510777591776e+01
7.908377745891834820e+01,1.466542159919024080e+01,7.032431163827276066e+01,1.593729606877563221e+01
7.946771710299205438e+01,1.421983703883690708e+01,7.070825128234646684e+01,1.607961039702286499e+01
8.039169856981636997e+01,1.564375570645318092e+01,7.104189020872740912e+01,1.653866523513751829e+01
8.171683654073854086e+01,1.524755506157199925e+01,7.129705652022052220e+01,1.660124044912728891e+01
8.141583334697369878e+01,1.123584077055715014e+01,7.184602923319225454e+01,1.628939195612210611e+01
8.020105525925423251e+01,1.350447318940204511e+01,7.249008897813040164e+01,1.607565480014852355e+01
8.187025307611281733e+01,1.062848634082372001e+01,7.336275624413080720e+01,1.597668762344778237e+01
8.043769414488836844e+01,1.015177661541166287e+01,7.430853287210126723e+01,1.604561123446007542e+01
8.440314789337288914e+01,4.963591880016153368e+00,7.548315922709500114e+01,1.572108638618866117e+01
8.872834197829246250e+01,2.336769944786128761e+00,7.716560949584143714e+01,1.515117869445910692e+01
9.085141335492784265e+01,-1.878114201886660339e-02,7.871208874891551943e+01,1.454062983584164925e+01
9.475949462055990580e+01,2.789000578269309472e+00,8.026244405082313449e+01,1.383705140502370412e+01
9.774007504101719235e+01,1.679604783853717365e+00,8.180222042760408385e+01,1.303367103662298554e+01
9.976153135683389905e+01,-2.359986569192537686e+00,8.307912527236437938e+01,1.184545059520041299e+01
1.011962547104282919e+02,-4.946857605216495202e+00,8.438407553892393764e+01,1.068481592569475147e+01
1.019232170523718963e+02,-5.752890216764530606e+00,8.570171822482149082e+01,9.878783314146716066e+00
1.038902991505047169e+02,-6.427823956418167839e+00,8.710660210974843665e+01,8.813264197037156578e+00
1.048790252365565721e+02,-7.622700330853770190e+00,8.846341222280757677e+01,7.787273088580801250e+00
1.045767943883352586e+02,-8.766013741045002305e+00,8.970540864783723123e+01,6.778352285142037914e+00
1.043836704691962041e+02,-1.074445428537046077e+01,9.067885772518320664e+01,5.669485348677392622e+00
1.043425534766957128e+02,-1.221460036191858478e+01,9.155526889147645875e+01,4.580818312585921426e+00
1.036445244805475170e+02,-1.377295028040597025e+01,9.231904739223753609e+01,3.495732363504699070e+00
1.043469072162400693e+02,-1.519471089601824332e+01,9.302143012793008836e+01,2.584557322235219168e+00
1.041990507305991542e+02,-1.571301165467358096e+01,9.365013332481339603e+01,1.873579454324153293e+00
1.041329757079801510e+02,-1.604837862431001483e+01,9.425766367065421036e+01,1.059974996740515429e+00
1.047577133125454907e+02,-1.621075773048276503e+01,9.488240127521955003e+01,4.716353771797877625e-01
1.049171783742963271e+02,-1.613435310098622111e+01,9.549069776389347908e+01,2.274901638292296802e-02
1.045011053166471271e+02,-1.624336291643093944e+01,9.603240758929155163e+01,-2.045099797860788216e-01
1.036495641318929586e+02,-1.600734417134340504e+01,9.656921114028318698e+01,-3.739278910612287565e-01
1.050731088739462393e+02,-1.694736244843156570e+01,9.709727820236655305e+01,-9.316635747025072689e-01
1.047262324160554527e+02,-1.582427167420892999e+01,9.764587942444568114e+01,-1.279466546362678869e+00
1.059343999546354667e+02,-1.477286141139655840e+01,9.825670980947242583e+01,-1.412042227922263748e+00
1.037292713142089013e+02,-1.454053134338281161e+01,9.872134294478502170e+01,-1.509197817655787643e+00
1.056584804598673060e+02,-1.357793498096132723e+01,9.916734856505937046e+01,-1.512201733736443288e+00
1.040006962612094981e+02,-1.444097847186997541e+01,9.973794119322549534e+01,-1.813802321132702566e+00
1.061330568636881537e+02,-1.430512967211932818e+01,1.005390016656048715e+02,-1.960833381136694475e+00
1.078911172839064108e+02,-1.204313614421025136e+01,1.014978159885686892e+02,-1.941899467766026399e+00
1.173063214602551199e+02,-9.017332250110214886e+00,1.028803677169409241e+02,-1.788579976191112308e+00
1.181535267003309286e+02,-6.680095976201831043e+00,1.043876634415755120e+02,-1.548701964881402660e+00
1.200528533514034280e+02,-4.453865137776118921e+00,1.060762989756282906e+02,-1.171490446430022425e+00
1.213211010520123523e+02,-4.897072260332348215e+00,1.079332542198397533e+02,-8.644256403330464744e-01
1.245283689739365087e+02,-4.547970143919802588e+00,1.098089332222961758e+02,-5.655462653749298019e-01
1.263735669861590907e+02,-4.088672947719426354e+00,1.116541312345187578e+02,-3.083630495890148371e-01
1.280995840536494654e+02,1.611714765167618912e+00,1.133801483020091467e+02,1.460586151854212644e-01
1.305680711177190290e+02,4.491614916908329036e+00,1.150340932842412087e+02,7.973408180397729694e-01
1.318031743979072985e+02,6.115732490535289223e+00,1.167084309139513891e+02,1.508433500119015003e+00
1.346038653001547800e+02,1.553436611766379905e+01,1.182810310215557195e+02,2.557588761936491650e+00
