pre_gaze_horizontal,pre_gaze_vertical,measured_head_horizontal,measured_head_vertical
2.090320939217846501e+02,-6.923349299544963031e+00,1.992758345528764607e+02,9.197919483711675781e+00
2.102260514214880800e+02,-7.407926249065605262e+00,2.001847327501474183e+02,8.744999362674322541e+00
2.127380878099465917e+02,-9.182417377540510017e+00,2.012829451406710177e+02,8.375323579295713472e+00
2.138808947808434766e+02,-1.043303305717277496e+01,2.024257521115679026e+02,7.838490812979121536e+00
2.146880989735425942e+02,-1.196520315145406244e+01,2.035209896542083357e+02,7.057414335094301272e+00
2.152691361995117632e+02,-1.128368674694837992e+01,2.045296014721769495e+02,6.628347757213435720e+00
2.184429098844298380e+02,-1.134981548047676725e+01,2.056646699743565421e+02,6.126848521593107222e+00
2.208158526469294713e+02,-1.172957431885568624e+01,2.068266472720968636e+02,5.321956164406107526e+00
2.218916262694519048e+02,-1.216209177403957753e+01,2.078598992799255711e+02,4.625946719161974308e+00
2.218354309327726526e+02,-1.288776120672283554e+01,2.087212321020400623e+02,3.900277286478715411e+00
2.211903742649162155e+02,-1.376749522222474909e+01,2.095379829310928983e+02,3.207615783234118556e+00
2.219884048690055067e+02,-1.441065594515816706e+01,2.103360135351821896e+02,2.568631672040259328e+00
2.224880006387704157e+02,-1.482904009122132116e+01,2.111625235504604348e+02,1.901719357887634798e+00
2.233696663839915004e+02,-1.589255774644365538e+01,2.120441892956815195e+02,1.313731183082419429e+00
2.241746753600510829e+02,-1.660329112752760139e+01,2.128491982717411020e+02,6.029978019984739701e-01
2.249790377033119171e+02,-1.678744653978615631e+01,2.136235239689952152e+02,-4.815209323862303104e-02
2.271920694077920189e+02,-1.766212702524777356e+01,2.144795097283576126e+02,-6.125000326429903552e-01
2.274016278836773495e+02,-1.743908536469987780e+01,2.154523477586688784e+02,-1.144303509080471848e+00
2.292934847561772926e+02,-1.526127557229806264e+01,2.164289916984845661e+02,-1.490783200694864252e+00
2.311582912184595102e+02,-1.386881466793020934e+01,2.174534784744465128e+02,-1.542204932564331443e+00
2.319076098221700022e+02,-1.489023253342701381e+01,2.184911040934916002e+02,-1.445661653175180916e+00
2.321902776298288700e+02,-1.632015607567003102e+01,2.193643858144308751e+02,-1.713528588046435042e+00
2.294024050902422118e+02,-1.702546280962955549e+01,2.201184291397403854e+02,-2.170109540667434889e+00
2.298489406508579975e+02,-1.798922647536211628e+01,2.205649647003561711e+02,-2.440592541387870185e+00
2.292791195867903298e+02,-1.746263528176497459e+01,2.208151990940643543e+02,-2.512131488495883413e+00
2.285997698643218996e+02,-1.781992985372036031e+01,2.211716009218873182e+02,-2.851699912250802882e+00
2.309697666763404413e+02,-1.730505244320126934e+01,2.216204023670064203e+02,-3.020783698605001177e+00
2.307095127485991384e+02,-1.629981355885045957e+01,2.221512673319009252e+02,-3.154719097144406348e+00
2.325635524323708694e+02,-1.559203115708994503e+01,2.228969445425622382e+02,-3.246498228501952354e+00
2.335895836611072411e+02,-1.247789338938798487e+01,2.237290433473326345e+02,-3.067543632023145950e+00
2.349823141383767506e+02,-1.223052818043495016e+01,2.246407804535877233e+02,-2.974134356206552976e+00
2.365289974252732463e+02,-1.214669042398410426e+01,2.256084115370787231e+02,-2.931191456924905570e+00
2.382638824438961080e+02,-1.107973618450929365e+01,2.265572183450786383e+02,-2.750805636251447694e+00
2.384263513042999705e+02,-1.058827032569249660e+01,2.275090681876331757e+02,-2.678286221973964043e+00
2.426061702098280080e+02,-7.493574278274220291e+00,2.286177079514094714e+02,-2.521727588142879117e+00
2.439202182246729933e+02,-5.985283249704214548e+00,2.297015266235037529e+02,-2.204389160517135071e+00
2.451130722852011559e+02,-5.188456841001796604e+00,2.308943806840319155e+02,-1.850400663913294608e+00
2.463588653698647590e+02,-3.930903995099144677e+00,2.321401737686955187e+02,-1.317247493767345290e+00
2.481529460288188602e+02,-3.744244159814938411e-01,2.335299399782966816e+02,-7.555142690934179006e-01
2.503148860049730331e+02,2.324572469960959897e-01,2.351586884582823416e+02,-2.923420592235883020e-01
2.518346755500266454e+02,1.618495271300520066e+00,2.366784780033359539e+02,2.652213092048761323e-01
2.543836754007222112e+02,3.370466223299100061e+00,2.381225672698506344e+02,9.416263125526452837e-01
2.554840061176809343e+02,6.599919204029481179e+00,2.396208499471790674e+02,1.546816039529131714e+00
2.570373067181179749e+02,9.131698735706358150e+00,2.409006772676009973e+02,2.215506031652926033e+00
2.573595800595915080e+02,1.055048728865443231e+01,2.421474031840959640e+02,3.043713640051409097e+00
2.570571565352698826e+02,1.178861409220782441e+01,2.433380711434524528e+02,3.913940830632064660e+00
2.575704162932491386e+02,1.462812393082191953e+01,2.442752777758199727e+02,4.909780998002856833e+00
2.578203805835411799e+02,1.410977181895446009e+01,2.451718769513499865e+02,5.845924518967898997e+00
2.584716837788181465e+02,1.221520296125135729e+01,2.460391397829822040e+02,6.455758113148260868e+00
2.591603228593711492e+02,1.251374670860064242e+01,2.469217112875011537e+02,7.158419897544052724e+00
2.609675590798796065e+02,1.145407878711904104e+01,2.479179885039637270e+02,7.800696354834857793e+00
2.631198676149096514e+02,1.251082954852712881e+01,2.489428943340151079e+02,8.240638045032394388e+00
2.606532242426929997e+02,1.488373009422626936e+01,2.496955323246351668e+02,8.732401954391781018e+00
2.638514953770925331e+02,1.530349939128155690e+01,2.503104026859670626e+02,9.051902557908436009e+00
2.644870888717347270e+02,1.491564103821457898e+01,2.508347878255655417e+02,9.346966378220106009e+00
2.620159139431286803e+02,1.342453344251912206e+01,2.513462465679017441e+02,9.535851011037598468e+00
2.625154740367981958e+02,1.110310088661695183e+01,2.518458066615712596e+02,9.686953175170510022e+00
2.630353154174956103e+02,1.458788008306960648e+01,2.523656480422687025e+02,1.007925791793723924e+01
2.623717717085129379e+02,1.254442821702716415e+01,2.527819096204873972e+02,1.067763253435332693e+01
2.622312034354031312e+02,9.588591624109618294e+00,2.530512418412532156e+02,1.086692998155307777e+01
