pre_gaze_horizontal,pre_gaze_vertical,measured_head_horizontal,measured_head_vertical
-1.494024815476915435e+01,1.804199832649431556e+01,-1.710656468920102569e+01,2.328465462322797208e+01
-1.476051474187197243e+01,1.804725729653363686e+01,-1.712436880807618067e+01,2.328991359326729338e+01
-1.516354414570608000e+01,1.685871253208757992e+01,-1.712157185907669898e+01,2.332339487769332820e+01
-1.634321787581027152e+01,1.630737131022638664e+01,-1.710851705546049573e+01,2.330829773550861006e+01
-1.634983551103751864e+01,1.611611721814946563e+01,-1.711513469068774285e+01,2.322236928678527335e+01
-1.812862929568626669e+01,1.490794582176647332e+01,-1.712292874901161355e+01,2.319604163947679609e+01
-1.814174410717302166e+01,1.391303240440315570e+01,-1.713604356049836852e+01,2.317868849340703719e+01
-1.816003372108454172e+01,1.369179386032272738e+01,-1.715433317440988858e+01,2.311346032618919466e+01
-1.790123196702196395e+01,1.326411073562099929e+01,-1.715785222789250497e+01,2.305128838536893454e+01
-1.774646975977702823e+01,1.367882053996609315e+01,-1.713984053320390544e+01,2.297807737809068129e+01
-1.685354818387922293e+01,1.363765874217941132e+01,-1.711224497834769309e+01,2.293691558030399946e+01
-1.570922723739918325e+01,1.339664729520348452e+01,-1.708706022403222491e+01,2.290991849505105193e+01
-1.544554729046260633e+01,1.321122368554959969e+01,-1.705747331909354614e+01,2.288673620144502863e+01
-1.717093005734767530e+01,1.289619281915897986e+01,-1.705323043855010923e+01,2.287954598082212598e+01
-1.708016766276580967e+01,1.325150419062784124e+01,-1.702687648448423374e+01,2.290132854188377109e+01
-1.707267251472088887e+01,1.325913628474978267e+01,-1.701938133643931295e+01,2.290896063600571253e+01
-1.706099086498511141e+01,1.425765560049584479e+01,-1.700769968670353549e+01,2.292839790185518467e+01
-1.705687309766090465e+01,1.433131243125244048e+01,-1.700358191937932872e+01,2.296327777903523426e+01
-1.707508393550987336e+01,1.409999323752460043e+01,-1.702179275722829743e+01,2.300304206226280712e+01
-1.722069522444266809e+01,1.391619267933188731e+01,-1.701708024050189394e+01,2.302502364639460097e+01
-1.745438013407955680e+01,1.392742231939849340e+01,-1.699818727504030846e+01,2.303625328646120707e+01
-1.705463987197652997e+01,1.362173080925797741e+01,-1.697888360155888776e+01,2.305854481718535709e+01
-1.628396570365564955e+01,1.325055039512528055e+01,-1.692824238164039485e+01,2.304698783453722655e+01
-1.412742563810381391e+01,1.262114812331526714e+01,-1.689082505926357669e+01,2.302573958223354822e+01
-1.457961775876150767e+01,1.244325840863056776e+01,-1.686458382757319896e+01,2.301582148508728309e+01
-1.543205838092913496e+01,1.214374858927905443e+01,-1.685046613267472893e+01,2.297000627283998497e+01
-1.520573534398531379e+01,1.210596893078686342e+01,-1.684510856966021208e+01,2.293222661434779397e+01
-1.519477397578796385e+01,1.189071921686595878e+01,-1.683414720146286214e+01,2.287298727728947512e+01
-1.279027361531688989e+01,1.155548410961759487e+01,-1.674083851706375370e+01,2.283117340890683877e+01
-1.199546076640445058e+01,1.019141918295482085e+01,-1.659223266970521138e+01,2.278840398553657565e+01
-1.094548116081222311e+01,9.536278603009145982e+00,-1.632998590080256918e+01,2.270116450716276901e+01
-1.054997812772817412e+01,8.979270923156301265e+00,-1.614025242508310143e+01,2.261486216730198606e+01
-9.785714256857305671e+00,8.346160265696275005e+00,-1.591971643559398508e+01,2.249123637392112585e+01
-9.996483945083234346e+00,8.119091370601505986e+00,-1.580857709562757663e+01,2.240877068811414219e+01
-9.947931671416199606e+00,8.713342691349847513e+00,-1.574181253724656848e+01,2.232207595455149018e+01
-1.039009997051940104e+01,9.702794659802007615e+00,-1.570370567652245342e+01,2.222046117309194102e+01
-1.182507173581397986e+01,1.114021673168703863e+01,-1.571001225515017907e+01,2.216106956564019015e+01
-1.176358779453692982e+01,1.127224919055561791e+01,-1.574238489303868072e+01,2.208654563344069999e+01
-1.208663672032678704e+01,1.127014061022627622e+01,-1.575665000676663396e+01,2.208443705311135830e+01
-1.302865753549737882e+01,1.126544394127199844e+01,-1.571231715775788906e+01,2.207974038415708051e+01
-1.125016830480284291e+01,1.125029568561109805e+01,-1.563645046623142498e+01,2.206459212849618012e+01
-1.143576227269942613e+01,1.122340265176566199e+01,-1.557641056626010467e+01,2.203769909465074406e+01
-1.157974480412650209e+01,1.154485383098854179e+01,-1.553458723484230042e+01,2.203116723300895785e+01
-1.253003971736228905e+01,1.155102966143263465e+01,-1.551732443954193208e+01,2.203179729391050046e+01
-1.358135909545836384e+01,1.135567419885566842e+01,-1.552568005816992347e+01,2.201396026487816471e+01
-1.359451437380771388e+01,1.133694362170931846e+01,-1.553883533651927351e+01,2.199522968773181475e+01
-1.368848184821583125e+01,1.114559801448245402e+01,-1.560983486361549488e+01,2.195989445736753609e+01
-1.376876271951096520e+01,1.113182133364910165e+01,-1.566179225027731192e+01,2.195807901721003219e+01
-1.379881875962587756e+01,1.110088067271411738e+01,-1.569184829039222429e+01,2.192713835627504793e+01
-1.607723005138908690e+01,1.104864552462835725e+01,-1.573709301792448478e+01,2.186294196751343932e+01
-1.608986754212232384e+01,1.102483635785964644e+01,-1.574973050865772350e+01,2.183913280074472851e+01
-1.609239073204044246e+01,1.098846059643327244e+01,-1.575225369857584035e+01,2.180275703931835451e+01
-1.608915040586208534e+01,1.097281076177257653e+01,-1.574901337239748322e+01,2.178710720465765860e+01
-1.586261464437504998e+01,1.128667052594423303e+01,-1.574833862731610168e+01,2.177298392796464910e+01
-1.582654187706152271e+01,1.162149646057098629e+01,-1.577667430051856279e+01,2.177428105218418608e+01
-1.586274962139431643e+01,1.162915240459338939e+01,-1.581288204485135651e+01,2.178193699620658919e+01
-1.591474210006174062e+01,1.130372712623358744e+01,-1.583655103888546378e+01,2.179645599938730172e+01
-1.599347187626916345e+01,1.094576390779841013e+01,-1.585087237457689824e+01,2.177202159135934068e+01
-1.597755823949234077e+01,1.106168026473219790e+01,-1.583495873780007557e+01,2.171996633075469418e+01
-1.594723702530813014e+01,1.067474115984062699e+01,-1.580463752361586494e+01,2.165700922026414332e+01
-1.586091579233762339e+01,1.082031744879150814e+01,-1.578895795891546783e+01,2.163461389167659021e+01
-1.609814037610036408e+01,1.079851145215500985e+01,-1.575800334263576197e+01,2.161280789504009192e+01
-1.509356136300062623e+01,1.073086078469681404e+01,-1.573197964848812092e+01,2.154515722758189611e+01
-1.616675933615607264e+01,1.104215751710279214e+01,-1.571436491411231096e+01,2.152847091912320820e+01
-1.511811870125595547e+01,1.105195951383716668e+01,-1.568036455404696028e+01,2.153272714631503248e+01
-1.501916230885103332e+01,1.090370759471058193e+01,-1.565758059433852800e+01,2.151222189527115702e+01
-1.495507281357717488e+01,1.121901057427072601e+01,-1.562181458369798648e+01,2.149954183396663510e+01
-1.501534581053565276e+01,1.156852265565503757e+01,-1.560591514795997448e+01,2.151552510494373038e+01
-1.497752076962455448e+01,1.215778216620543617e+01,-1.556809010704887619e+01,2.154136889540682276e+01
-1.143930504954682092e+01,1.229685470418772475e+01,-1.539575083138040412e+01,2.160536452591883716e+01
-1.168687843511915148e+01,1.237024685679437042e+01,-1.523419593414758388e+01,2.165266205744813277e+01
-1.170433237900585866e+01,1.205126561078789393e+01,-1.509823011979679208e+01,2.166166385230632230e+01
-1.143381710149352948e+01,1.179187473686765486e+01,-1.493221075961426791e+01,2.161437513899670293e+01
-1.223661671761048098e+01,1.153146111166834764e+01,-1.488523762634155645e+01,2.162858672289651452e+01
-1.369295992696645392e+01,1.139265693205871344e+01,-1.488459216439736110e+01,2.164418135056049763e+01
-1.378125852124927242e+01,1.158229423700227656e+01,-1.493680580279750991e+01,2.163280803397854157e+01
-1.380189047591188078e+01,1.192019367615838021e+01,-1.499661866592109227e+01,2.163717866272742896e+01
-1.333376745300591004e+01,1.160370692347467525e+01,-1.505378449963775189e+01,2.164867495090839000e+01
-1.357869534870644657e+01,1.126716340275492101e+01,-1.506539959697650843e+01,2.164566024059585203e+01
-1.224563609502034822e+01,1.125586595803116197e+01,-1.500153995442101440e+01,2.163436279587209299e+01
-1.172603313516813728e+01,1.136255044265850067e+01,-1.493204686228355982e+01,2.162798189316243480e+01
-1.163521945928481927e+01,1.158563345392067490e+01,-1.487731814228291150e+01,2.163060148135438965e+01
-1.163058900017919406e+01,1.101970826000623482e+01,-1.480827924266129969e+01,2.161312275137483496e+01
-1.146065982197120192e+01,1.096346705088165407e+01,-1.477893093766578403e+01,2.159565849582680030e+01
-1.189788381695950825e+01,1.114439941825970415e+01,-1.474935485277733882e+01,2.157080872088034340e+01
-1.285895495763099916e+01,1.146775594992368319e+01,-1.473187067449673471e+01,2.156618221167965643e+01
-1.278416548224123162e+01,1.181332395118773526e+01,-1.472148963962295376e+01,2.157822140253649223e+01
-1.271931738301030634e+01,1.188690996263141741e+01,-1.470165523718734235e+01,2.161303046040362830e+01
-1.271990168470629712e+01,1.253303211743287982e+01,-1.470223953888333313e+01,2.164186308449559348e+01
-1.471508498734439208e+01,1.257013901627158070e+01,-1.470900753517595660e+01,2.167896998333429437e+01
-1.471366548280403919e+01,1.258677421370861360e+01,-1.470758803063560372e+01,2.169560518077132727e+01
-1.304084455674726684e+01,1.209104284932744910e+01,-1.471777467904256831e+01,2.169582847479326304e+01
-1.302177458449625824e+01,1.071634186091803898e+01,-1.470493793454568099e+01,2.166342073928048961e+01
-1.284593690613001549e+01,9.657204684525675376e+00,-1.467942406183863291e+01,2.160927020615413952e+01
-1.182184481571261259e+01,8.658377444390458422e+00,-1.463388729037332681e+01,2.153311289982619314e+01
-1.114943049178947909e+01,7.320651560099891597e+00,-1.454176687749278507e+01,2.138723756372835538e+01
-9.613086745537771094e+00,6.922023098154749476e+00,-1.443325039175802260e+01,2.126392894328552075e+01
-8.800165957042137777e+00,6.748279052413339585e+00,-1.422351187896021152e+01,2.104223191628365441e+01
-9.024606935653071815e+00,6.691877199517367814e+00,-1.406442031637123691e+01,2.093522667299255602e+01
-8.535020534878267284e+00,8.156371281251766803e+00,-1.390122065165378729e+01,2.083662687970196714e+01
-7.798005293905751145e+00,9.128568180554387013e+00,-1.366075308655543452e+01,2.077670041118547317e+01
-7.939953386118800083e+00,1.047836867693830598e+01,-1.354520059109213470e+01,2.080817193480445582e+01
-7.480571268863445589e+00,1.034678926862857473e+01,-1.340772750202911645e+01,2.086908021619177589e+01
-8.288812598707991697e+00,1.134614989902952509e+01,-1.336083936386417825e+01,2.089155471987995227e+01
-8.727695251225412676e+00,1.138732670204119479e+01,-1.334961214866684642e+01,2.092359601168845984e+01
-1.077992366086714959e+01,1.146850718901328747e+01,-1.339566284274748575e+01,2.093141581801801721e+01
-1.126270944954576692e+01,1.145968273989514685e+01,-1.346529522675111856e+01,2.092813713844242685e+01
-1.174735258296896845e+01,1.181498826084629172e+01,-1.358686793905749646e+01,2.094991384898635545e+01
-1.185579511438135825e+01,1.088287641991832011e+01,-1.366698698583656757e+01,2.095393906842938492e+01
-1.231146803784524479e+01,1.053742655533255679e+01,-1.374463922929406223e+01,2.094201801425083787e+01
-1.236056851073215590e+01,1.028742188463652951e+01,-1.379373970218097334e+01,2.090693099708247971e+01
-1.247025247018259719e+01,1.023675307562534265e+01,-1.379116627305225506e+01,2.089503914164783893e+01
-1.121040703620285406e+01,1.023081669109236280e+01,-1.374387348093648420e+01,2.088910275711485909e+01
-1.066540825315979291e+01,1.021804785581383079e+01,-1.367730805024149454e+01,2.087633392183632708e+01
-1.021093128813187434e+01,1.053623221786506470e+01,-1.363159115846849723e+01,2.086653524302289497e+01
-1.007393262370817411e+01,1.088691956731176269e+01,-1.355900093456078359e+01,2.088369378206237670e+01
-1.177615347771001275e+01,1.078137869099721158e+01,-1.352156724483225148e+01,2.089121829308482248e+01
-1.169726063523109971e+01,1.004123972601660419e+01,-1.348638461016615508e+01,2.086749740957753474e+01
-1.239407775753851304e+01,1.003084275777959533e+01,-1.344977547630685955e+01,2.083100582026317582e+01
-1.236235530817583239e+01,1.000498249383465321e+01,-1.341805302694417890e+01,2.080514555631823370e+01
-1.232363273412105720e+01,9.215354695565327603e+00,-1.337933045288940370e+01,2.073639110753154213e+01
-1.228195904037825770e+01,8.276693518503741132e+00,-1.333765675914660420e+01,2.067399946641709718e+01
-1.111229986305750650e+01,7.757312917971752597e+00,-1.328089203743720859e+01,2.057263986681235224e+01
-9.284106958841794821e+00,7.558230237639971705e+00,-1.325922109571562224e+01,2.048262495345026579e+01
-9.891405615116941163e+00,6.290460768490792276e+00,-1.323987934881426654e+01,2.040376264345112389e+01
-1.075349707141359801e+01,5.400491045101876608e+00,-1.321944431570580925e+01,2.025938952139101090e+01
-8.854806559189807302e+00,5.790032036773617108e+00,-1.318183561183923125e+01,2.013193788190438838e+01
-7.638496799898793377e+00,5.057526447168459782e+00,-1.306632042968188578e+01,1.991642492345759408e+01
-7.677405108209226725e+00,5.455521824093468197e+00,-1.295169003663534468e+01,1.976627327064121786e+01
-5.411859499196859602e+00,5.351591192081881942e+00,-1.278428348962276395e+01,1.960449563755658886e+01
-5.067413297984237452e+00,5.015124017792031097e+00,-1.236772021058796689e+01,1.934780952848955948e+01
-4.810086115046804167e+00,4.845264566581734655e+00,-1.195786877606075294e+01,1.917795007727926304e+01
-4.482566397412810488e+00,4.476502889279284858e+00,-1.118667794289629036e+01,1.896761058497977714e+01
-6.372244705441964641e+00,5.699135339196477190e+00,-1.053154699710754194e+01,1.886796005012779531e+01
