time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y
490.3178,1,-,-0.1263397,-0.005174945,0.01601991,0.9918442,-0.01431338,0.2504528,0.968023,-0.01478512,0.2531479
490.3455,2,-,-0.1261273,-0.005175009,0.01652575,0.9918629,-0.0144345,0.250031,0.9681302,-0.01490856,0.2527122
490.3874,3,-,-0.1256379,-0.005373775,0.01741372,0.9919088,-0.01503624,0.2490555,0.9683725,-0.01552608,0.2517049
490.4155,4,-,-0.1256447,-0.005504962,0.01753773,0.991905,-0.01532785,0.2490622,0.9683662,-0.01582724,0.2517118
490.4567,5,-,-0.1256844,-0.005768611,0.01790435,0.991892,-0.01594427,0.2491241,0.9683403,-0.01646408,0.2517757
490.4854,6,-,-0.1255599,-0.006018318,0.01823835,0.9919001,-0.01651915,0.2488663,0.968397,-0.01705659,0.2515096
490.5135,7,-,-0.1254611,-0.00619967,0.01822973,0.9919117,-0.0168733,0.2486667,0.9684421,-0.01742137,0.2513035
490.554,8,-,-0.1253091,-0.00642287,0.01820507,0.9919299,-0.0173046,0.2483618,0.9685128,-0.01786528,0.2509887
490.5824,9,-,-0.1254432,-0.006744573,0.01812056,0.9919124,-0.01792625,0.2486129,0.968437,-0.01850839,0.2512479
490.6234,10,-,-0.1257124,-0.007104985,0.01789487,0.9918799,-0.0185938,0.2491289,0.9682918,-0.01920032,0.2517807
490.6517,11,-,-0.125548,-0.007286463,0.01806315,0.9918964,-0.01899042,0.2487979,0.9683692,-0.01960821,0.251439
490.6802,12,-,-0.1253865,-0.007506825,0.01824274,0.9919119,-0.019467,0.2484708,0.9684438,-0.02009862,0.2511013
490.7217,13,-,-0.1256171,-0.00841516,0.01839919,0.9918725,-0.02131603,0.2488825,0.9682991,-0.02201034,0.2515263
490.7489,14,-,-0.1258158,-0.009431642,0.01838346,0.9918385,-0.02333519,0.2492312,0.9681628,-0.02409788,0.2518863
490.7907,15,-,-0.1257727,-0.01154237,0.01773773,0.9918334,-0.02735806,0.2490816,0.968096,-0.02825214,0.2517319
490.8189,16,-,-0.1254522,-0.0130819,0.01750371,0.991859,-0.03034256,0.2484038,0.9681813,-0.0313295,0.251032
490.8476,17,-,-0.1250802,-0.01485365,0.01718381,0.9918866,-0.03376499,0.2476203,0.9682686,-0.03485738,0.2502232
490.8883,18,-,-0.1247558,-0.01732202,0.01553724,0.9919146,-0.03824066,0.246956,0.9682719,-0.0394732,0.2495377
490.9167,19,-,-0.1239809,-0.01890211,0.01512263,0.9919893,-0.04125122,0.2454038,0.9685429,-0.04256529,0.2479362
490.945,20,-,-0.1229471,-0.02031915,0.01491059,0.9920931,-0.04398341,0.2433441,0.9689423,-0.04536208,0.2458121
490.9857,21,-,-0.122295,-0.02204487,0.01452492,0.9921426,-0.04729597,0.2420277,0.9691159,-0.04876452,0.2444552
491.0142,22,-,-0.1223478,-0.02308662,0.01460764,0.9921112,-0.04938341,0.2420907,0.968996,-0.05091942,0.2445201
491.0552,23,-,-0.1224065,-0.02476743,0.01429501,0.992068,-0.05264155,0.242163,0.9688064,-0.05428312,0.2445946
491.0833,24,-,-0.1223309,-0.02567189,0.01399447,0.9920586,-0.05435995,0.2420003,0.9687522,-0.05605459,0.2444269
491.1119,25,-,-0.1221347,-0.02635612,0.01386338,0.9920667,-0.05568045,0.2416008,0.9687769,-0.05741183,0.2440151
491.1532,26,-,-0.1216852,-0.02686702,0.01380782,0.992109,-0.05667045,0.240708,0.9689417,-0.0584204,0.2430952
491.1817,27,-,-0.1211337,-0.02692055,0.01366148,0.9921771,-0.05672964,0.2396367,0.9692038,-0.0584655,0.2419916
491.2224,28,-,-0.1199854,-0.02690013,0.01378231,0.9923154,-0.05669418,0.2373853,0.9697598,-0.05839562,0.2396733
491.2503,29,-,-0.1191915,-0.02676995,0.01362885,0.9924167,-0.05638279,0.2358457,0.9701535,-0.05805209,0.2380887
491.2786,30,-,-0.1184417,-0.0266706,0.01344594,0.9925117,-0.0561269,0.2343923,0.9705205,-0.05776741,0.2365934
491.3204,31,-,-0.1178466,-0.02681074,0.01318262,0.9925823,-0.0563308,0.233238,0.9707868,-0.05796093,0.2354062
491.3485,32,-,-0.1178001,-0.0269741,0.01300498,0.9925858,-0.0566122,0.2331519,0.970791,-0.05824957,0.2353177
491.3896,33,-,-0.1175825,-0.02723868,0.01292384,0.9926054,-0.05711377,0.2327221,0.9708648,-0.05876001,0.2348757
491.4178,34,-,-0.1175892,-0.02750168,0.01295999,0.9925969,-0.05764407,0.2327245,0.9708329,-0.05930626,0.2348782
491.4462,35,-,-0.1176555,-0.02770051,0.01290183,0.9925842,-0.05802613,0.2328512,0.9707797,-0.05970167,0.2350085
491.4872,36,-,-0.117463,-0.02780255,0.01294375,0.9926036,-0.05823464,0.2324687,0.9708589,-0.05991082,0.2346152
491.5156,37,-,-0.1172903,-0.02787875,0.01291915,0.9926223,-0.05837673,0.2321297,0.9709315,-0.06005216,0.2342666
491.5566,38,-,-0.117113,-0.02781986,0.01267788,0.9926479,-0.05820014,0.2317986,0.9710212,-0.05986543,0.2339263
491.5849,39,-,-0.1169604,-0.0276424,0.01269348,0.9926707,-0.05784887,0.2315046,0.9711123,-0.05949939,0.233624
491.6133,40,-,-0.116833,-0.0273442,0.01270344,0.9926938,-0.05725719,0.231264,0.9712047,-0.05888665,0.2333767
491.6544,41,-,-0.1168138,-0.02718821,0.01292132,0.9926975,-0.05699812,0.231219,0.9712307,-0.05861925,0.2333304
491.6826,42,-,-0.1168403,-0.02721392,0.01275925,0.9926959,-0.05701188,0.2312792,0.9712155,-0.05863428,0.2333923
491.7237,43,-,-0.1168921,-0.02731961,0.01223854,0.9926934,-0.05710117,0.2314074,0.9711797,-0.05872806,0.2335241
491.7524,44,-,-0.1167255,-0.02756407,0.01242558,0.9927039,-0.05762669,0.2310628,0.9712307,-0.05926419,0.2331699
491.7803,45,-,-0.1166177,-0.02768977,0.01232827,0.9927142,-0.05785145,0.2308535,0.9712672,-0.05949257,0.2329547
491.8212,46,-,-0.1168239,-0.02791485,0.01224595,0.9926847,-0.05828252,0.2312549,0.9711459,-0.05994228,0.2333674
491.8531,47,-,-0.1169511,-0.02798648,0.01215265,0.9926689,-0.05840515,0.2315072,0.9710784,-0.06007227,0.2336267
491.8901,48,-,-0.1171174,-0.02789002,0.01222933,0.992651,-0.05823466,0.2318312,0.9710113,-0.05990146,0.2339597
491.9184,49,-,-0.1172575,-0.02771573,0.01217374,0.9926401,-0.0578784,0.2321142,0.970965,-0.0595387,0.2342506
491.9477,50,-,-0.1174428,-0.02758556,0.01212569,0.9926224,-0.05761224,0.2324837,0.9708925,-0.05926996,0.2346305
491.9875,51,-,-0.1179063,-0.02757386,0.01187297,0.9925708,-0.05753781,0.233406,0.9706755,-0.05920676,0.235579
492.016,52,-,-0.1183395,-0.0277197,0.0117465,0.9925167,-0.05780468,0.2342567,0.9704548,-0.05949424,0.2364539
492.0572,53,-,-0.1186885,-0.02795848,0.01168111,0.9924691,-0.05826868,0.2349362,0.9702627,-0.0599825,0.2371529
492.0857,54,-,-0.1186666,-0.02809638,0.01155408,0.9924694,-0.05851176,0.2348966,0.9702577,-0.06023243,0.2371122
492.1137,55,-,-0.1184627,-0.02815341,0.01138246,0.992494,-0.05858098,0.2345061,0.9703479,-0.06029792,0.2367104
492.1546,56,-,-0.1179842,-0.02820352,0.01121158,0.9925516,-0.05863247,0.2335784,0.9705686,-0.06033711,0.2357563
492.1836,57,-,-0.1175375,-0.02814985,0.01113116,0.9926071,-0.05850015,0.2327104,0.970785,-0.06018788,0.2348637
492.2242,58,-,-0.1172728,-0.02795073,0.01092275,0.9926462,-0.05805226,0.2322101,0.9709317,-0.05971916,0.2343493
492.2527,59,-,-0.1173251,-0.02783131,0.01065764,0.9926463,-0.05775412,0.2323314,0.9709205,-0.05941387,0.234474
492.2811,60,-,-0.1174664,-0.02780594,0.01042528,0.9926327,-0.05765141,0.2326222,0.970857,-0.05931233,0.234773
492.3221,61,-,-0.1174031,-0.02766521,0.01016826,0.9926469,-0.05731115,0.2325169,0.9709023,-0.05896033,0.2346648
492.3502,62,-,-0.1171732,-0.02754252,0.01011914,0.992678,-0.05705309,0.2320731,0.9710237,-0.05868813,0.2342084
492.3919,63,-,-0.1173204,-0.02739374,0.009938285,0.9926665,-0.05671763,0.2323757,0.970971,-0.05834701,0.2345195
492.4201,64,-,-0.1173106,-0.02737082,0.00985275,0.9926692,-0.05665199,0.2323618,0.9709781,-0.05827921,0.2345052
492.4479,65,-,-0.1171597,-0.02736972,0.009716352,0.9926884,-0.05661593,0.2320744,0.971049,-0.05823795,0.2342097
492.4892,66,-,-0.1169227,-0.02739373,0.009505289,0.9927176,-0.05661125,0.2316217,0.9711573,-0.05822667,0.2337444
492.518,67,-,-0.1167673,-0.02751815,0.009575187,0.9927319,-0.05687242,0.2313102,0.9712163,-0.05849114,0.2334242
492.5587,68,-,-0.1167139,-0.02777909,0.009673146,0.9927298,-0.05741224,0.2311933,0.9712124,-0.05904528,0.233304
492.5872,69,-,-0.116979,-0.02776564,0.009008858,0.9927053,-0.0572339,0.2317512,0.97109,-0.05886969,0.2338775
492.6151,70,-,-0.1169934,-0.02800475,0.00916087,0.9926956,-0.05774391,0.2317646,0.9710566,-0.05939509,0.2338913
492.657,71,-,-0.1169374,-0.02825815,0.009036764,0.9926961,-0.05821699,0.2316558,0.9710543,-0.05988068,0.2337795
492.6842,72,-,-0.1171999,-0.02841982,0.008988977,0.9926609,-0.05852949,0.2321686,0.970913,-0.06021008,0.2343066
492.7124,73,-,-0.1175797,-0.02860437,0.00899117,0.9926108,-0.05890036,0.2329073,0.9707136,-0.06060309,0.2350662
492.7537,74,-,-0.1181719,-0.02893539,0.00906355,0.9925301,-0.05958061,0.2340538,0.9703963,-0.06132125,0.2362452
492.7821,75,-,-0.1184179,-0.02902548,0.009119715,0.9924977,-0.05977531,0.2345295,0.9702694,-0.06152915,0.2367346
492.8235,76,-,-0.1185884,-0.0290986,0.009228463,0.9924741,-0.05994799,0.2348548,0.9701802,-0.06171212,0.2370691
492.852,77,-,-0.1187038,-0.02905825,0.009395262,0.99246,-0.05990881,0.2350716,0.97013,-0.06167506,0.2372922
492.8803,78,-,-0.1189797,-0.02886056,0.009201411,0.9924346,-0.05947399,0.235628,0.9700218,-0.06123536,0.2378647
492.9211,79,-,-0.1193679,-0.02870964,0.009574184,0.9923887,-0.05926795,0.2363689,0.9698541,-0.06103427,0.2386272
492.9489,80,-,-0.1195784,-0.02856715,0.009661776,0.9923667,-0.05900885,0.2367793,0.9697698,-0.06077338,0.2390495
492.9901,81,-,-0.1200482,-0.02847857,0.009613893,0.9923129,-0.05882758,0.2377032,0.9695548,-0.06060054,0.2400006
493.0193,82,-,-0.1206007,-0.02852625,0.009485676,0.9922459,-0.05889807,0.2387899,0.9692835,-0.06068993,0.2411195
493.0467,83,-,-0.1209803,-0.02850819,0.009343519,0.9922014,-0.05883249,0.2395409,0.9691021,-0.06063383,0.2418929
493.088,84,-,-0.1213514,-0.02841854,0.009337567,0.9921588,-0.05865766,0.2402689,0.9689324,-0.06046465,0.2426429
493.1176,85,-,-0.121508,-0.02837524,0.009394637,0.9921404,-0.05858748,0.2405728,0.9688613,-0.06039691,0.242956
493.1574,86,-,-0.121681,-0.02833081,0.009476751,0.9921196,-0.05852139,0.2409072,0.9687822,-0.06033385,0.2433005
493.1858,87,-,-0.1217359,-0.02836606,0.009376799,0.9921129,-0.05856765,0.2410195,0.9687515,-0.06038333,0.2434162
493.2376,88,-,-0.1217978,-0.02856232,0.009161616,0.9921016,-0.05890517,0.2411482,0.968699,-0.06073375,0.2435488
493.2648,89,-,-0.122174,-0.02866433,0.008966007,0.9920542,-0.05906396,0.2418925,0.9685037,-0.06090932,0.2443158
493.2957,90,-,-0.1228152,-0.02860776,0.009064328,0.9919758,-0.05898289,0.2431408,0.968196,-0.0608452,0.2456025
493.326,91,-,-0.1234267,-0.02867909,0.009386766,0.9918948,-0.05921043,0.2443141,0.9678867,-0.06109881,0.2468123
493.3566,92,-,-0.1238344,-0.02849489,0.009382252,0.9918493,-0.05884897,0.2451155,0.9677061,-0.06073805,0.2476389
493.3861,93,-,-0.1242342,-0.02838177,0.008915824,0.9918069,-0.05851376,0.2459265,0.9675207,-0.06040447,0.2484755
493.415,94,-,-0.1245027,-0.02867018,0.009083154,0.9917635,-0.05912982,0.2464337,0.9673542,-0.06104935,0.2489987
493.4575,95,-,-0.1247036,-0.02971538,0.00882215,0.9917098,-0.06113838,0.2468153,0.967132,-0.06313217,0.2493925
493.4863,96,-,-0.1248677,-0.03072411,0.008628453,0.9916601,-0.06309058,0.2471224,0.9669282,-0.0651561,0.2497094
493.5155,97,-,-0.1249319,-0.03158461,0.008733355,0.9916241,-0.06482227,0.2472192,0.9667889,-0.06694884,0.2498093
493.5558,98,-,-0.1246498,-0.03242265,0.009114203,0.991629,-0.06657466,0.2466217,0.9668224,-0.06875072,0.2491927
493.5854,99,-,-0.1245032,-0.03259571,0.009361546,0.9916395,-0.06697747,0.2463143,0.9668729,-0.06916177,0.2488756
493.6269,100,-,-0.1242487,-0.03239269,0.009963994,0.9916722,-0.06672189,0.2457824,0.967026,-0.06888783,0.2483267
493.656,101,-,-0.1243264,-0.03199279,0.01003309,0.9916747,-0.06594764,0.2459407,0.9670388,-0.06809001,0.2484901
493.6825,102,-,-0.1246058,-0.03158833,0.009950331,0.9916534,-0.06512909,0.2465029,0.9669511,-0.06725352,0.2490702
493.724,103,-,-0.124662,-0.03111707,0.01048714,0.9916558,-0.06432955,0.246591,0.9669822,-0.06642821,0.249161
493.7527,104,-,-0.1247562,-0.03092144,0.01056815,0.9916492,-0.06396332,0.2467752,0.9669595,-0.06605268,0.2493511
493.7938,105,-,-0.1253297,-0.03089081,0.0103486,0.9915802,-0.06385539,0.2479095,0.9666765,-0.0659608,0.2505218
493.8221,106,-,-0.125423,-0.03091508,0.01022941,0.9915688,-0.06387486,0.2480987,0.9666266,-0.06598425,0.250717
493.8504,107,-,-0.1252849,-0.03091136,0.01005399,0.9915882,-0.06382191,0.2478405,0.9666964,-0.06592496,0.2504506
493.8911,108,-,-0.1249451,-0.03075124,0.01003608,0.9916362,-0.063496,0.2471828,0.9668862,-0.06557645,0.2497718
493.9194,109,-,-0.1248038,-0.03038312,0.01014008,0.9916644,-0.06279074,0.2469108,0.9670017,-0.0648424,0.249491
493.9476,110,-,-0.1247838,-0.03000167,0.01033142,0.9916764,-0.06208228,0.2468704,0.9670578,-0.06410909,0.2494493
493.9894,111,-,-0.124823,-0.02949755,0.01039384,0.991686,-0.06109939,0.2469573,0.9670982,-0.0630942,0.249539
494.0169,112,-,-0.1250477,-0.02928313,0.01019954,0.9916661,-0.06062903,0.2474138,0.9670112,-0.06261537,0.2500101
494.0589,113,-,-0.1254409,-0.02920654,0.01003764,0.9916203,-0.06044187,0.2481932,0.9668231,-0.0624347,0.2508146
494.0867,114,-,-0.1257527,-0.02918514,0.009937426,0.9915824,-0.06037825,0.2488083,0.966669,-0.06237908,0.2514497
494.1147,115,-,-0.126026,-0.02906044,0.009926191,0.9915515,-0.06013177,0.2493457,0.9665459,-0.06213297,0.2520046
494.1559,116,-,-0.1260218,-0.02894583,0.01025643,0.9915521,-0.05998766,0.2493206,0.9665613,-0.06198347,0.2519786
494.1843,117,-,-0.1259888,-0.02880663,0.009820524,0.9915647,-0.05960182,0.2492862,0.966594,-0.06158372,0.2519431
494.2256,118,-,-0.1257345,-0.02877406,0.009622663,0.9915999,-0.05948452,0.2488029,0.9667258,-0.06145446,0.2514441
494.2535,119,-,-0.1251441,-0.02874235,0.009637785,0.9916753,-0.05941838,0.2476507,0.9670256,-0.06136733,0.2502546
494.2817,120,-,-0.1247107,-0.02867876,0.009625941,0.9917319,-0.0592842,0.246807,0.9672496,-0.06121495,0.2493839
494.323,121,-,-0.1242428,-0.02868385,0.009787424,0.9917889,-0.05932868,0.2458837,0.967482,-0.06124607,0.2484313
494.3516,122,-,-0.1240404,-0.02878676,0.009760849,0.9918115,-0.05952356,0.2454875,0.9675706,-0.06144113,0.2480225
494.3961,123,-,-0.1237778,-0.02897739,0.009698198,0.9918394,-0.05988268,0.2449734,0.9676787,-0.061804,0.2474923
494.4298,124,-,-0.1237311,-0.02905291,0.009622819,0.9918438,-0.06001318,0.2448847,0.9676931,-0.06193743,0.2474007
494.4625,125,-,-0.1242012,-0.02909268,0.00967424,0.9917833,-0.06011036,0.2457985,0.9674554,-0.06205267,0.2483433
494.4902,126,-,-0.1245691,-0.02872571,0.009341318,0.991751,-0.05930478,0.2465463,0.9673148,-0.06123203,0.2491149
494.5186,127,-,-0.1246752,-0.02850677,0.009568896,0.9917418,-0.05892871,0.2467456,0.9672869,-0.06084644,0.2493206
494.5602,128,-,-0.124826,-0.02821051,0.009640347,0.9917307,-0.05836119,0.2470436,0.9672453,-0.06026446,0.2496281
494.5883,129,-,-0.1249289,-0.02813444,0.009480677,0.9917215,-0.05817187,0.247256,0.9672024,-0.0600721,0.2498473
494.6161,130,-,-0.1251297,-0.02824154,0.009046385,0.9916971,-0.05827805,0.2476707,0.96709,-0.06018847,0.2502753
494.6581,131,-,-0.1253034,-0.02809568,0.008325945,0.9916857,-0.0578107,0.2480553,0.9670194,-0.05971129,0.2506723
494.6862,132,-,-0.1252365,-0.02750604,0.007684106,0.9917158,-0.05648101,0.2479754,0.9671184,-0.05833507,0.2505898
