time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y
495.6334,1,-,0.1354313,0.06130047,0.006257964,-0.9888688,-0.1195412,0.2686149,0.9558012,-0.124423,0.2719548
495.661,2,-,0.1351522,0.06127091,0.006283144,-0.9889086,-0.1194843,0.2680762,0.9559596,-0.124344,0.2713956
495.7034,3,-,0.1349671,0.06128804,0.006318001,-0.9889327,-0.1195141,0.2677213,0.9560553,-0.1243624,0.2710272
495.731,4,-,0.1350825,0.06129172,0.006430139,-0.988916,-0.1194875,0.2679587,0.9559921,-0.1243432,0.2712736
495.7724,5,-,0.1353963,0.06115071,0.006586427,-0.9888808,-0.119158,0.268587,0.9558569,-0.1240211,0.2719258
495.8001,6,-,0.1356846,0.06103601,0.006583972,-0.9888483,-0.118924,0.2691467,0.9557286,-0.1237965,0.2725069
495.8285,7,-,0.1359262,0.06095129,0.006277084,-0.9888223,-0.1188336,0.2695789,0.955618,-0.1237175,0.2729557
495.8692,8,-,0.1365811,0.0607594,0.006478535,-0.9887426,-0.1183811,0.2708744,0.9553078,-0.1232908,0.2743013
495.8976,9,-,0.1370064,0.06071497,0.006359486,-0.9886872,-0.1183137,0.2716852,0.9550859,-0.1232496,0.2751436
495.9388,10,-,0.1374611,0.06066961,0.006413496,-0.9886267,-0.118196,0.2725735,0.9548473,-0.1231587,0.2760668
495.9668,11,-,0.137621,0.06059486,0.006622039,-0.9886075,-0.1179864,0.2729089,0.9547774,-0.1229514,0.2764154
495.9961,12,-,0.1375884,0.06046492,0.006904576,-0.9886181,-0.1176535,0.2728797,0.9548269,-0.1226017,0.276385
496.0361,13,-,0.1371864,0.06020255,0.007170014,-0.9886881,-0.1170758,0.2721324,0.9551111,-0.1219698,0.2756083
496.0644,14,-,0.1369128,0.06001083,0.007256676,-0.9887371,-0.1166828,0.2716125,0.9553072,-0.1215396,0.2750681
496.1056,15,-,0.136565,0.05984288,0.007214151,-0.9887956,-0.1163744,0.2709332,0.9555377,-0.1211926,0.2743623
496.1342,16,-,0.1364526,0.0598533,0.007175777,-0.9888108,-0.1164089,0.2707106,0.9555965,-0.1212207,0.2741311
496.1621,17,-,0.136407,0.05997263,0.007205874,-0.9888096,-0.1166372,0.2706254,0.9555928,-0.1214566,0.2740426
496.2032,18,-,0.1363082,0.06025211,0.007456624,-0.9888045,-0.1171223,0.2704628,0.9555795,-0.1219585,0.2738737
496.2321,19,-,0.1361405,0.0603658,0.007630715,-0.9888192,-0.117304,0.270158,0.9556435,-0.1221377,0.2735572
496.273,20,-,0.1358781,0.06039383,0.007704701,-0.9888531,-0.1173474,0.2696576,0.9557795,-0.1221653,0.2730374
496.3016,21,-,0.1356717,0.06030086,0.007707724,-0.9888871,-0.11717,0.2692576,0.955914,-0.1219654,0.2726221
496.3294,22,-,0.1352645,0.06011884,0.007732617,-0.9889538,-0.1168176,0.2684705,0.9561785,-0.1215689,0.2718048
496.3702,23,-,0.134655,0.05975458,0.007886743,-0.9890577,-0.1160775,0.2673056,0.9565948,-0.1207541,0.2705958
496.3985,24,-,0.1342753,0.05951298,0.008008115,-0.989123,-0.1155807,0.2665827,0.9568567,-0.1202097,0.2698457
496.4267,25,-,0.1340421,0.05922774,0.008098434,-0.989171,-0.1150017,0.2661405,0.9570495,-0.1195893,0.2693869
496.4688,26,-,0.1339887,0.0588488,0.00885817,-0.9891944,-0.114052,0.2661243,0.9571677,-0.1185966,0.2693701
496.4963,27,-,0.1337451,0.05870219,0.008995738,-0.9892348,-0.1137342,0.2656668,0.9573326,-0.118249,0.2688955
496.5379,28,-,0.1331401,0.05837437,0.009315928,-0.9893329,-0.1130227,0.2645274,0.9577323,-0.1174675,0.2677138
496.5657,29,-,0.1327486,0.05810294,0.009512418,-0.9893996,-0.1124485,0.2637883,0.9580037,-0.1168433,0.2669475
496.5941,30,-,0.132415,0.05772295,0.00976462,-0.989464,-0.1116436,0.2631671,0.9582686,-0.1159827,0.2663036
496.6354,31,-,0.1319717,0.05702825,0.01023416,-0.9895588,-0.1101644,0.2623547,0.9586625,-0.1144128,0.2654616
496.6634,32,-,0.131661,0.05637714,0.01055518,-0.9896341,-0.1088061,0.2617826,0.958974,-0.1129778,0.2648687
496.705,33,-,0.1310438,0.05494925,0.01091585,-0.9897924,-0.1059158,0.2606119,0.9596162,-0.1099281,0.263656
496.7328,34,-,0.1308084,0.0537734,0.01088231,-0.9898885,-0.1036123,0.2601417,0.9599952,-0.1075139,0.263169
496.7614,35,-,0.1306013,0.0518025,0.0110173,-0.9900194,-0.09969322,0.2597371,0.9605196,-0.1034206,0.2627499
496.8023,36,-,0.1303592,0.04784663,0.01057014,-0.9902553,-0.09200493,0.2591894,0.9614343,-0.09540497,0.2621828
496.8307,37,-,0.1300058,0.04439707,0.0100412,-0.9904678,-0.08533691,0.2584248,0.9622548,-0.08845291,0.2613912
496.872,38,-,0.1293074,0.03816842,0.009401377,-0.9908251,-0.07320511,0.2569597,0.9636455,-0.07582122,0.259875
496.9,39,-,0.1285885,0.03349037,0.009246683,-0.9910893,-0.06400587,0.2555048,0.9646868,-0.06625176,0.2583697
496.9289,40,-,0.127736,0.02874822,0.009229998,-0.9913486,-0.054641,0.2537925,0.9657141,-0.05652067,0.2565991
496.9696,41,-,0.1261326,0.02134261,0.009152181,-0.9917415,-0.04002392,0.2505725,0.9672701,-0.04135463,0.2532716
496.9976,42,-,0.1250021,0.01655042,0.009045765,-0.9919772,-0.0305738,0.2482978,0.9682012,-0.03156745,0.2509227
497.0394,43,-,0.1233866,0.009735793,0.009012833,-0.9922701,-0.01709694,0.2450412,0.9693619,-0.01763549,0.2475622
497.0677,44,-,0.1223923,0.00537473,0.008896302,-0.9924274,-0.00849038,0.2430266,0.9699825,-0.008752903,0.2454847
497.0957,45,-,0.1214182,0.001125604,0.00877367,-0.9925621,-0.0001038979,0.2410499,0.9705127,-0.0001070546,0.2434475
497.1368,46,-,0.120037,-0.004721493,0.008320931,-0.9927233,0.01137191,0.2382485,0.9711376,0.01170935,0.240562
497.1649,47,-,0.1191905,-0.008491069,0.00775969,-0.9928048,0.01870971,0.236534,0.9714431,0.01925733,0.2387971
497.2065,48,-,0.1180269,-0.0139209,0.006879494,-0.992889,0.02926775,0.2341837,0.9717517,0.03010945,0.2363788
497.2349,49,-,0.1172372,-0.01729715,0.006162306,-0.9929342,0.03579476,0.2326044,0.9719125,0.03681256,0.2347547
497.2626,50,-,0.1164139,-0.0205939,0.005482225,-0.9929722,0.04217475,0.2309658,0.9720474,0.04336035,0.2330702
497.3039,51,-,0.1151728,-0.02552265,0.004455715,-0.9930075,0.05171472,0.2285075,0.9721676,0.05314518,0.2305444
497.3315,52,-,0.1142235,-0.02876873,0.003789399,-0.9930312,0.05800217,0.226637,0.9722507,0.05958701,0.2286234
497.3735,53,-,0.1126956,-0.03357325,0.002806723,-0.9930583,0.06731302,0.2236383,0.9723451,0.06911723,0.2255457
497.4013,54,-,0.1116398,-0.03678402,0.002111014,-0.9930655,0.07352924,0.221576,0.972367,0.07547517,0.2234303
497.4301,55,-,0.1108138,-0.03996376,0.001682542,-0.993036,0.07974379,0.2199497,0.9722464,0.08183695,0.2217629
497.4709,56,-,0.1092351,-0.04469667,0.001085976,-0.99301,0.08900575,0.2168461,0.9721398,0.09130198,0.2185825
497.4987,57,-,0.1080938,-0.0477991,0.0006102566,-0.9929907,0.09506004,0.2146139,0.972062,0.0974822,0.2162964
497.5403,58,-,0.1062504,-0.05216347,-0.0001348127,-0.9929702,0.1035649,0.2110211,0.9719796,0.10615,0.2126195
497.5683,59,-,0.1050023,-0.05491572,-0.0006653946,-0.9929544,0.1089179,0.2085981,0.9719176,0.1115993,0.2101413
497.5966,60,-,0.1038795,-0.05757999,-0.001279864,-0.9929209,0.1140789,0.2064357,0.9717872,0.116856,0.2079308
497.6382,61,-,0.1023156,-0.06121069,-0.002090441,-0.9928648,0.1211201,0.2034271,0.9715695,0.1240245,0.2048569
497.6655,62,-,0.1013305,-0.06339309,-0.002545442,-0.9928278,0.125361,0.2015303,0.9714268,0.128339,0.20292
497.7075,63,-,0.09987906,-0.06593889,-0.003139324,-0.9928073,0.1303021,0.1987353,0.9713525,0.133349,0.2000673
497.7354,64,-,0.09920419,-0.06729691,-0.003139876,-0.9927839,0.1329996,0.1973993,0.9712593,0.1360888,0.1987043
497.7635,65,-,0.09856458,-0.06846873,-0.002967993,-0.992768,0.1353621,0.19611,0.9711941,0.1384848,0.1973892
497.8051,66,-,0.09768753,-0.06961716,-0.002571414,-0.9927759,0.1377261,0.1943217,0.9712212,0.1408679,0.1955659
497.8329,67,-,0.09705032,-0.0699918,-0.002304083,-0.9928128,0.1385303,0.1930281,0.9713648,0.1416588,0.1942474
497.8615,68,-,0.09642327,-0.07031449,-0.001945514,-0.9928518,0.1392485,0.1917416,0.9715168,0.1423615,0.1929364
497.9026,69,-,0.09549899,-0.07072222,-0.001573056,-0.9929128,0.1401415,0.1898668,0.9717566,0.1432272,0.1910265
497.931,70,-,0.09489704,-0.07113026,-0.001397099,-0.9929417,0.1409912,0.1886532,0.9718701,0.144067,0.1897905
497.9724,71,-,0.09413908,-0.0717027,-0.001384102,-0.9929727,0.1421371,0.1871536,0.9719931,0.1452034,0.1882637
498.0001,72,-,0.09380972,-0.07208166,-0.001464548,-0.9929762,0.142876,0.1865128,0.9720079,0.1459454,0.1876114
