time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y,TF_eyeClosed,frame_range,count_1
1125.829,3,2.068446e-07,-0.02652268,-0.08447159,-0.002249252,0.9960703,-0.16816,0.0532169,0.9843222,-0.1692048,0.05324205,0,1-300,1.0
1125.867,4,0.0,0.006623913,0.009067555,-6.006648e-05,0.9999369,0.01813317,-0.01324808,0.9997478,0.01813576,-0.01324847,0,301-600,5.0
1125.896,5,0.0,0.007025236,0.01073094,-7.539357e-05,0.9999177,0.02145905,-0.01405093,0.999671,0.02146282,-0.0140514,0,601-900,7.0
1125.924,6,0.6220984,-0.004941681,0.01045732,5.168022e-05,0.9999331,0.02091274,0.009883783,0.9997324,0.02091528,0.009883943,1,901-1200,12.0
1125.955,7,0.6220984,-0.00418965,0.001170168,4.902638e-06,0.9999906,0.002340272,0.008379232,0.9999622,0.002340356,0.00837933,1,1201-1500,6.0
1125.994,8,0.9998333,0.08578175,-0.1039205,0.008996902,0.9908386,-0.2043933,-0.1718616,0.9636841,-0.2089985,-0.1727191,1,1501-1800,13.0
1126.022,9,0.3636138,0.08573972,-0.1042333,0.00901983,0.9908091,-0.2050038,-0.1717837,0.9635683,-0.2096292,-0.17264,0,1801-2100,11.0
1126.063,10,0.0120973,-0.00220531,-0.0820807,-0.0001816267,0.9966233,-0.1636063,0.004425543,0.9865158,-0.1643467,0.004425557,0,2101-2400,8.0
1126.09,11,0.0002362542,-0.01082383,-0.02166795,-0.0002345989,0.9997066,-0.04331811,0.02165147,0.9988267,-0.04334183,0.02165316,0,2401-2700,5.0
1126.12,12,0.0002362542,-0.0236942,-0.01836103,-0.0004352454,0.9995506,-0.03668493,0.04738308,0.9982029,-0.03673444,0.04740083,0,2701-3000,1.0
1126.162,13,1.164153e-10,-0.01982372,-0.01876155,-0.0003720624,0.9996274,-0.03749437,0.03964663,0.9985101,-0.03753268,0.03965702,0,3001-3300,9.0
1126.201,14,0.0,-0.0202827,-0.01970774,-0.0003998861,0.9995999,-0.03938348,0.04056494,0.9984004,-0.03942614,0.04057607,0,3301-3600,13.0
1126.23,15,0.0,-0.01836441,-0.01883799,-0.0003460685,0.9996538,-0.03765023,0.03672915,0.9986157,-0.03768457,0.03673741,0,3601-3900,9.0
1126.258,16,0.0,-0.01774159,-0.01842543,-0.0003270035,0.9996728,-0.0368272,0.03548362,0.9986915,-0.03685875,0.03549108,0,3901-4200,4.0
