time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y,TF_eyeClosed,frame_range,count_1
1302.186,4,0.0,0.04004044,0.1101623,-0.004441608,0.9930968,0.218448,-0.08050666,0.9725221,0.2209528,-0.08059388,0,1-300,3.0
1302.225,5,0.239025,0.03610672,0.02418659,-0.0008741245,0.9990548,0.04826433,-0.07218747,0.9962226,0.04840948,-0.07225031,0,301-600,2.0
1302.254,6,0.1055113,0.0498001,0.01366188,-0.000681272,0.9986656,0.02721944,-0.0994859,0.9946666,0.02735856,-0.09965074,0,601-900,4.0
1302.282,7,0.001119185,0.05526671,0.0111859,-0.0006191931,0.9984088,0.02226775,-0.1103714,0.993641,0.02240651,-0.1105967,0,901-1200,4.0
1302.323,8,0.0,0.05684898,0.01059928,-0.0006035685,0.9983264,0.02109446,-0.1135205,0.9933117,0.02123331,-0.1137657,0,1201-1500,4.0
1302.351,9,0.0,0.05706123,0.01239639,-0.0007085625,0.9982935,0.02466961,-0.1139453,0.9931807,0.02483389,-0.1141933,0,1501-1800,2.0
1302.393,10,0.0,0.05731601,0.01499174,-0.0008607789,0.9982432,0.02983212,-0.1144564,0.9929802,0.03003398,-0.1147078,0,1801-2100,3.0
1302.42,11,0.0,0.05815773,0.01695834,-0.0009880739,0.9981629,0.03373945,-0.1161353,0.9926602,0.03397584,-0.1163979,0,2101-2400,1.0
1302.449,12,0.0,0.06042586,0.05766014,-0.003496402,0.9964998,0.1144941,-0.1208319,0.986048,0.1155965,-0.1211279,0,2401-2700,2.0
1302.491,13,1.110223e-16,0.07577263,0.09896536,-0.007558023,0.992173,0.1952361,-0.1518551,0.9689288,0.1988345,-0.1524449,0,2701-3000,3.0
1302.518,14,0.0,0.07784637,0.1027675,-0.008067673,0.9916217,0.202557,-0.1560465,0.9667575,0.2065343,-0.1566868,0,3001-3300,2.0
1302.56,15,0.0,0.07858995,0.1034052,-0.008196314,0.9914958,0.2037634,-0.1575383,0.966262,0.2078329,-0.1581973,0,3301-3600,3.0
