time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y,TF_eyeClosed,frame_range,count_1
490.4155,3,0.0,0.01947016,-0.02044481,0.0003982226,0.9996013,-0.0408578,-0.03894109,0.9984059,-0.04090022,-0.03895093,0,1-300,1.0
490.4428,4,1.344181e-18,-0.02053119,0.02895342,0.0005948232,0.9993697,0.05784593,0.04107095,0.9974803,0.05792717,0.04108251,0,301-600,3.0
490.4717,5,9.40304e-19,-0.02113097,0.029891,0.0006320497,0.9993296,0.05971522,0.04227139,0.99732,0.05980429,0.04228399,0,601-900,1.0
490.4992,6,6.626855999999999e-19,-0.02114427,0.02989193,0.0006324671,0.9993293,0.05971701,0.04229798,0.9973188,0.05980615,0.0423106,0,901-1200,2.0
490.5273,7,4.67038e-19,-0.02242675,0.03003405,0.0006740401,0.999297,0.05999564,0.04486246,0.99719,0.06009227,0.04487753,0,1201-1500,2.0
490.5689,8,3.2915909999999997e-19,-0.02263022,0.03120652,0.000706736,0.9992565,0.06233466,0.0452709,0.9970281,0.0624392,0.04528638,0,1501-1800,3.0
490.5971,9,2.3198329999999996e-19,-0.02206396,0.03103413,0.0006852328,0.9992746,0.06199299,0.04413844,0.9971001,0.06209336,0.04415278,0,1801-2100,2.0
490.6388,10,1.6349359999999999e-19,-0.02273641,0.02751397,0.0006259678,0.9993626,0.0549644,0.04547828,0.9974521,0.05504913,0.04549397,0,2101-2400,4.0
490.6664,11,1.1522469999999998e-19,-0.05990832,-0.02405646,-0.001444196,0.9979129,-0.04783946,0.1196361,0.9916646,-0.04820419,0.1199233,0,2401-2700,4.0
490.6933,12,8.120727e-20,-0.099206,-0.08506709,-0.008512478,0.9913876,-0.1669799,0.1981515,0.9658435,-0.1711929,0.1994716,0,2701-3000,2.0
490.7359,13,5.723276e-20,-0.09870379,-0.08839143,-0.008802521,0.9911443,-0.1734796,0.1972155,0.964889,-0.1778918,0.1985168,0,3001-3300,4.0
490.7637,14,4.033689e-20,-0.09880451,-0.08813809,-0.008786138,0.991157,-0.1729811,0.1974103,0.9649387,-0.1773823,0.1987156,0,3301-3600,5.0
490.8057,15,2.842817e-20,-0.09902769,-0.08824445,-0.008816895,0.991125,-0.1731763,0.1978537,0.9648129,-0.177601,0.1991679,0,3601-3900,2.0
490.8329,16,2.0035479999999998e-20,-0.09915214,-0.08811577,-0.008815111,0.991124,-0.1729192,0.1980976,0.9648089,-0.1773435,0.1994167,0,3901-4200,3.0
