time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y,TF_eyeClosed,frame_range,count_1
366.6837,4,0.0001691353,0.1088782,0.04259253,-0.004669472,0.9931312,0.08358313,-0.2166584,0.9726628,0.08572169,-0.2183903,0,1-300,4.0
366.7119,5,0.0001691353,0.03556681,0.03112054,-0.001108097,0.9988821,0.06209268,-0.07112307,0.995533,0.06229061,-0.07118317,0,301-600,0.0
366.7409,6,0.0001691353,0.03535458,0.03201813,-0.001133278,0.9988612,0.06388319,-0.0707012,0.9954498,0.06408731,-0.07076023,0,601-900,1.0
366.768,7,8.189582e-05,0.03346576,0.03294533,-0.001103759,0.9988961,0.06574406,-0.06693035,0.9955893,0.06593958,-0.06698043,0,901-1200,1.0
366.8097,8,3.635277e-05,0.03294998,0.03415188,-0.001126573,0.9988728,0.06815252,-0.06590262,0.9954959,0.06835423,-0.06595042,0,1201-1500,0.0
366.8371,9,3.635277e-05,0.06526428,0.1012121,-0.006654111,0.9926996,0.2000778,-0.1309226,0.9709934,0.2032106,-0.1312995,0,1501-1800,6.0
366.882,10,1.668865e-05,0.07221846,0.1025113,-0.007462321,0.9920788,0.2023208,-0.1448227,0.9685519,0.2059288,-0.1453338,0,1801-2100,2.0
366.9194,11,1.141497e-05,0.0717643,0.1029366,-0.007446237,0.9920678,0.2031715,-0.1439231,0.9685079,0.2067794,-0.1444246,0,2101-2400,0.0
366.9477,12,7.846978e-06,0.06975988,0.1027189,-0.007221738,0.992235,0.2028351,-0.13992,0.9691647,0.2063107,-0.1403806,0,2401-2700,1.0
366.9768,13,0.01307844,0.05740641,0.09279598,-0.005359161,0.9940144,0.1838658,-0.1151202,0.9761868,0.18617,-0.115376,0,2701-3000,0.0
367.0035,14,0.01307844,-0.03796709,-0.008249013,-0.0003134277,0.9992449,-0.01646177,0.07588201,0.9969809,-0.01651012,0.07595502,0,3001-3300,1.0
367.0323,15,0.007778433,-0.03790151,-0.00820583,-0.0003112475,0.9992478,-0.01637572,0.0757511,0.9969923,-0.01642364,0.07582374,0,3301-3600,0.0
367.0742,16,0.004752026,-0.0565733,-0.0931615,-0.005302116,0.9940283,-0.1846104,0.1134588,0.9762408,-0.1868964,0.1137037,0,3601-3900,0.0
367.1018,17,0.002971688,-0.05757629,-0.09367909,-0.005426681,0.9939214,-0.1855944,0.1154694,0.9758184,-0.1879488,0.1157275,0,3901-4200,1.0
367.144,18,0.001229018,-0.05647665,-0.09089947,-0.005163419,0.994244,-0.1801693,0.1132419,0.9770954,-0.1823445,0.1134853,0,4201-4500,10.0
367.1707,19,0.001229018,-0.05035455,-0.09446429,-0.004784252,0.9942424,-0.187359,0.1010331,0.9770818,-0.1894539,0.1012058,0,4501-4800,1.0
367.1994,20,0.0008081535,-0.05043777,-0.0944747,-0.004792712,0.9942372,-0.1873771,0.1011998,0.9770612,-0.1894757,0.1013733,0,4801-5100,1.0
367.2411,21,0.0005376579,-0.05369698,-0.09558479,-0.005163812,0.9939585,-0.1894601,0.1077323,0.9759604,-0.1917419,0.1079418,0,5101-5400,1.0
367.269,22,0.0003611909,-0.05487568,-0.09453706,-0.005219132,0.9939941,-0.1873657,0.110079,0.9761028,-0.1896461,0.1103025,0,5401-5700,5.0
367.3119,23,0.0001668146,-0.03013388,-0.0153691,-0.0004633957,0.9994276,-0.03069267,0.0602475,0.9977115,-0.03075337,0.06028401,0,5701-6000,3.0
367.3519,24,0.0,0.0588571,0.1025098,-0.006076138,0.9929706,0.2028631,-0.1181325,0.9720552,0.205742,-0.118409,0,6001-6300,2.0
367.3792,25,0.0,0.06431241,0.1029518,-0.006670559,0.9925827,0.2035184,-0.1290443,0.9705297,0.2067032,-0.1294051,0,6301-6600,1.0
367.4085,26,0.0,0.07155662,0.1096156,-0.007912058,0.9913635,0.2162056,-0.1436118,0.9657281,0.2202465,-0.1441101,0,6601-6900,0.0
367.4351,27,0.0,0.07408524,0.1109406,-0.008293474,0.9910272,0.2186614,-0.1486811,0.9644071,0.2229618,-0.1492344,0,6901-7200,3.0
367.478,28,0.0,0.01096609,0.05001238,-0.0005491608,0.9986883,0.09988151,-0.02195835,0.994757,0.1000725,-0.02196011,0,7201-7500,3.0
367.5045,29,0.0,-0.07346944,-0.0892888,-0.006604443,0.9932705,-0.1764054,0.1471295,0.9732595,-0.1793055,0.1476655,0,7501-7800,0.0
367.5326,30,1.835099e-05,-0.07431272,-0.08877726,-0.006642093,0.9932533,-0.1753694,0.1488021,0.9731925,-0.1782868,0.1493567,0,7801-8100,1.0
367.575,31,8.968568e-06,-0.1080179,-0.1845587,-0.02041218,0.9766543,-0.3560902,0.2185269,0.9085404,-0.3735359,0.2203046,0,8101-8400,1.0
367.6033,32,8.968568e-06,-0.1209248,-0.1756149,-0.02174142,0.976762,-0.3378098,0.2438657,0.9090732,-0.3557847,0.2463499,0,8401-8700,1.0
367.6455,33,4.406306e-06,-0.1179945,-0.1785182,-0.02156892,0.9765978,-0.343591,0.2381672,0.9084171,-0.3615998,0.2404783,0,8701-9000,4.0
