time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y
1174.155,1,-,-0.1367842,0.05605988,0.007887921,0.9889818,0.1087265,0.2714386,0.9562947,0.1132095,0.2748874
1174.183,2,-,-0.1352247,0.05591252,0.007914921,0.9892045,0.1084772,0.2684149,0.9571761,0.112849,0.2717471
1174.225,3,-,-0.1325045,0.05539186,0.008071905,0.9896005,0.1074925,0.2631474,0.9587486,0.1116512,0.2662831
1174.253,4,-,-0.1311996,0.05507176,0.008134438,0.9897917,0.1068847,0.2606164,0.9595076,0.110938,0.2636606
1174.296,5,-,-0.1287227,0.05502063,0.008075928,0.9901202,0.106875,0.2557906,0.9608064,0.1107793,0.2586654
1174.323,6,-,-0.1275614,0.05512017,0.00849307,0.9902615,0.107,0.2535746,0.9613797,0.1108422,0.2563738
1174.35,7,-,-0.1270583,0.05516657,0.008799811,0.9903209,0.107029,0.2526278,0.9616257,0.1108439,0.2553952
1174.392,8,-,-0.1266442,0.05498945,0.008991477,0.9903821,0.1066437,0.2518412,0.9618748,0.1104197,0.2545823
1174.42,9,-,-0.1263817,0.05469459,0.009118669,0.9904307,0.1060375,0.2513422,0.9620723,0.1097748,0.2540667
1174.461,10,-,-0.1256804,0.0541244,0.009445121,0.9905483,0.1048515,0.2500075,0.9625499,0.1085032,0.252688
1174.49,11,-,-0.1251966,0.05377425,0.009676335,0.9906263,0.1041175,0.2490868,0.9628683,0.1077141,0.2517372
1174.517,12,-,-0.1243474,0.05358242,0.009879454,0.9907417,0.1037157,0.2474511,0.9633332,0.1072503,0.2500486
1174.559,13,-,-0.1228383,0.05351951,0.01009154,0.9909312,0.1035891,0.2445288,0.9640929,0.1070365,0.2470337
1174.587,14,-,-0.12245,0.05349633,0.01035827,0.9909777,0.1034906,0.2437987,0.9642883,0.1069141,0.2462808
1174.615,15,-,-0.1224824,0.05361623,0.01057993,0.9909649,0.1036719,0.243886,0.9642467,0.1071045,0.2463709
1174.657,16,-,-0.1220236,0.05412616,0.01062903,0.9909933,0.1046833,0.2429997,0.9643612,0.1081286,0.2454571
1174.684,17,-,-0.1214198,0.05456436,0.01057789,0.9910439,0.1055826,0.241819,0.9645599,0.1090279,0.24424
1174.726,18,-,-0.1205978,0.05511238,0.01039929,0.9911159,0.1067373,0.240199,0.9648376,0.1101792,0.2425709
1174.755,19,-,-0.120227,0.05554698,0.01008691,0.9911399,0.1076842,0.2394442,0.96492,0.1111392,0.2417934
