time,frame,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z
524.0785,54,-0.09418883,-0.1844198,-0.01775807,0.9781628,-0.35744,0.1908139,0.9142356
524.105,55,-0.09921636,-0.1830264,-0.01856936,0.9779124,-0.3542827,0.2008472,0.9133149
524.148,56,-0.1054065,-0.1879182,-0.0202886,0.9763016,-0.3626525,0.2134422,0.9071525
524.1747,57,-0.1146386,-0.1954993,-0.02301691,0.9737085,-0.3754415,0.2322487,0.897276
524.2175,58,-0.1186987,-0.2067153,-0.02527369,0.9708453,-0.3953772,0.2409251,0.8863588
524.2451,59,-0.1098001,-0.2123631,-0.02402118,0.9707053,-0.4070089,0.2233695,0.8856917
524.2721,60,-0.111008,-0.2130955,-0.0243769,0.9703985,-0.4081631,0.2258332,0.8845351
524.3145,61,-0.1141196,-0.214726,-0.02527129,0.969655,-0.4106523,0.2321661,0.881739
524.3416,62,-0.1166661,-0.2167882,-0.02610444,0.9688707,-0.4139884,0.237387,0.8787838
524.3844,63,-0.1094093,-0.2165134,-0.0244257,0.9698221,-0.4146141,0.2227921,0.8823031
524.4124,64,-0.1103237,-0.214918,-0.02444204,0.970073,-0.4115793,0.2245502,0.8832778
524.4529,65,-0.1113745,-0.2108569,-0.0241892,0.9708502,-0.4040328,0.2264569,0.8862702
524.481,66,-0.1129833,-0.2142355,-0.0249561,0.9699047,-0.4099368,0.2298591,0.8826758
524.5079,67,-0.1144637,-0.2101355,-0.02478063,0.9706323,-0.4022556,0.2326189,0.8854823
524.5511,68,-0.1146838,-0.2128267,-0.0251624,0.9700099,-0.4071166,0.2331994,0.8831049
524.5786,69,-0.1153741,-0.2161333,-0.02572911,0.9691818,-0.4130079,0.2347588,0.8799505
524.6059,70,-0.1289189,-0.215595,-0.02872767,0.9675089,-0.4097731,0.2618476,0.8737974
524.6486,71,-0.1374285,-0.2153666,-0.03062879,0.9663295,-0.4078116,0.2787953,0.8694613
524.6777,72,-0.1421139,-0.229273,-0.03385811,0.9623363,-0.431652,0.2890483,0.854475
524.718,73,-0.1421831,-0.2297323,-0.03394678,0.9622135,-0.4324496,0.2892183,0.8540141
524.7452,74,-0.1359809,-0.2329659,-0.03291765,0.9623682,-0.4394456,0.2770647,0.8544722
524.7724,75,-0.1150286,-0.2408921,-0.02876571,0.9632819,-0.4574763,0.2354688,0.8574788
524.8157,76,-0.1142438,-0.240771,-0.02855123,0.9634119,-0.4573998,0.2338763,0.8579553
524.843,77,-0.1071656,-0.2410034,-0.02678572,0.9642175,-0.4590184,0.2195727,0.8608658
524.885,78,-0.1032437,-0.2357784,-0.02519997,0.9659784,-0.4503101,0.2113456,0.8674986
524.9138,79,-0.105006,-0.237106,-0.0257886,0.9654478,-0.452411,0.2149848,0.865509
524.9402,80,-0.105055,-0.2327417,-0.02529772,0.9665169,-0.4445823,0.2148505,0.8695895
524.983,81,-0.1176791,-0.2161705,-0.02625577,0.9688821,-0.412708,0.2393857,0.8788439
525.0099,82,-0.1175634,-0.2062628,-0.02497092,0.9710875,-0.3947271,0.2386298,0.8872691
525.0519,83,-0.1181283,-0.2031688,-0.02469953,0.971678,-0.3889939,0.2396017,0.8895363
525.0805,84,-0.1194581,-0.207175,-0.02549712,0.9706483,-0.3960965,0.2424684,0.8856165
525.1068,85,-0.111065,-0.2043374,-0.02334131,0.9722993,-0.3921695,0.2255159,0.8918215
525.1496,86,-0.1381672,-0.1716458,-0.02432097,0.9751185,-0.3280293,0.277808,0.9028951
525.1783,87,-0.1023222,-0.1351185,-0.01403001,0.9854321,-0.263429,0.2054546,0.9425463
525.2194,88,-0.0848851,-0.1332965,-0.01145965,0.9873679,-0.26128,0.1706807,0.9500531
525.2469,89,-0.07830943,-0.1369124,-0.01085809,0.9874233,-0.2686804,0.1576223,0.9502453
525.2742,90,-0.07720698,-0.1409888,-0.01102943,0.9869345,-0.2765904,0.1555065,0.9483225
525.3166,91,-0.09259486,-0.1433873,-0.01347593,0.9852333,-0.2800444,0.1863196,0.9417325
525.3445,92,-0.09168921,-0.1419662,-0.01320792,0.9855274,-0.2774012,0.1844746,0.9428774
525.3866,93,-0.09855349,-0.1360587,-0.01360369,0.9856927,-0.2655427,0.1979887,0.9435505
