time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y,TF_eyeClosed,frame_range,count_1
1047.22,4,0.7875268,-0.04904277,0.06256754,0.003078243,0.9968303,0.1244365,0.09815983,0.9873602,0.1253685,0.09831814,1,1-300,4.0
1047.248,5,0.8544481,0.01215447,-0.001354043,1.64589e-05,0.9999253,-0.002707483,-0.02430717,0.9997008,-0.002708287,-0.02430956,1,301-600,3.0
1047.276,6,0.7847769,0.03767351,-0.001548058,5.836229e-05,0.9992889,-0.003089517,-0.07529363,0.9971566,-0.003098316,-0.07536495,1,601-900,2.0
1047.303,7,0.6868802,0.03812725,-0.00154876,5.9093e-05,0.9992718,-0.003090758,-0.07619915,0.9970878,-0.003099775,-0.07627308,1,901-1200,1.0
1047.345,8,0.4637113,0.07052912,-0.01502457,0.001062436,0.997396,-0.02982103,-0.1407228,0.9895998,-0.03012532,-0.1411915,0,1201-1500,2.0
1047.373,9,0.2472922,0.07063731,-0.01513805,0.001072113,0.9973866,-0.03004551,-0.1409379,0.9895624,-0.0303531,-0.1414087,0,1501-1800,4.0
1047.414,10,0.09914705,0.04683672,-0.002856654,0.0001339438,0.9988985,-0.005694468,-0.09357101,0.9955963,-0.005719593,-0.0937081,0,1801-2100,3.0
1047.442,11,0.03534161,0.03799281,-0.0001900607,7.226158e-06,0.999278,-0.0003792979,-0.07593076,0.997113,-0.000380396,-0.07600391,0,2101-2400,1.0
1047.47,12,0.003095716,0.0376546,-0.0001292638,4.870833e-06,0.9992908,-0.0002579775,-0.0752558,0.9971642,-0.0002587111,-0.07532701,0,2401-2700,2.0
1047.512,13,0.01835272,0.03674452,0.002060951,-7.577999e-05,0.9993226,0.004113541,-0.07343956,0.9972912,0.004124691,-0.07350574,0,2701-3000,4.0
1047.54,14,0.005928084,0.03661478,0.004278585,-0.000156766,0.9993203,0.008539874,-0.07318114,0.9972821,0.008562938,-0.07324661,0,3001-3300,3.0
1047.582,15,0.0004956573,0.03833399,0.01692327,-0.0006493069,0.9991215,0.03376702,-0.07662261,0.9964882,0.03387306,-0.07669778,0,3301-3600,4.0
1047.609,16,0.0002004504,0.0304091,0.05654462,-0.001723028,0.9979354,0.112751,-0.06088748,0.991756,0.1132022,-0.06092516,0,3601-3900,1.0
1047.637,17,0.0002207682,0.03038299,0.05652298,-0.001720887,0.9979374,0.1127082,-0.06083518,0.9917641,0.1131587,-0.06087277,0,3901-4200,1.0
1047.679,18,3.04319e-05,0.029,0.05789264,-0.001682419,0.9979001,0.1154446,-0.058073,0.9916149,0.115899,-0.05810569,0,4201-4500,4.0
1047.707,19,7.845461e-06,0.02898976,0.05804168,-0.001686169,0.9978917,0.1157409,-0.05805301,0.9915815,0.1161977,-0.05808567,0,4501-4800,3.0
