time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y
431.6475,1,-,-0.08969206,-0.06932312,-0.004758343,0.9935427,-0.1368974,0.1788855,0.9742993,-0.1395947,0.1798535
431.6752,2,-,-0.09383549,-0.06791955,-0.004148707,0.9932597,-0.1341449,0.1869696,0.9731637,-0.1369809,0.1880764
431.7172,3,-,-0.09965542,-0.06439212,-0.003363732,0.9929306,-0.1272034,0.198335,0.9718449,-0.1301487,0.1996589
431.7447,4,-,-0.1017949,-0.06158864,-0.002641045,0.9928936,-0.1217643,0.2024683,0.9716893,-0.1246621,0.2038778
431.787,5,-,-0.104644,-0.05738256,-0.002201434,0.9928505,-0.1134839,0.2080443,0.9715137,-0.1162844,0.2095751
431.8144,6,-,-0.106414,-0.05502176,-0.002319027,0.9927957,-0.1087572,0.2115499,0.9712973,-0.1115066,0.2131605
431.8419,7,-,-0.1076728,-0.05319836,-0.002956248,0.9927576,-0.1049895,0.2141006,0.971153,-0.1076899,0.215771
431.8834,8,-,-0.1085811,-0.05196991,-0.004521158,0.9927179,-0.1022011,0.2160508,0.9710186,-0.1048654,0.2177679
431.9115,9,-,-0.1084401,-0.05233708,-0.005166546,0.9927109,-0.1027907,0.2158403,0.9710031,-0.1054675,0.2175523
431.9536,10,-,-0.1072861,-0.05337229,-0.005632225,0.9927787,-0.1047652,0.213624,0.9712822,-0.1074474,0.2152831
431.981,11,-,-0.1047524,-0.05570298,-0.00489727,0.992925,-0.1095918,0.2085681,0.9718482,-0.112292,0.2101107
432.009,12,-,-0.1014239,-0.06024429,-0.003807805,0.9930103,-0.118874,0.2018888,0.9721676,-0.1216732,0.203286
432.051,13,-,-0.09424174,-0.07072618,-0.003516551,0.9930277,-0.1398033,0.1876667,0.9722326,-0.1428171,0.1887861
432.0785,14,-,-0.08981211,-0.07888386,-0.003141988,0.9928249,-0.1560713,0.1788311,0.9714223,-0.1593014,0.1797983
432.1208,15,-,-0.08574455,-0.09165832,-0.002999466,0.9920875,-0.1813518,0.1706821,0.9684932,-0.1851079,0.1715218
432.1481,16,-,-0.0840117,-0.09965293,-0.003212344,0.9914641,-0.1970649,0.1672294,0.9660227,-0.201235,0.1680188
432.1765,17,-,-0.08260043,-0.106402,-0.003017042,0.9908818,-0.2103651,0.1643366,0.9637116,-0.2149152,0.1650854
432.2182,18,-,-0.08145227,-0.1130019,-0.003333863,0.9902449,-0.2232561,0.1620689,0.9611922,-0.2282232,0.1627869
432.2455,19,-,-0.08043388,-0.1145804,-0.004163783,0.9901437,-0.2262323,0.1602364,0.9608034,-0.2312494,0.1609301
432.2876,20,-,-0.07714006,-0.1125273,-0.005434349,0.9906349,-0.2221086,0.1540583,0.962774,-0.2267298,0.1546743
432.3152,21,-,-0.07351729,-0.1085871,-0.006490406,0.9913436,-0.21434,0.1471713,0.9656081,-0.2184325,0.1477078
432.3432,22,-,-0.06874723,-0.1034784,-0.007554416,0.9922243,-0.2043089,0.1379888,0.9691321,-0.2077739,0.1384305
432.385,23,-,-0.05920014,-0.09445083,-0.009213109,0.9937251,-0.1866255,0.1193977,0.9751488,-0.189095,0.1196832
