time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y
453.4814,1,-,-0.1388618,-0.0320219,-0.02266317,0.9895345,-0.05707945,0.2762684,0.959384,-0.05942588,0.2799093
453.5094,2,-,-0.137678,-0.03064253,-0.02280875,0.9897402,-0.05437576,0.2739288,0.9602116,-0.05656851,0.2774757
453.5508,3,-,-0.1363814,-0.02902275,-0.02297101,0.9899647,-0.05119736,0.2713589,0.9611156,-0.05321838,0.2748046
453.579,4,-,-0.1358226,-0.02831979,-0.0233,0.9900542,-0.04974693,0.2702631,0.9615004,-0.05169276,0.2736664
453.6208,5,-,-0.1345737,-0.02772375,-0.02399944,0.9902249,-0.04844612,0.2678471,0.9622427,-0.05030461,0.2711577
453.6487,6,-,-0.133077,-0.02759355,-0.02437011,0.9904217,-0.0481723,0.2649496,0.9630582,-0.04997848,0.2681517
453.6766,7,-,-0.1312529,-0.02752445,-0.02470752,0.9906588,-0.04804881,0.2614138,0.9640301,-0.0498004,0.2644866
453.718,8,-,-0.1286633,-0.02742904,-0.02499678,0.9909937,-0.04793168,0.2563803,0.9653868,-0.04960949,0.2592755
453.7468,9,-,-0.12674,-0.02748269,-0.02464446,0.9912488,-0.0482375,0.2526163,0.9663634,-0.04987513,0.2553833
453.7876,10,-,-0.1233579,-0.02727836,-0.02412947,0.9916937,-0.04815043,0.245983,0.9680774,-0.04969724,0.2485337
453.8157,11,-,-0.1210575,-0.02683206,-0.02399961,0.9919926,-0.04742373,0.2414642,0.9692503,-0.04888928,0.2438745
453.8438,12,-,-0.1187088,-0.02592367,-0.0239016,0.9923028,-0.04577359,0.2368294,0.9704723,-0.04713137,0.2391011
453.8885,13,-,-0.1153936,-0.02373578,-0.02423002,0.9927406,-0.04153496,0.2302621,0.9722418,-0.04269485,0.2323471
453.9265,14,-,-0.1126184,-0.02084393,-0.02479363,0.9931103,-0.0358162,0.2247186,0.9737653,-0.03676457,0.2266543
453.9543,15,-,-0.1109798,-0.01873854,-0.02544447,0.9933202,-0.0315791,0.2214306,0.9746647,-0.03238863,0.2232812
453.9828,16,-,-0.1097459,-0.01666334,-0.02603803,0.9934789,-0.02739422,0.2189281,0.9753563,-0.02807899,0.2207158
454.0111,17,-,-0.108868,-0.01478903,-0.02617344,0.9936016,-0.02368991,0.2171169,0.9758581,-0.02427122,0.21886
454.0521,18,-,-0.1080188,-0.01282831,-0.02611687,0.993723,-0.01985335,0.2153517,0.9763348,-0.02033178,0.217052
454.0809,19,-,-0.107667,-0.01214155,-0.02623647,0.9937667,-0.01848212,0.2146289,0.9765208,-0.01892424,0.2163118
454.1212,20,-,-0.1072123,-0.01239992,-0.02648478,0.993806,-0.01896725,0.2137533,0.9767035,-0.01941722,0.2154154
454.1501,21,-,-0.1066623,-0.01308201,-0.02680525,0.9938478,-0.02028483,0.2127136,0.976904,-0.02076142,0.2143513
454.1777,22,-,-0.1060928,-0.01389112,-0.02702309,0.993892,-0.02187863,0.2116404,0.9771027,-0.02238759,0.2132531
454.2191,23,-,-0.1051906,-0.01518045,-0.02686343,0.9939733,-0.02452636,0.2099288,0.977409,-0.02508798,0.2115021
454.2471,24,-,-0.1044531,-0.01595231,-0.02671287,0.9940431,-0.02613407,0.208514,0.9776701,-0.02672461,0.2100554
454.275,25,-,-0.103842,-0.01665065,-0.02662083,0.9940981,-0.02757605,0.2073447,0.9778792,-0.02819238,0.2088599
454.3171,26,-,-0.1032791,-0.01759923,-0.02652093,0.994143,-0.02951418,0.2062818,0.9780474,-0.03016748,0.2077735
454.3453,27,-,-0.1030869,-0.01814411,-0.02643563,0.9941554,-0.03062579,0.2059281,0.9780878,-0.03130168,0.207412
454.3858,28,-,-0.1026199,-0.01886592,-0.02619793,0.9941967,-0.03213601,0.2050372,0.9782265,-0.03283949,0.2065018
454.4142,29,-,-0.1025192,-0.01912508,-0.02649808,0.9941941,-0.03259496,0.2048614,0.9782481,-0.0333074,0.2063221
454.4426,30,-,-0.101838,-0.01954839,-0.0261189,0.9942659,-0.0335528,0.2035293,0.9784938,-0.03427682,0.2049613
454.4841,31,-,-0.09995884,-0.02019484,-0.02572591,0.994454,-0.03502261,0.199848,0.9792008,-0.03575128,0.2012028
454.5123,32,-,-0.09791981,-0.02066845,-0.02547322,0.9946535,-0.03612722,0.1958456,0.979969,-0.03684899,0.1971196
454.5543,33,-,-0.09302356,-0.02173136,-0.0249669,0.9951136,-0.03860533,0.1862231,0.9817487,-0.03930277,0.1873166
454.5823,34,-,-0.08914667,-0.02255499,-0.02468874,0.995457,-0.04050321,0.1785971,0.9830883,-0.04117668,0.1795604
454.6096,35,-,-0.08499769,-0.0235609,-0.02441381,0.9958034,-0.04277382,0.1704324,0.9844406,-0.04342256,0.1712685
454.6507,36,-,-0.07755406,-0.02550741,-0.02358928,0.9963826,-0.04717138,0.1557504,0.9866695,-0.04777233,0.1563871
454.6797,37,-,-0.07167246,-0.02696047,-0.02324061,0.9967929,-0.0504166,0.1441384,0.9882724,-0.05097069,0.1446422
454.7201,38,-,-0.06208494,-0.02972431,-0.02232356,0.9973784,-0.05652086,0.1251715,0.9905239,-0.05699978,0.1255006
454.7486,39,-,-0.05549728,-0.0318723,-0.02178267,0.9977123,-0.06118101,0.1121292,0.9918084,-0.06160825,0.1123655
454.7779,40,-,-0.0495704,-0.03412762,-0.02125106,0.9979612,-0.06600923,0.1003892,0.9927562,-0.06639315,0.1005586
454.8185,41,-,-0.04239569,-0.03746348,-0.02078717,0.9981819,-0.07302815,0.08619475,0.9935982,-0.07336675,0.08630184
454.8463,42,-,-0.03830444,-0.03966635,-0.02058547,0.9982663,-0.07761814,0.07810917,0.9939187,-0.07793487,0.07818881
454.8878,43,-,-0.03277662,-0.04258805,-0.02061379,0.9983422,-0.08368358,0.06720036,0.9942239,-0.08397183,0.06725105
454.9166,44,-,-0.0300391,-0.04439938,-0.02039138,0.998354,-0.08742752,0.06179003,0.9942527,-0.0877073,0.06182942
454.9441,45,-,-0.0280941,-0.0460911,-0.0201354,0.9983391,-0.09089773,0.057951,0.9941727,-0.09117702,0.05798348
454.9851,46,-,-0.02663406,-0.04809153,-0.01976327,0.9982922,-0.09496605,0.05507805,0.9939557,-0.0952544,0.05510594
455.0134,47,-,-0.0262089,-0.04918037,-0.01946145,0.9982563,-0.09716909,0.05424064,0.9937888,-0.0974666,0.05426727
455.0548,48,-,-0.0254812,-0.05035701,-0.01910832,0.9982234,-0.09956128,0.05279633,0.9936298,-0.09986626,0.05282089
455.0833,49,-,-0.02472075,-0.05103055,-0.01889471,0.9982123,-0.1009445,0.05128153,0.9935696,-0.1012504,0.05130403
455.1112,50,-,-0.02396335,-0.05227816,-0.01848196,0.998174,-0.1034796,0.04977158,0.9933855,-0.1037943,0.04979215
455.1519,51,-,-0.02285645,-0.05668821,-0.0179861,0.9979683,-0.1123239,0.04765922,0.9925281,-0.11269,0.04767728
455.1804,52,-,-0.02169148,-0.06183791,-0.01807282,0.9976868,-0.1226057,0.04551777,0.9914111,-0.1230431,0.0455335
455.2224,53,-,-0.0200823,-0.074357,-0.01752543,0.9968754,-0.1475454,0.04264538,0.9881355,-0.1482219,0.04265832
455.2505,54,-,-0.01909592,-0.08524662,-0.01786036,0.9960168,-0.169132,0.04108479,0.9847367,-0.170094,0.04109635
455.278,55,-,-0.01800947,-0.09745087,-0.01834768,0.9949083,-0.1932485,0.03941153,0.980358,-0.1946251,0.03942174
455.3194,56,-,-0.01655926,-0.1169607,-0.01866,0.9928231,-0.2316246,0.0372458,0.972092,-0.2339127,0.03725442
455.3471,57,-,-0.01580436,-0.1301823,-0.01870447,0.9911877,-0.257479,0.03620016,0.9656056,-0.260587,0.03620807
455.3891,58,-,-0.01505745,-0.1500232,-0.01864707,0.9883919,-0.2960018,0.03536031,0.9545326,-0.300698,0.03536768
455.4175,59,-,-0.01562713,-0.1630508,-0.01894163,0.9863121,-0.321046,0.03700336,0.9463404,-0.327066,0.03701181
455.4453,60,-,-0.01699163,-0.1750449,-0.02012678,0.984208,-0.3438772,0.04049278,0.9381412,-0.3513434,0.04050386
455.4873,61,-,-0.01828215,-0.1881706,-0.02182626,0.9817236,-0.368665,0.04411015,0.9285152,-0.3779588,0.04412446
