time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y
469.0602,1,-,-0.136958,0.006028041,-0.01161486,0.9904904,0.01512293,0.2711711,0.9624124,0.01571227,0.2746095
469.0881,2,-,-0.1369054,0.005939751,-0.01174835,0.9904966,0.01498343,0.2710691,0.9624432,0.01556686,0.2745035
469.1299,3,-,-0.1366845,0.006228908,-0.01193924,0.990523,0.01560357,0.2706296,0.9625571,0.01620912,0.2740469
469.1577,4,-,-0.1365321,0.006630703,-0.0120549,0.9905401,0.01642772,0.2703213,0.96263,0.0170638,0.2737267
469.1991,5,-,-0.1366196,0.007084519,-0.01219377,0.9905232,0.01736658,0.2704769,0.9625698,0.01803993,0.2738883
469.2274,6,-,-0.136825,0.007196993,-0.01231334,0.9904926,0.01762668,0.2708711,0.9624543,0.01831226,0.2742978
469.2552,7,-,-0.1374001,0.007122397,-0.01258426,0.9904101,0.01756635,0.2719857,0.962141,0.01825553,0.2754559
469.297,8,-,-0.1384743,0.006821305,-0.01299788,0.9902573,0.01710944,0.2740731,0.9615567,0.0177916,0.2776257
469.3253,9,-,-0.1389031,0.006400883,-0.01295807,0.9902006,0.01627615,0.274918,0.9613299,0.01692925,0.2785044
469.3662,10,-,-0.1392834,0.006005869,-0.01319516,0.9901465,0.01556911,0.2756634,0.9611282,0.01619737,0.2792797
469.394,11,-,-0.1393076,0.005810529,-0.01312072,0.9901452,0.01516217,0.275717,0.9611193,0.01577422,0.2793355
469.4221,12,-,-0.1391135,0.005649582,-0.01295255,0.9901757,0.0147919,0.2753472,0.9612311,0.01538729,0.2789508
469.4643,13,-,-0.1398407,0.00470905,-0.01344641,0.9900715,0.0130853,0.2767779,0.9608448,0.0136177,0.2804394
469.4917,14,-,-0.141734,0.002658114,-0.01395091,0.9898029,0.009216654,0.2805033,0.9598088,0.009602298,0.2843184
469.5329,15,-,-0.145593,-0.002897277,-0.016983,0.9891946,-0.000786732,0.2881379,0.9575886,-0.000821576,0.2922817
469.5614,16,-,-0.1485707,-0.009312227,-0.01829304,0.9886888,-0.01297817,0.294121,0.9556801,-0.0135792,0.2985357
469.5891,17,-,-0.1517851,-0.01777469,-0.0197042,0.9880573,-0.02914321,0.3006452,0.9532907,-0.03056165,0.3053691
469.631,18,-,-0.1570529,-0.0329092,-0.02186268,0.9867997,-0.05808238,0.3113985,0.9485027,-0.0611595,0.3166644
469.6593,19,-,-0.1603015,-0.04471314,-0.02308971,0.9857845,-0.08075241,0.3181103,0.9446083,-0.08528037,0.3237356
469.6862,20,-,-0.1625825,-0.05724965,-0.0243165,0.9847326,-0.1048443,0.3229848,0.9405788,-0.1110096,0.3288817
469.7281,21,-,-0.1649829,-0.07529851,-0.02654868,0.9830595,-0.1392857,0.3283741,0.9342216,-0.1480026,0.3345817
469.7564,22,-,-0.1665179,-0.08623326,-0.02788018,0.9818648,-0.1600537,0.3318046,0.9296712,-0.1704903,0.3382159
469.7976,23,-,-0.1677015,-0.1003558,-0.02922295,0.9802811,-0.1869523,0.3346547,0.9236099,-0.1997164,0.3412387
469.8263,24,-,-0.1680231,-0.1083546,-0.02971433,0.9793593,-0.2022508,0.3355493,0.920055,-0.2163831,0.3421883
469.8536,25,-,-0.1683916,-0.1153315,-0.02990898,0.9784929,-0.2156292,0.3364388,0.9166858,-0.231027,0.3431327
469.8953,26,-,-0.1688849,-0.1239824,-0.03051187,0.9773307,-0.2320377,0.3376786,0.9122125,-0.2490855,0.3444496
469.924,27,-,-0.1690952,-0.1292622,-0.03126075,0.9765863,-0.2418993,0.3383537,0.9093962,-0.2599798,0.3451669
469.9645,28,-,-0.1689855,-0.1371022,-0.03258052,0.9754924,-0.256473,0.3386218,0.9052938,-0.2760695,0.3454518
469.9923,29,-,-0.1687652,-0.1421196,-0.03317524,0.9747922,-0.2658765,0.3384516,0.9026407,-0.2864531,0.3452709
