time,frame,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z
524.3691,63,0.2344873,0.1846712,0.09273265,-0.9499015,-0.3073497,0.4797298,0.8218244
524.4031,64,0.2350207,0.1830593,0.09388481,-0.9499686,-0.3036714,0.4808976,0.8225091
524.4371,65,0.2355752,0.1815024,0.09568479,-0.9499503,-0.2997547,0.4823034,0.8231224
524.4659,66,0.2357572,0.1810675,0.09672751,-0.9498826,-0.2983773,0.4829118,0.8232662
524.4938,67,0.2356298,0.1809647,0.09757725,-0.9498469,-0.2977933,0.4829405,0.8234608
524.5353,68,0.2359426,0.1817469,0.09819511,-0.9495561,-0.2988209,0.4837748,0.8225983
524.5635,69,0.2362383,0.1825875,0.09894472,-0.9492435,-0.2998909,0.4846274,0.8217066
524.5914,70,0.2362651,0.1832071,0.09989998,-0.9490174,-0.3005278,0.4850442,0.8212279
524.6332,71,0.2361358,0.1833407,0.1007397,-0.948935,-0.3003803,0.4850944,0.8212522
524.6622,72,0.2361702,0.183423,0.1011785,-0.9488639,-0.3002962,0.4853036,0.8211593
524.7021,73,0.2358827,0.1832238,0.1017947,-0.948908,-0.2997019,0.4849643,0.8215768
524.7301,74,0.2358428,0.1826627,0.1023228,-0.9489692,-0.2984185,0.4849963,0.8220249
524.7582,75,0.2359087,0.1823071,0.1028136,-0.9489682,-0.297498,0.485227,0.8222224
524.8004,76,0.2354732,0.1814474,0.1033068,-0.9491875,-0.2958034,0.4845059,0.8232584
524.8281,77,0.2353298,0.1805195,0.1037485,-0.9493518,-0.2939227,0.4842789,0.8240652
524.8699,78,0.2354382,0.1787121,0.1037378,-0.949668,-0.2905867,0.4842546,0.8252617
524.8983,79,0.2355495,0.1772255,0.103678,-0.9499255,-0.2878594,0.4842577,0.8262151
524.9258,80,0.2357143,0.1754607,0.1034209,-0.9502403,-0.284704,0.4842631,0.8273046
524.9677,81,0.2358168,0.1722538,0.1029529,-0.9508522,-0.2790197,0.483922,0.8294381
524.9954,82,0.2360514,0.1695593,0.1030139,-0.9512715,-0.2739608,0.4840319,0.8310587
525.0374,83,0.2362047,0.1650667,0.1028413,-0.952042,-0.2657177,0.483705,0.8339207
525.0649,84,0.2356895,0.1618476,0.1029363,-0.9527119,-0.2598663,0.4824084,0.8365116
525.093,85,0.2346321,0.1582448,0.103258,-0.9535429,-0.253331,0.4801437,0.8398128
525.1347,86,0.2328099,0.1526508,0.1035379,-0.9548703,-0.2433142,0.4762167,0.8449945
525.1633,87,0.2314576,0.1489517,0.1036161,-0.9557743,-0.2367629,0.4733101,0.8484815
525.2042,88,0.2290093,0.1433198,0.1039515,-0.9571877,-0.2267562,0.4682065,0.8540283
525.2322,89,0.2272685,0.1393356,0.1041067,-0.9581735,-0.2196949,0.4645369,0.8578692
525.2597,90,0.2256783,0.135399,0.1042019,-0.9591029,-0.212691,0.4611151,0.8614728
525.3017,91,0.2225933,0.1292225,0.1045907,-0.9606324,-0.2017083,0.4546917,0.8675075
525.3295,92,0.2199145,0.1244696,0.1046064,-0.9618745,-0.1934393,0.4491009,0.8722899
525.3713,93,0.2161302,0.1165579,0.1044675,-0.9637368,-0.1795051,0.4409384,0.8794039
525.3995,94,0.2130947,0.1104272,0.1043415,-0.9651474,-0.1686877,0.4343798,0.884793
525.4271,95,0.2098552,0.1019875,0.1039801,-0.9668235,-0.1535662,0.4269952,0.8911187
525.4686,96,0.2068437,0.08104426,0.09945148,-0.9699263,-0.1160721,0.4173663,0.901295
525.4968,97,0.203916,0.06386238,0.09761497,-0.9720141,-0.08433975,0.4088863,0.9086797
525.5389,98,0.198676,0.03717345,0.09491564,-0.9747497,-0.03475469,0.3943754,0.918292
525.5662,99,0.1954955,0.02028629,0.09311044,-0.9760638,-0.003196087,0.3854099,0.92274
525.5941,100,0.1919588,0.004465595,0.09163563,-0.9771054,0.02645382,0.3759464,0.9262637
525.6359,101,0.1867888,-0.01810147,0.08989386,-0.9781111,0.06899283,0.362146,0.9295646
525.6647,102,0.1833876,-0.03153414,0.08895558,-0.9784997,0.09433898,0.3532791,0.9307492
525.7051,103,0.1787824,-0.05118364,0.08791994,-0.978615,0.1316152,0.3409181,0.9308342
525.7333,104,0.176369,-0.06270237,0.08807079,-0.9783691,0.153758,0.3340635,0.9299247
525.7612,105,0.1738877,-0.07232907,0.08825672,-0.9781321,0.1721883,0.3274033,0.9290631
525.803,106,0.1696975,-0.08222795,0.09001338,-0.9779259,0.1913758,0.3170999,0.9288827
525.831,107,0.1665152,-0.08607052,0.09125136,-0.9780275,0.1987482,0.3100048,0.9297291
525.8722,108,0.1617618,-0.08877103,0.09195128,-0.9785182,0.2034766,0.3002486,0.9319056
525.9008,109,0.1587758,-0.08963431,0.09170501,-0.9789516,0.2046164,0.2944278,0.9335119
525.9279,110,0.1560289,-0.0901831,0.09098013,-0.9794104,0.2050436,0.289223,0.935044
525.9697,111,0.1526165,-0.09057425,0.08980822,-0.9800199,0.2049416,0.2828658,0.937009
525.998,112,0.1508223,-0.09064335,0.08916226,-0.9803502,0.2046198,0.2795534,0.9380729
526.039,113,0.1486127,-0.0906828,0.08811949,-0.9807782,0.2040708,0.2755304,0.9393818
526.0671,114,0.1471704,-0.09070063,0.08725297,-0.9810715,0.2036497,0.2729415,0.9402286
526.095,115,0.1458292,-0.09055488,0.08671753,-0.9813326,0.2030208,0.2705085,0.9410673
526.1367,116,0.1437686,-0.09023234,0.08599944,-0.9817296,0.2018956,0.266764,0.9423774
526.1648,117,0.1422802,-0.09004145,0.08553513,-0.9820045,0.2011821,0.2640361,0.9432978
526.1926,118,0.1407642,-0.08977172,0.08511031,-0.9822844,0.2003237,0.2612599,0.944253
526.2343,119,0.1383623,-0.0892977,0.08461904,-0.9827113,0.1989239,0.2568277,0.9457636
526.2625,120,0.1366462,-0.08886438,0.08431805,-0.9830166,0.1977538,0.2536653,0.9468619
526.3038,121,0.1344972,-0.08799116,0.08392571,-0.9834249,0.195641,0.2497663,0.9483361
526.3317,122,0.1334209,-0.08756334,0.08432682,-0.9835754,0.1947522,0.2476911,0.9490631
526.3601,123,0.1327925,-0.08798803,0.08637264,-0.983445,0.1960021,0.2459886,0.9492486
526.4014,124,0.1326595,-0.09008534,0.08821108,-0.9831099,0.2005317,0.2449447,0.9485722
526.4296,125,0.1319992,-0.09121147,0.08823124,-0.9830931,0.2026316,0.2434396,0.9485134
526.4715,126,0.1308322,-0.09308995,0.088305,-0.9830664,0.2061335,0.2407928,0.9484344
526.4996,127,0.1300792,-0.09408452,0.0886858,-0.9830373,0.2080495,0.2390575,0.948455
526.5272,128,0.1294306,-0.09469174,0.08920987,-0.9830172,0.2092602,0.2375701,0.9485624
526.5688,129,0.1287695,-0.09439196,0.08991539,-0.9830685,0.2087442,0.2362038,0.9490172
526.5973,130,0.1285387,-0.09377454,0.09062294,-0.9830929,0.2076753,0.2357347,0.9493683
526.6382,131,0.1283943,-0.09182365,0.09080106,-0.9832795,0.2038933,0.2358195,0.9501666
526.6662,132,0.1285596,-0.08963516,0.09116311,-0.9834263,0.1997389,0.236515,0.9508759
526.6942,133,0.1284679,-0.08746244,0.09181026,-0.9835737,0.1956409,0.2366555,0.9516926
526.7356,134,0.1281669,-0.08406331,0.09302858,-0.9837949,0.1892485,0.2365393,0.9530132
526.7636,135,0.1277661,-0.0819113,0.09371585,-0.9839633,0.1851428,0.2360816,0.9539327
526.8046,136,0.1273399,-0.07972681,0.09470062,-0.9841036,0.1810372,0.235531,0.9548564
526.8333,137,0.1269953,-0.07889962,0.09488748,-0.9841968,0.179406,0.2350036,0.9552941
526.8607,138,0.1265545,-0.07866742,0.0949311,-0.984268,0.1788876,0.2341912,0.9555908
526.9023,139,0.1257254,-0.07930602,0.09480391,-0.9843353,0.179966,0.232475,0.9558073
526.9305,140,0.1252685,-0.08014756,0.0946869,-0.9843367,0.1815069,0.2314348,0.9557683
526.9722,141,0.1246338,-0.08152406,0.09461232,-0.9843113,0.1840739,0.2299307,0.9556404
526.9999,142,0.1242914,-0.08238834,0.09467532,-0.9842766,0.1857205,0.2290739,0.9555276
527.0276,143,0.12402,-0.08319075,0.09455217,-0.9842552,0.1872146,0.228403,0.9553967
527.0693,144,0.1237915,-0.08396196,0.09435062,-0.9842378,0.1886367,0.2278369,0.9552521
527.0975,145,0.1238543,-0.08419219,0.09410909,-0.9842334,0.1890412,0.2279566,0.9551436
527.1385,146,0.1240239,-0.08432685,0.09383805,-0.9842264,0.1892698,0.2283091,0.9550141
527.1666,147,0.124081,-0.08433312,0.09394605,-0.9842083,0.1893166,0.2283975,0.9549837
527.1949,148,0.1239829,-0.08424622,0.09372285,-0.9842494,0.1890787,0.2282687,0.9550616
527.2366,149,0.1234736,-0.08404328,0.09364931,-0.9843377,0.1885804,0.2273383,0.955382
527.2648,150,0.123068,-0.08397864,0.09374401,-0.9843851,0.1884084,0.2265476,0.9556037
527.3057,151,0.1225728,-0.08384617,0.09376589,-0.9844561,0.188072,0.2256112,0.9558915
527.3337,152,0.1223749,-0.08389027,0.0939541,-0.984459,0.1881683,0.2251825,0.9559736
527.3617,153,0.1223158,-0.08406316,0.0941778,-0.9844303,0.1885475,0.2249891,0.9559444
527.4035,154,0.1223498,-0.08442707,0.09435271,-0.9843782,0.1893044,0.2249451,0.9558052
527.4321,155,0.122662,-0.08474874,0.09458753,-0.9842891,0.1900391,0.2254375,0.9555433
527.4732,156,0.1228773,-0.08517806,0.09470141,-0.9842142,0.1909402,0.2257422,0.9552917
527.5012,157,0.1227296,-0.08528699,0.09465095,-0.984228,0.1911166,0.2254428,0.9553272
527.5289,158,0.1223937,-0.08518887,0.09471801,-0.9842719,0.1908838,0.2247994,0.9555253
527.5697,159,0.1218742,-0.08491153,0.09489438,-0.9843433,0.1902945,0.2238169,0.9558734
527.5977,160,0.121692,-0.08456215,0.09484838,-0.9844005,0.1895706,0.2235463,0.9560806
527.6396,161,0.1216982,-0.0839064,0.09465827,-0.984474,0.1882468,0.2237325,0.9562985
527.6682,162,0.1217795,-0.08346561,0.09465307,-0.984502,0.1873977,0.2239837,0.9564065
527.6958,163,0.1217881,-0.08302077,0.09451245,-0.984552,0.1864975,0.2241205,0.9565504
527.7376,164,0.1217327,-0.08249114,0.09445073,-0.9846093,0.1854386,0.2241356,0.9567527
527.7655,165,0.1215614,-0.08218485,0.0942854,-0.984672,0.1847732,0.2238986,0.956937
527.8069,166,0.1208093,-0.0817852,0.09432484,-0.984794,0.1838738,0.2225158,0.9574326
527.835,167,0.1200053,-0.08157805,0.09430219,-0.9849116,0.1833279,0.2210033,0.9578875
527.8633,168,0.1191178,-0.08125144,0.0942278,-0.9850534,0.1825224,0.2193624,0.9584183
527.9047,169,0.1163979,-0.0801723,0.09326668,-0.9855584,0.1797411,0.2144791,0.9600478
527.9328,170,0.112151,-0.07782228,0.09161203,-0.986394,0.1740756,0.2069912,0.9627317
527.9741,171,0.1012733,-0.07357888,0.09008634,-0.9880356,0.1636438,0.1868663,0.9686598
528.0022,172,0.09062533,-0.07021472,0.08978651,-0.9893409,0.1552065,0.16671,0.9737139
528.0309,173,0.078729,-0.06699754,0.09026303,-0.9905381,0.1469399,0.1438733,0.9786261
528.072,174,0.05982502,-0.0626554,0.09196499,-0.9919868,0.1353103,0.1071671,0.9849905
528.1002,175,0.04636396,-0.06005803,0.09339182,-0.9927344,0.1279034,0.08083634,0.9884868
528.1276,176,0.03317431,-0.05792047,0.09486156,-0.9932503,0.121353,0.05491192,0.9910893
528.1693,177,0.01390217,-0.05581142,0.09797875,-0.9935251,0.1136243,0.01668764,0.9933836
528.1974,178,0.002485283,-0.05468757,0.09928437,-0.9935521,0.1091634,-0.005920728,0.9940062
528.2393,179,-0.01000141,-0.05322337,0.1010786,-0.9934035,0.1037227,-0.03063036,0.9941345
528.267,180,-0.01620543,-0.05172944,0.102042,-0.993302,0.09945864,-0.04275093,0.9941229
528.295,181,-0.02095336,-0.05046068,0.103029,-0.9931766,0.09591513,-0.05201861,0.9940293
528.3359,182,-0.02589686,-0.04935355,0.104128,-0.993001,0.09262308,-0.06170939,0.9937872
528.364,183,-0.02823884,-0.04892704,0.1045766,-0.9929111,0.09125415,-0.06631056,0.9936174
528.4064,184,-0.03133788,-0.04884615,0.1046966,-0.9928095,0.0904279,-0.07245314,0.993264
528.434,185,-0.03368323,-0.04912166,0.1046585,-0.9927231,0.09047795,-0.07715824,0.992905
528.4617,186,-0.0358769,-0.0496521,0.1046865,-0.9926169,0.09105936,-0.08161985,0.9924951
528.5038,187,-0.03900019,-0.05063893,0.1044169,-0.9924777,0.09237145,-0.08798876,0.9918294
528.5322,188,-0.0413398,-0.05131629,0.1040775,-0.9923838,0.09324583,-0.09273164,0.9913153
528.5729,189,-0.04541992,-0.05238404,0.1033652,-0.992224,0.09456373,-0.1009628,0.9903859
528.6011,190,-0.04962051,-0.05275338,0.1021805,-0.9921261,0.09453552,-0.1092403,0.9895098
528.6286,191,-0.05644676,-0.05280612,0.1010989,-0.9918691,0.09334011,-0.1226529,0.9880506
528.6704,192,-0.06741361,-0.05235305,0.0996828,-0.9913516,0.09036061,-0.1440986,0.9854291
528.6982,193,-0.07558343,-0.05158138,0.09891528,-0.9908795,0.08726916,-0.1599925,0.983253
528.7397,194,-0.08963446,-0.04963772,0.09797402,-0.9899005,0.08070911,-0.1871848,0.9790035
528.7681,195,-0.09882341,-0.04710402,0.0978296,-0.9891636,0.07385144,-0.2047214,0.9760303
528.7957,196,-0.1080025,-0.04385327,0.09835341,-0.9883011,0.06543563,-0.2221043,0.9728247
528.8375,197,-0.120979,-0.03773049,0.09905959,-0.9869791,0.05051014,-0.2462826,0.967881
528.8654,198,-0.1286003,-0.03239912,0.09919203,-0.9861913,0.03839121,-0.2600765,0.9648245
528.907,199,-0.1383978,-0.02194962,0.09969413,-0.9851017,0.01565031,-0.2770484,0.9607285
528.9351,200,-0.1439566,-0.01348858,0.1002001,-0.9844057,-0.00229249,-0.2861266,0.9581891
528.9627,201,-0.1492429,-0.002772063,0.1012557,-0.9835986,-0.02477021,-0.2941517,0.9554377
529.0043,202,-0.1537213,0.02344453,0.1081037,-0.9819031,-0.0792762,-0.2968099,0.9516402
529.0328,203,-0.156505,0.0473984,0.113797,-0.9799541,-0.1285161,-0.2959478,0.9465191
529.0737,204,-0.1626284,0.0840892,0.1223355,-0.9754564,-0.2038411,-0.2966996,0.9329621
529.1019,205,-0.1672915,0.1031242,0.1261507,-0.9723503,-0.2427536,-0.2993135,0.9227579
529.1301,206,-0.1699073,0.1194597,0.1267614,-0.9699445,-0.274814,-0.2993156,0.9137218
529.1729,207,-0.1723161,0.135836,0.1267883,-0.9673575,-0.3064992,-0.2989378,0.9037115
529.1992,208,-0.1737428,0.1426266,0.1253794,-0.9663079,-0.31921,-0.3000133,0.8989421
529.241,209,-0.175614,0.1483849,0.1221294,-0.9655186,-0.329432,-0.302873,0.8942833
529.2692,210,-0.1773194,0.1500469,0.1202458,-0.9651863,-0.3322903,-0.3062075,0.8920875
529.2971,211,-0.1793084,0.1509185,0.1181912,-0.9649368,-0.3336389,-0.310368,0.8901442
529.3387,212,-0.1826506,0.1510765,0.1155313,-0.9646072,-0.3336627,-0.317464,0.8876293
529.3669,213,-0.1853127,0.1501856,0.1138298,-0.9644409,-0.3318785,-0.3232551,0.886207
529.4083,214,-0.1886462,0.1480292,0.1116297,-0.9643853,-0.3276314,-0.3308063,0.8849999
529.4365,215,-0.190115,0.1465231,0.1102118,-0.9644898,-0.3245459,-0.3344308,0.8847746
529.4647,216,-0.1917904,0.1441369,0.1090754,-0.9646469,-0.3199217,-0.3385766,0.884882
529.5062,217,-0.1932367,0.1401889,0.1068175,-0.9651926,-0.3119006,-0.343072,0.8860133
529.5338,218,-0.1931749,0.1372713,0.1062025,-0.9656921,-0.3061549,-0.3439379,0.8876801
529.5754,219,-0.1935053,0.1319374,0.104886,-0.9665129,-0.2956304,-0.3463739,0.8902965
529.6036,220,-0.1937544,0.1289554,0.1043218,-0.9669265,-0.2898064,-0.3477867,0.8916595
529.6319,221,-0.1939816,0.126112,0.1038999,-0.9673013,-0.284286,-0.3490712,0.8929338
529.6729,222,-0.1939988,0.1228728,0.1032989,-0.9677789,-0.2779071,-0.3501107,0.8945335
529.7011,223,-0.1939386,0.1208445,0.1032649,-0.96805,-0.2740212,-0.3505265,0.8955688
529.7433,224,-0.1934247,0.1178192,0.1024897,-0.968608,-0.2678892,-0.350555,0.897411
529.7706,225,-0.1922419,0.1156038,0.1021961,-0.9691412,-0.2633656,-0.3489907,0.8993576
529.7986,226,-0.1909853,0.1133298,0.1017124,-0.969709,-0.258645,-0.3473462,0.9013619
529.84,227,-0.1891612,0.109968,0.1019529,-0.9704281,-0.2520031,-0.3447117,0.9042501
529.8687,228,-0.1885683,0.1077284,0.1022135,-0.9707673,-0.2477069,-0.3440892,0.9056732
529.9094,229,-0.1879258,0.1046852,0.1025945,-0.9711844,-0.2418975,-0.343541,0.9074498
529.9372,230,-0.1871323,0.1024538,0.1031231,-0.9715196,-0.2376671,-0.3424746,0.9089695
529.965,231,-0.186023,0.1000386,0.1037898,-0.9719133,-0.2330722,-0.3408304,0.9107755
530.0067,232,-0.1836926,0.09513196,0.104212,-0.9728037,-0.2233754,-0.3375659,0.9144139
530.0347,233,-0.1805431,0.09086812,0.1043554,-0.9737849,-0.2146533,-0.3326551,0.9182944
530.0763,234,-0.1724181,0.08261772,0.103516,-0.9760793,-0.196979,-0.3194829,0.9268926
530.1076,235,-0.1648936,0.07607652,0.1028261,-0.9779822,-0.1827137,-0.3068807,0.9340449
530.1479,236,-0.1507694,0.06527844,0.1005277,-0.9812755,-0.1584253,-0.282768,0.9460146
530.1888,237,-0.1360774,0.05434597,0.09866457,-0.9842737,-0.1338346,-0.2571508,0.9570589
530.2164,238,-0.1263585,0.04661532,0.0977919,-0.9860514,-0.1166439,-0.2400747,0.9637211
530.2448,239,-0.1171325,0.03868425,0.09668078,-0.9876419,-0.09906129,-0.2238899,0.969567
530.271,240,-0.1070397,0.03042716,0.0953126,-0.9892079,-0.08060204,-0.2059689,0.9752334
530.2986,241,-0.09610479,0.02091099,0.0928327,-0.9908121,-0.05928107,-0.1865611,0.9806532
530.3409,242,-0.07088631,-0.00183408,0.08287751,-0.9940338,-0.008103487,-0.1412308,0.9899436
530.3687,243,-0.05297559,-0.02471298,0.07510631,-0.9954606,0.04124399,-0.1091824,0.9931657
530.3967,244,-0.04176349,-0.04820901,0.06957442,-0.9955356,0.09017623,-0.08986232,0.9918634
530.4385,245,-0.02869761,-0.08201399,0.06199543,-0.9942871,0.1595327,-0.0672363,0.9849003
530.4667,246,-0.02108305,-0.1017172,0.05892897,-0.9928427,0.1994935,-0.05385248,0.9784182
530.5079,247,-0.01295054,-0.1277141,0.05773635,-0.9900444,0.2513899,-0.04039072,0.9670428
530.5359,248,-0.009290557,-0.1433329,0.05752537,-0.9879576,0.2821448,-0.03484792,0.9587387
530.5773,249,-0.007181162,-0.1606769,0.05826469,-0.9852597,0.3157802,-0.0328742,0.9482627
530.6046,250,-0.008002366,-0.1697024,0.06028576,-0.9836172,0.3328795,-0.03620381,0.9422741
530.6326,251,-0.007861888,-0.1772678,0.06193207,-0.9821807,0.3472443,-0.03740072,0.9370286
530.6749,252,-0.007887522,-0.1859633,0.06462111,-0.9803977,0.3636167,-0.03950013,0.9307109
530.7024,253,-0.005297707,-0.1907407,0.0654431,-0.9794423,0.3729455,-0.03534292,0.9271799
530.7305,254,-0.002630048,-0.1947285,0.06604993,-0.9786273,0.3807858,-0.03087128,0.9241478
