time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y,TF_eyeClosed,frame_range,count_1
469.1577,3,0.0,-0.01938067,0.07245984,0.001408288,0.9971821,0.1444567,0.0388562,0.9887479,0.1450742,0.03886598,0,1-300,4.0
469.1853,4,4.031966e-05,-0.04400671,0.01714731,0.00075544,0.9988838,0.03418985,0.08794109,0.9955388,0.03432957,0.08805483,0,301-600,2.0
469.2144,5,2.796259e-05,-0.04395332,0.0171525,0.0007547501,0.998886,0.03420044,0.0878346,0.9955478,0.03433989,0.08794793,0,601-900,1.0
469.2418,6,1.956955e-05,-0.04372156,0.01711416,0.0007490841,0.9988969,0.03412507,0.0873723,0.995591,0.03426277,0.08748385,0,901-1200,2.0
469.2721,7,1.371231e-05,-0.04174334,0.01736087,0.0007254427,0.9989772,0.03462566,0.08342649,0.9959122,0.03475378,0.08352357,0,1201-1500,2.0
469.3108,8,9.617893e-06,-0.04216962,0.01748268,0.0007380074,0.9989573,0.03486666,0.08427709,0.9958321,0.03499829,0.08437717,0,1501-1800,3.0
469.3392,9,6.75159e-06,-0.04257733,0.02133235,0.0009093064,0.998865,0.04253884,0.0850968,0.9954642,0.04270668,0.08519984,0,1801-2100,3.0
469.3802,10,0.005846703,0.04021879,0.1196943,-0.004852858,0.991984,0.2370793,-0.0809545,0.9681115,0.240162,-0.08104318,0,2101-2400,1.0
469.4092,11,0.008381614,0.05927541,0.1264958,-0.007572562,0.9901656,0.2496059,-0.1193007,0.9609705,0.2541278,-0.1195856,0,2401-2700,3.0
469.4368,12,0.009553675,0.05958503,0.1266852,-0.007623849,0.9901224,0.2499592,-0.1199246,0.9608009,0.2545152,-0.1202139,0,2701-3000,3.0
469.4784,13,0.005447406,0.05984099,0.127053,-0.007679315,0.9900594,0.250661,-0.1204436,0.9605532,0.2552622,-0.1207368,0,3001-3300,3.0
469.5062,14,0.003212647,-0.02765399,0.05981491,0.001657726,0.997825,0.1192779,0.055386,0.9913149,0.1197473,0.05541436,0,3301-3600,3.0
469.5485,15,0.001949727,-0.09974353,-0.04963886,-0.004982235,0.9937618,-0.09766452,0.1987372,0.9751744,-0.09981798,0.2000693,0,3601-3900,2.0
469.575,16,0.001212397,-0.1022927,-0.06038687,-0.006221304,0.9929003,-0.1186435,0.2038842,0.9717793,-0.1214877,0.2053238,0,3901-4200,5.0
469.6036,17,0.0007696042,-0.1047324,-0.06545696,-0.006908524,0.9923199,-0.1284614,0.2087605,0.969493,-0.1317363,0.2103074,0,4201-4500,3.0
469.6454,18,0.0004970736,-0.1051893,-0.06813091,-0.007223785,0.9920893,-0.1336642,0.2096986,0.9685868,-0.137133,0.2112667,0,4501-4800,2.0
469.6723,19,0.0003257685,-0.1119846,-0.07716224,-0.008722347,0.9906712,-0.1509313,0.2232258,0.9630109,-0.1554638,0.2251226,0,4801-5100,3.0
469.701,20,0.0002161195,-0.1094956,-0.07208067,-0.007961477,0.9913384,-0.1411692,0.2182421,0.9656302,-0.1451655,0.2200128,0,5101-5400,4.0
469.7426,21,0.0001448501,-0.1121936,-0.08721271,-0.009885513,0.9898024,-0.1704285,0.2238232,0.9596131,-0.1757685,0.2257355,0,5401-5700,2.0
469.7699,22,9.791522e-05,-0.1137735,-0.1098197,-0.01265482,0.9873374,-0.2139787,0.2274453,0.9499904,-0.2215457,0.2294534,0,5701-6000,1.0
469.812,23,6.665893e-05,-0.1162873,-0.1243412,-0.01467514,0.9852924,-0.2416118,0.2328035,0.9420331,-0.2510673,0.2349594,0,6001-6300,2.0
469.8395,24,4.564972e-05,-0.1177726,-0.136319,-0.01632392,0.9835041,-0.2642956,0.2361101,0.9350935,-0.2754558,0.2383608,0,6301-6600,2.0
469.8679,25,3.141668e-05,-0.1218091,-0.1318706,-0.01633055,0.9836189,-0.2554424,0.2439345,0.9355454,-0.2665442,0.2464208,0,6601-6900,4.0
469.9094,26,2.170936e-05,-0.1260063,-0.1317759,-0.01689015,0.9830932,-0.2548395,0.2522033,0.933515,-0.2664958,0.2549565,0,6901-7200,3.0
469.9366,27,1.505238e-05,-0.129119,-0.1252828,-0.01644701,0.9835457,-0.2421955,0.2581099,0.935265,-0.2533929,0.2610653,0,7201-7500,3.0
469.9781,28,1.046616e-05,-0.1296751,-0.1298575,-0.01713281,0.9828672,-0.2508219,0.2593564,0.9326428,-0.2627205,0.2623557,0,7501-7800,2.0
470.0066,29,7.294124e-06,-0.1224042,-0.1299135,-0.01616367,0.9838082,-0.2516629,0.2450442,0.9362794,-0.2625841,0.2475653,0,7801-8100,0.0
470.0345,30,5.093413e-06,-0.121795,-0.1287678,-0.01593767,0.9840381,-0.2495426,0.2438063,0.9371697,-0.2602344,0.2462886,0,8101-8400,3.0
470.0759,31,3.562272e-06,-0.1177314,-0.1355163,-0.01622019,0.9836217,-0.2627744,0.2360025,0.9355493,-0.2738219,0.2382501,0,8401-8700,2.0
470.1041,32,2.494755e-06,-0.09334396,-0.1694538,-0.01612425,0.9809752,-0.3294498,0.1886009,0.9251446,-0.3421043,0.1897372,0,8701-9000,3.0
470.1477,33,1.749044e-06,-0.09102956,-0.1746847,-0.01622147,0.9802733,-0.3395243,0.184135,0.9223977,-0.3526979,0.1851917,0,9001-9300,2.0
470.1866,34,1.227325e-06,-0.09068228,-0.1800724,-0.01667415,0.9793226,-0.3496739,0.1836195,0.9187013,-0.3636866,0.1846673,0,9301-9600,2.0
470.2145,35,8.619137e-07,-0.09050728,-0.1839451,-0.01701221,0.9786129,-0.3569426,0.1834018,0.9159453,-0.3715944,0.1844458,0,9601-9900,1.0
470.243,36,6.056614e-07,-0.09071384,-0.1839163,-0.01704861,0.9785986,-0.3568673,0.1838159,0.9158916,-0.3715429,0.1848671,0,9901-10200,3.0
470.2707,37,4.258056e-07,-0.08776447,-0.1884662,-0.01691265,0.978004,-0.3656728,0.1780429,0.9135557,-0.3807428,0.1789973,0,10201-10500,1.0
470.3125,38,2.994919e-07,-0.04600278,-0.276517,-0.01325311,0.9598159,-0.5295914,0.09563781,0.8428442,-0.5609964,0.0957842,0,10501-10800,4.0
