time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y
1047.094,1,-,-0.03784019,-0.05219143,-0.03243757,0.9973927,-0.1016558,0.07886898,0.9916884,-0.102151,0.07895097
1047.122,2,-,-0.0402067,-0.04731632,-0.02965968,0.9976296,-0.09202328,0.08302957,0.9922892,-0.09247388,0.08312526
1047.164,3,-,-0.04225958,-0.0421496,-0.0261001,0.9978759,-0.08191419,0.08653985,0.9928751,-0.08231558,0.08664823
1047.191,4,-,-0.04286201,-0.04034417,-0.02535068,0.9979442,-0.07834929,0.08759329,0.9930704,-0.07873292,0.08770568
1047.236,5,-,-0.04236925,-0.0391612,-0.02584849,0.9979996,-0.07597537,0.08659352,0.9933425,-0.07633594,0.0867021
1047.276,6,-,-0.04127991,-0.03773192,-0.02610717,0.9980935,-0.07316457,0.08437258,0.9937446,-0.07349253,0.08447301
1047.303,7,-,-0.0417043,-0.03679454,-0.02545599,0.9981277,-0.07132804,0.08512572,0.9938138,-0.07164918,0.08522887
1047.33,8,-,-0.04287307,-0.03563864,-0.02433074,0.9981482,-0.06905901,0.08732159,0.9937836,-0.06937946,0.08743294
1047.358,9,-,-0.0445099,-0.03402971,-0.02336317,0.9981558,-0.06585412,0.09044571,0.9937217,-0.06617342,0.09056948
1047.399,10,-,-0.04693277,-0.03133912,-0.02181943,0.9981679,-0.06051531,0.09506118,0.9936303,-0.06082811,0.09520494
1047.427,11,-,-0.04771345,-0.02926863,-0.02134538,0.9982041,-0.05639521,0.09650502,0.9937335,-0.05669003,0.09665544
1047.456,12,-,-0.0476089,-0.02730524,-0.0212984,0.9982656,-0.05248777,0.09621578,0.9939756,-0.05275689,0.09636486
1047.498,13,-,-0.04621188,-0.02455029,-0.02076417,0.998414,-0.04710361,0.0932967,0.9945235,-0.04732762,0.09343258
1047.526,14,-,-0.04476565,-0.02313654,-0.02074529,0.9985141,-0.04434697,0.09035822,0.9949214,-0.04454384,0.09048162
1047.566,15,-,-0.04339222,-0.02095298,-0.02140539,0.9986091,-0.03999002,0.08756074,0.9953562,-0.040155,0.08767302
1047.595,16,-,-0.04354759,-0.0192833,-0.02214898,0.9986196,-0.03658429,0.08782917,0.9954636,-0.03673448,0.08794248
1047.623,17,-,-0.04397185,-0.01749416,-0.02251394,0.9986259,-0.03296028,0.08861057,0.9955209,-0.03309648,0.08872695
1047.664,18,-,-0.04422276,-0.01514684,-0.02143634,0.9986768,-0.02835764,0.08897787,0.9956298,-0.02847441,0.0890957
1047.692,19,-,-0.04438901,-0.01373458,-0.02030201,0.9987136,-0.02563145,0.08922149,0.9956819,-0.02573692,0.08934029
1047.721,20,-,-0.04431677,-0.01253477,-0.01915933,0.9987552,-0.02334018,0.08900353,0.9957578,-0.02343533,0.08912145
1047.761,21,-,-0.0427849,-0.0110651,-0.01668743,0.9988837,-0.02067755,0.08584358,0.996094,-0.02075565,0.08594936
1047.79,22,-,-0.04122677,-0.009854421,-0.01554629,0.9989803,-0.0184069,0.08267587,0.9964065,-0.01847118,0.08277035
1047.831,23,-,-0.0376245,-0.007697216,-0.01488262,0.9991515,-0.01426147,0.07541426,0.9970503,-0.01430268,0.07548593
1047.859,24,-,-0.03427409,-0.006073595,-0.01425927,0.9992924,-0.01116115,0.06867289,0.9975768,-0.01118779,0.06872698
1047.887,25,-,-0.03116418,-0.004264146,-0.01413743,0.9994053,-0.007642057,0.06241186,0.9980212,-0.007657059,0.06245244
1047.928,26,-,-0.02598891,-0.001688309,-0.0147032,0.9995527,-0.002610867,0.05200421,0.9986435,-0.002614408,0.05202768
1047.958,27,-,-0.0196133,-0.0006232709,-0.01446942,0.9997028,-0.0006785849,0.03923298,0.9992298,-0.0006791078,0.03924305
1047.999,28,-,-0.005886857,-0.0003105775,-0.01288065,0.9998997,-0.0004694395,0.01178053,0.9999305,-0.0004694721,0.01178081
1048.026,29,-,0.002613544,-0.0008657128,-0.01345312,0.9999058,-0.001801583,-0.005203303,0.9999849,-0.001801608,-0.005203326
1048.055,30,-,0.01001421,-0.002293997,-0.01443019,0.9998432,-0.004876288,-0.01995908,0.9997889,-0.004877279,-0.01996041
1048.095,31,-,0.02096614,-0.004987702,-0.01507227,0.9996542,-0.01060397,-0.04176742,0.9990711,-0.01061343,-0.04177957
1048.124,32,-,0.02808597,-0.007088094,-0.01514176,0.9994656,-0.01501915,-0.05592727,0.9983219,-0.01504327,-0.05595646
1048.165,33,-,0.03870372,-0.01123721,-0.01602392,0.9990591,-0.02369365,-0.07697448,0.9967515,-0.02376639,-0.0770507
1048.193,34,-,0.04760425,-0.01618003,-0.01744093,0.998583,-0.03397473,-0.09450919,0.9949441,-0.03413412,-0.09465045
1048.221,35,-,0.05742837,-0.02298209,-0.01988357,0.997887,-0.04815082,-0.1137001,0.9923476,-0.04848409,-0.1139465
1048.263,36,-,0.07302531,-0.03362884,-0.02273961,0.9965036,-0.07034365,-0.1440106,0.9870728,-0.07114463,-0.144513
1048.291,37,-,0.08319145,-0.03998905,-0.02366591,0.9954497,-0.08355177,-0.163733,0.9829601,-0.08479633,-0.1644736
1048.332,38,-,0.09264342,-0.04615289,-0.02391447,0.9943417,-0.09621453,-0.182031,0.9785742,-0.09800613,-0.1830516
1048.36,39,-,0.09501319,-0.04743356,-0.0232549,0.9940734,-0.09872393,-0.186694,0.9774451,-0.1006606,-0.1877959
1048.389,40,-,0.0965441,-0.04683869,-0.02276814,0.9939653,-0.09750832,-0.1897901,0.9769707,-0.09947736,-0.1909484
1048.43,41,-,0.09771676,-0.04474953,-0.02068827,0.9939924,-0.09300457,-0.1924079,0.9768978,-0.09491791,-0.1936153
1048.458,42,-,0.09653849,-0.04257411,-0.01918597,0.9942333,-0.08836156,-0.1903299,0.9777355,-0.09012885,-0.1914982
1048.5,43,-,0.09269187,-0.03966487,-0.01605533,0.994775,-0.08189163,-0.1831414,0.9796698,-0.08339716,-0.184181
1048.528,44,-,0.09051479,-0.03871846,-0.0134958,0.9950507,-0.0794968,-0.1790885,0.9806159,-0.08089133,-0.1800599
1048.556,45,-,0.08982598,-0.03875214,-0.01088734,0.9951438,-0.07908383,-0.1779357,0.9808592,-0.08045307,-0.1788883
1048.597,46,-,0.09070479,-0.04054083,-0.00681239,0.995029,-0.08191444,-0.1799554,0.9802582,-0.08337045,-0.1809411
1048.625,47,-,0.09123946,-0.04242501,-0.005000854,0.9949123,-0.08533087,-0.1811262,0.9797509,-0.08687523,-0.1821315
1048.667,48,-,0.09092128,-0.0458479,-0.002320878,0.9947995,-0.09164098,-0.1806841,0.9792626,-0.09330986,-0.1816819
1048.694,49,-,0.08971882,-0.0480236,-0.000631996,0.9948084,-0.09566196,-0.1784454,0.9792885,-0.09737621,-0.1794062
1048.723,50,-,0.08796386,-0.04981093,0.0007951483,0.9948772,-0.09897163,-0.1751057,0.9795625,-0.1006949,-0.1760131
1048.764,51,-,0.08504748,-0.0523993,0.002281741,0.9949956,-0.103886,-0.1694828,0.9800425,-0.1056072,-0.1703049
1048.792,52,-,0.08316906,-0.05444663,0.00286722,0.9950429,-0.1078765,-0.1658258,0.9802369,-0.1096104,-0.1665953
1048.835,53,-,0.0805269,-0.0573859,0.003079165,0.9950944,-0.1137129,-0.1606171,0.9804446,-0.115465,-0.1613159
1048.861,54,-,0.07899953,-0.05894906,0.002712419,0.9951265,-0.116895,-0.1575488,0.9805682,-0.1186515,-0.158208
1048.893,55,-,0.07760136,-0.06021937,0.002418456,0.9951612,-0.1194806,-0.154743,0.9807033,-0.1212341,-0.1553673
1048.931,56,-,0.07532988,-0.06094591,0.001769767,0.9952929,-0.1210514,-0.1501663,0.981222,-0.1227478,-0.1507365
1048.959,57,-,0.07460386,-0.0609187,0.001509455,0.9953497,-0.1210456,-0.1486978,0.9814463,-0.1227142,-0.1492513
1049.001,58,-,0.07428262,-0.0601209,-5.684048e-05,0.9954233,-0.1196999,-0.1478785,0.9817351,-0.121328,-0.1484228
1049.028,59,-,0.07418054,-0.05966119,-0.0003500953,0.9954586,-0.1188324,-0.1476455,0.9818756,-0.1204402,-0.1481873
1049.057,60,-,0.07362104,-0.05913644,-0.0004699701,0.9955314,-0.1178136,-0.1465285,0.9821656,-0.1193824,-0.147058
1049.098,61,-,0.07116292,-0.05774346,-0.001265309,0.9957911,-0.1151809,-0.1415807,0.9832031,-0.1166171,-0.142058
1049.126,62,-,0.06923535,-0.05656281,-0.001715217,0.9959941,-0.11291,-0.137722,0.9840142,-0.1142446,-0.1381611
1049.168,63,-,0.06753158,-0.05385011,-0.002486972,0.9962598,-0.1076333,-0.1342901,0.9850793,-0.1088319,-0.1346971
1049.195,64,-,0.06673289,-0.05087237,-0.002266607,0.9964706,-0.1016882,-0.1327641,0.9859174,-0.1027772,-0.1331573
1049.224,65,-,0.06547541,-0.04655507,-0.00194179,0.9967657,-0.09306327,-0.1303465,0.9870912,-0.09400246,-0.1307185
1049.265,66,-,0.06200667,-0.03735783,-0.001164519,0.9973757,-0.07466399,-0.1236009,0.9895191,-0.07531212,-0.1239178
1049.293,67,-,0.05849692,-0.02961806,7.223897e-05,0.9978482,-0.0591002,-0.1167464,0.9914018,-0.0595423,-0.1170132
1049.335,68,-,0.053114,-0.0165979,0.002847306,0.9984465,-0.03284178,-0.1061575,0.9938068,-0.03303442,-0.1063579
