time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y,TF_eyeClosed,frame_range,count_1
481.7198,4,5.066395e-07,-0.005103538,-0.04155554,-0.0002122664,0.9991232,-0.08303603,0.01021577,0.9964942,-0.0831361,0.01021595,0,1-300,9.0
481.7613,5,0.08942667,0.02390088,0.04196578,-0.001004191,0.9988326,0.08378557,-0.04783025,0.9953352,0.08398025,-0.0478485,0,301-600,7.0
481.7893,6,0.1685217,0.0248581,0.0433686,-0.001079411,0.9987493,0.08657504,-0.04974765,0.9950025,0.08679128,-0.04976819,0,601-900,6.0
481.8176,7,0.2035609,0.01855211,0.03904212,-0.0007249916,0.9990651,0.07798435,-0.03712614,0.9962631,0.07811758,-0.03713467,0,901-1200,7.0
481.8583,8,0.9863778,0.0198112,0.0404168,-0.0008015177,0.9989862,0.08071989,-0.03964701,0.995948,0.08087153,-0.03965741,1,1201-1500,7.0
481.887,9,0.9997151,0.03383549,0.05839361,-0.001980295,0.9977182,0.1163867,-0.06774785,0.9908907,0.116921,-0.06779978,1,1501-1800,2.0
481.9275,10,0.8169531,0.03669857,0.05830289,-0.002144733,0.9976219,0.1161711,-0.07347269,0.990508,0.1167509,-0.07353895,1,1801-2100,4.0
481.9565,11,0.001875214,-0.03104841,-0.04628911,-0.001439443,0.9984444,-0.09234482,0.06213349,0.9937866,-0.09265611,0.06217354,0,2101-2400,6.0
481.9845,12,0.003218313,-0.05058865,-0.05585356,-0.002833625,0.9971525,-0.1111023,0.1012057,0.9886423,-0.1119092,0.1013793,0,2401-2700,3.0
482.0251,13,0.0001208637,-0.05231494,-0.05857004,-0.003073595,0.9969069,-0.1164562,0.1046663,0.9876654,-0.1173686,0.1048583,0,2701-3000,7.0
482.0538,14,5.429365e-06,-0.05102624,-0.06017727,-0.003080237,0.9968779,-0.1196644,0.1021046,0.98755,-0.1205852,0.1022828,0,3001-3300,3.0
482.0942,15,2.910813e-07,-0.04782095,-0.06044957,-0.002899393,0.9970209,-0.1202617,0.09570751,0.988118,-0.1211121,0.09585422,0,3301-3600,5.0
482.1228,16,1.857756e-08,-0.04590035,-0.06103849,-0.002809906,0.9970756,-0.121462,0.09187526,0.9883349,-0.1222824,0.09200501,0,3601-3900,1.0
482.1506,17,1.407274e-09,-0.04524368,-0.06407493,-0.002907958,0.9969147,-0.1274913,0.09058084,0.9876948,-0.1283699,0.09070516,0,3901-4200,6.0
482.192,18,1.260921e-10,-0.04912712,-0.07386687,-0.003643255,0.9960507,-0.1467923,0.09840442,0.9842604,-0.1480485,0.09856394,0,4201-4500,8.0
482.2204,19,1.331101e-11,-0.05613042,-0.1036622,-0.005859563,0.9930102,-0.2052175,0.112691,0.972207,-0.2080304,0.1129309,0,4501-4800,5.0
482.2616,20,1.647634e-12,-0.05859958,-0.1089843,-0.006436033,0.9922939,-0.2155347,0.1176989,0.969377,-0.2187845,0.1179723,0,4801-5100,10.0
