time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y,TF_eyeClosed,frame_range,count_1
495.6892,2,0.007753506,-0.01526134,-0.02138107,-0.0003264164,0.9996549,-0.04273742,0.0305261,0.9986199,-0.04277038,0.03053084,0,1-300,5.0
495.7183,3,0.0,-0.06489271,-0.05626323,-0.00366464,0.9962981,-0.1116343,0.1297174,0.9852468,-0.1128247,0.1300839,0,301-600,3.0
495.7452,4,0.0,-0.06481426,-0.05627948,-0.003661251,0.9963024,-0.1116682,0.1295613,0.9852635,-0.1128568,0.1299265,0,601-900,4.0
495.7876,5,0.0,-0.07467153,-0.04780891,-0.003584103,0.9960551,-0.09470536,0.1490966,0.984277,-0.09592291,0.1496546,0,901-1200,4.0
495.8182,6,2.328306e-10,-0.07497077,-0.04398336,-0.003310011,0.9962098,-0.087137,0.1496644,0.9848897,-0.0882441,0.1502288,0,1201-1500,8.0
495.8564,7,0.001937678,-0.07514804,-0.03965244,-0.002990632,0.9963792,-0.07856826,0.1499891,0.9855609,-0.07955111,0.1505572,0,1501-1800,4.0
495.8853,8,0.001937678,-0.09173089,-0.02924074,-0.002694808,0.9953508,-0.05771519,0.1827664,0.9814609,-0.05873775,0.1837995,0,1801-2100,4.0
495.9121,9,0.004993558,-0.1139536,-0.02883216,-0.003308483,0.9930621,-0.05651022,0.2265168,0.9723666,-0.05805088,0.2285001,0,2101-2400,3.0
495.9547,10,0.00550441,-0.1300515,-0.05212376,-0.006846465,0.9901126,-0.101436,0.258245,0.9607394,-0.1051914,0.2612051,0,2401-2700,3.0
495.9821,11,0.005322996,-0.141857,-0.08035149,-0.01155378,0.986553,-0.155264,0.2817556,0.9468405,-0.1625347,0.2856234,0,2701-3000,6.0
496.0104,12,0.005305062,-0.1419473,-0.08038168,-0.01156566,0.9865374,-0.1553156,0.2819319,0.9467795,-0.162598,0.2858071,0,3001-3300,6.0
496.0523,13,0.003108261,-0.1409491,-0.08226376,-0.0117534,0.9865232,-0.158997,0.2800329,0.946732,-0.1663902,0.2838284,0,3301-3600,3.0
496.0794,14,0.001876162,-0.1409713,-0.08225238,-0.01175365,0.9865209,-0.1589735,0.2800758,0.9467233,-0.1663676,0.283873,0,3601-3900,1.0
496.122,15,0.00116131,-0.1365236,-0.09030554,-0.0124984,0.986433,-0.1747481,0.2716,0.9464124,-0.1825862,0.2750552,0,3901-4200,6.0
496.1621,16,0.000472705,-0.1362299,-0.09158248,-0.01264888,0.9863539,-0.1772192,0.2710587,0.9461081,-0.1851681,0.2744927,0,4201-4500,4.0
496.19,17,0.0003089091,-0.1403132,-0.09239163,-0.01315185,0.9856993,-0.17845,0.2790435,0.943552,-0.186918,0.2827979,0,4501-4800,4.0
496.2192,18,0.0003089091,-0.1670469,-0.09818323,-0.01672047,0.9809057,-0.1870308,0.3309979,0.9249108,-0.1995244,0.3373608,0,4801-5100,5.0
496.2462,19,0.0002044759,-0.1670827,-0.09815703,-0.01671964,0.9809022,-0.1869778,0.3310658,0.9248972,-0.1994722,0.3374329,0,5101-5400,4.0
496.2889,20,0.000136787,-0.1695883,-0.09860741,-0.01705661,0.9804211,-0.1875684,0.3358996,0.9230328,-0.200479,0.3425602,0,5401-5700,4.0
496.316,21,9.231496e-05,-0.1743353,-0.09592541,-0.01706701,0.9798542,-0.1820351,0.3449207,0.9208111,-0.1951734,0.3521543,0,5701-6000,8.0
496.3443,22,6.276324e-05,-0.1743907,-0.09592408,-0.01707238,0.9798444,-0.1820268,0.3450269,0.9207729,-0.1951726,0.3522674,0,6001-6300,5.0
496.3855,23,0.03295855,-0.1625374,-0.09391747,-0.01554333,0.9820995,-0.1794199,0.3221754,0.9295222,-0.1906787,0.3280265,0,6301-6600,3.0
496.4132,24,0.4025443,-0.1625212,-0.09384853,-0.01553022,0.9821091,-0.179291,0.3221421,0.9295586,-0.1905378,0.3279913,0,6601-6900,2.0
496.4405,25,0.85723,-0.1403853,0.02522495,0.003577815,0.9897691,0.0489292,0.2780785,0.9593114,0.05096034,0.2817931,1,6901-7200,5.0
496.4827,26,0.7516841,-0.01846683,0.05833612,0.001079307,0.9981256,0.1164137,0.03699036,0.9925117,0.1167585,0.0369988,1,7201-7500,1.0
496.5105,27,0.2825261,-0.01852389,0.0584082,0.001083985,0.9981204,0.1165567,0.03710478,0.9924907,0.1169031,0.03711329,0,7501-7800,0.0
496.5532,28,0.08577867,0.0274812,0.1049136,-0.002900271,0.9940974,0.2084292,-0.05524653,0.9764758,0.2102946,-0.05527467,0,7801-8100,6.0
496.5806,29,0.05541639,0.01934491,0.1184673,-0.002308438,0.9927668,0.2351316,-0.03895692,0.9711825,0.2375377,-0.03896678,0,8101-8400,13.0
496.6083,30,0.02953704,0.01933108,0.1184466,-0.002306377,0.9927696,0.2350912,-0.03892899,0.9711934,0.2374959,-0.03893882,0,8401-8700,7.0
496.6501,31,0.03797192,0.009482877,0.1228092,-0.001173521,0.9923843,0.2437255,-0.01910956,0.969656,0.2462512,-0.01911072,0,8701-9000,1.0
496.6778,32,0.004424442,0.009455647,0.1227137,-0.001169227,0.9923964,0.2435391,-0.01905446,0.9697039,0.2460587,-0.01905562,0,9001-9300,3.0
496.7199,33,0.007978786,0.01158704,0.1279026,-0.001494389,0.9917179,0.2536519,-0.02336443,0.9670134,0.2565254,-0.02336655,0,9301-9600,2.0
496.747,34,0.003059592,0.01242754,0.1286797,-0.001612708,0.991607,0.2551593,-0.02506152,0.9665742,0.2580954,-0.02506415,0,9601-9900,2.0
496.775,35,7.793307e-06,0.01246806,0.1283465,-0.001613706,0.9916497,0.2545092,-0.02514212,0.9667435,0.2574234,-0.02514477,0,9901-10200,5.0
496.8166,36,6.7316e-06,0.01389576,0.1227099,-0.001718302,0.9923438,0.243493,-0.02800045,0.9694984,0.2460641,-0.02800411,0,10201-10500,0.0
496.8448,37,0.01960657,0.0137502,0.1223523,-0.001695269,0.99239,0.2427958,-0.02770596,0.9696817,0.2453429,-0.02770951,0,10501-10800,3.0
496.8874,38,0.007093292,0.02028122,0.1213048,-0.002479038,0.992405,0.2406665,-0.0408558,0.9697476,0.2432597,-0.04086718,0,10801-11100,3.0
496.9148,39,0.001299042,0.02010186,0.1170663,-0.002370035,0.9929178,0.2323791,-0.04047389,0.9717828,0.234719,-0.04048495,0,11101-11400,5.0
496.9423,40,6.146729e-06,0.02003166,0.1170112,-0.002360629,0.9929258,0.2322723,-0.04033235,0.9718142,0.2346077,-0.04034329,0,11401-11700,5.0
496.9839,41,1.37724e-05,0.01831684,0.1208257,-0.002229864,0.9925023,0.239758,-0.03689785,0.9701313,0.2422848,-0.03690623,0,11701-12000,2.0
497.0127,42,0.001973793,0.0183311,0.1208159,-0.002231417,0.9925032,0.2397386,-0.03692652,0.970135,0.2422651,-0.03693492,0,12001-12300,6.0
497.0562,43,8.884817e-06,0.02220688,0.1258377,-0.002817573,0.9917983,0.2494862,-0.0447586,0.9673434,0.2524081,-0.04477355,0,12301-12600,8.0
497.0957,44,1.730397e-05,0.01824871,0.1294962,-0.002383616,0.9914091,0.2566804,-0.03680122,0.9657955,0.259766,-0.03680953,0,12601-12900,5.0
497.1239,45,0.04165104,0.01959237,0.130146,-0.002572252,0.991298,0.2579262,-0.03951328,0.9653563,0.2610838,-0.03952357,0,12901-13200,5.0
497.1512,46,0.04165104,0.03447127,0.1371551,-0.004775967,0.9899381,0.2712209,-0.06955895,0.9600004,0.2753454,-0.06961516,0,13201-13500,4.0
497.1795,47,4.902482e-05,0.03455595,0.1371821,-0.004788674,0.9899313,0.2712708,-0.06972989,0.9599739,0.2754008,-0.06978652,0,13501-13800,3.0
497.222,48,3.311783e-05,0.03646431,0.1464458,-0.005401995,0.9885316,0.2891386,-0.07367446,0.954448,0.29415,-0.07374126,0,13801-14100,4.0
497.2484,49,2.681836e-05,0.03705801,0.146371,-0.00548721,0.9885202,0.2889747,-0.07487152,0.9544045,0.2940054,-0.07494164,0,14101-14400,0.0
497.2762,50,2.384931e-05,0.03706136,0.146437,-0.005490236,0.9885103,0.289102,-0.07487901,0.9543653,0.294139,-0.07494917,0,14401-14700,3.0
497.318,51,2.220273e-05,0.03897056,0.1421518,-0.005601,0.9890616,0.2807572,-0.07868095,0.9565483,0.2854927,-0.07876236,0,14701-15000,3.0
497.3459,52,0.002243798,0.03896482,0.1421521,-0.005600186,0.9890618,0.280758,-0.07866938,0.956549,0.2854933,-0.07875075,0,15001-15300,4.0
