time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y,TF_eyeClosed,frame_range,count_1
1175.34,36,8.733404e-10,-0.08645143,-0.1107174,-0.009667993,0.9900376,-0.2175571,0.1733212,0.9605356,-0.2227375,0.1742009,0,9601-9900,3.0
1175.368,37,8.733404e-10,-0.08705159,-0.1152918,-0.01014326,0.9894579,-0.2263868,0.1746067,0.9582596,-0.2319942,0.1755063,0,9901-10200,2.0
1175.41,38,8.600255e-11,-0.09274254,-0.157079,-0.01481818,0.9831101,-0.3061033,0.1870075,0.93345,-0.3168769,0.188115,0,10201-10500,3.0
1175.438,39,3.128032e-11,-0.09336577,-0.1607427,-0.01527593,0.9824517,-0.3129914,0.1883657,0.9308892,-0.3243538,0.1894978,0,10501-10800,5.0
1175.465,40,3.128032e-11,-0.09182994,-0.1608699,-0.01503458,0.9825794,-0.3133736,0.1852976,0.9313763,-0.3245646,0.1863747,0,10801-11100,5.0
1175.507,41,5.317078e-12,-0.09087744,-0.1624769,-0.01502996,0.9824035,-0.316504,0.1834407,0.9306851,-0.3278069,0.1844854,0,11101-11400,3.0
1175.535,42,5.317078e-12,-0.09206042,-0.1614611,-0.01512956,0.9824593,-0.3144723,0.1857769,0.9309103,-0.3257756,0.1868625,0,11401-11700,5.0
1175.577,43,1.193235e-12,-0.09200714,-0.1606225,-0.01504007,0.9826031,-0.3128888,0.1856446,0.9314702,-0.3240665,0.1867278,0,11701-12000,3.0
1175.605,44,6.151894e-13,-0.09198585,-0.1607716,-0.01505089,0.9825806,-0.3131731,0.1856065,0.9313822,-0.3243693,0.1866891,0,12001-12300,3.0
1175.632,45,6.151894e-13,-0.09107829,-0.1609437,-0.01491746,0.982639,-0.3135819,0.1837959,0.9316037,-0.3246916,0.1848468,0,12301-12600,5.0
1175.675,46,1.871246e-13,-0.09292182,-0.1616818,-0.01529387,0.9823394,-0.3148106,0.187507,0.930449,-0.3262521,0.1886235,0,12601-12900,3.0
1175.703,47,1.871246e-13,-0.09382786,-0.1618689,-0.01546274,0.9822198,-0.3150799,0.189325,0.9299896,-0.3266619,0.1904747,0,12901-13200,3.0
1175.745,48,6.554148e-14,-0.09440248,-0.1606268,-0.01543571,0.9823691,-0.3126752,0.1904349,0.9305744,-0.3241507,0.1916052,0,13201-13500,4.0
1175.773,49,4.040192e-14,-0.09492028,-0.1646734,-0.01592318,0.9816411,-0.3202775,0.1915995,0.9277456,-0.3324113,0.1927916,0,13501-13800,4.0
1175.8,50,4.040192e-14,-0.1040692,-0.1693482,-0.01798579,0.9798813,-0.3281388,0.2100427,0.9209816,-0.3422695,0.2116186,0,13801-14100,4.0
1175.842,51,1.633435e-14,-0.1044756,-0.1736616,-0.01853121,0.9790726,-0.3361826,0.2110147,0.917853,-0.3510956,0.2126129,0,14101-14400,3.0
1175.87,52,1.064607e-14,-0.1056285,-0.1731274,-0.01867868,0.9790407,-0.3350515,0.2132968,0.917739,-0.3500487,0.2149482,0,14401-14700,4.0
1175.911,53,7.029825e-15,-0.1057094,-0.1722998,-0.018601,0.9791794,-0.3334923,0.2134269,0.9182765,-0.3483607,0.2150813,0,14701-15000,5.0
1175.94,54,4.692951e-15,-0.1061582,-0.1704919,-0.01847886,0.9794496,-0.3300531,0.2142543,0.9193259,-0.3446845,0.2159283,0,15001-15300,3.0
1175.967,55,4.692951e-15,-0.104817,-0.1728928,-0.01850757,0.9791726,-0.334704,0.2116675,0.9182429,-0.3495378,0.2132808,0,15301-15600,3.0
1176.01,56,2.146333e-15,-0.1051133,-0.1737722,-0.01865792,0.9789823,-0.3363175,0.2122926,0.9175088,-0.3513464,0.2139205,0,15601-15900,4.0
1176.038,57,1.46649e-15,-0.1084112,-0.1689418,-0.01869912,0.9794673,-0.3268914,0.2186885,0.9194114,-0.3416055,0.2204702,0,15901-16200,4.0
1176.078,58,1.00728e-15,-0.1097798,-0.170936,-0.01916864,0.9789596,-0.3304703,0.2214931,0.9174585,-0.3457343,0.2233454,0,16201-16500,3.0
1176.107,59,6.949075e-16,-0.1103227,-0.1697345,-0.01912511,0.9791085,-0.328157,0.2225281,0.9180382,-0.3433004,0.2244068,0,16501-16800,4.0
1176.147,60,4.811644e-16,-0.1093522,-0.1689528,-0.01886478,0.9793575,-0.3268046,0.2205644,0.9189941,-0.3416649,0.222393,0,16801-17100,5.0
1176.175,61,3.341824e-16,-0.1101247,-0.1702652,-0.01915185,0.9790381,-0.329174,0.2221543,0.9177647,-0.344377,0.2240234,0,17101-17400,4.0
1176.204,62,2.32685e-16,-0.110831,-0.1718886,-0.01946583,0.9786685,-0.332129,0.2236256,0.9163416,-0.3477238,0.2255327,0,17401-17700,3.0
1176.245,63,1.623531e-16,-0.1115517,-0.171416,-0.01953854,0.978668,-0.3311596,0.2250426,0.9163455,-0.346787,0.2269867,0,17701-18000,7.0
1176.273,64,1.134731e-16,-0.1111348,-0.1724242,-0.01958262,0.9785374,-0.3330944,0.2242522,0.9158379,-0.3488311,0.2261756,0,18001-18300,9.0
1176.302,65,1.134731e-16,-0.1117505,-0.1749324,-0.01998825,0.9780138,-0.3377052,0.2255802,0.913821,-0.3539866,0.2275385,0,18301-18600,11.0
1176.342,66,5.565998e-17,-0.1061778,-0.2158826,-0.02362255,0.9703417,-0.4139434,0.2162569,0.8842419,-0.4378311,0.2179791,0,18601-18900,6.0
1176.371,67,3.90432e-17,-0.1011347,-0.2178399,-0.02270166,0.970465,-0.4182201,0.206186,0.8846352,-0.4416191,0.2076755,0,18901-19200,5.0
1176.398,68,3.90432e-17,-0.1015912,-0.2196807,-0.02300797,0.969995,-0.4215035,0.2071946,0.8828393,-0.445438,0.2087065,0,19201-19500,0.0
1176.44,69,1.9255610000000002e-17,-0.1018841,-0.2201397,-0.0231258,0.9698574,-0.4222959,0.2078078,0.8823163,-0.4463994,0.2093333,0,19501-19800,0.0
1176.468,70,1.9255610000000002e-17,-0.1025421,-0.2201591,-0.02327908,0.96978,-0.4222376,0.2091368,0.8820301,-0.4464719,0.2106922,0,19801-20100,0.0
1176.51,71,9.518175e-18,-0.1036615,-0.2206776,-0.02359455,0.9695355,-0.4230177,0.2114205,0.8811114,-0.4475977,0.2130281,0,,
