time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y
393.165,1,-,0.08142902,0.01335688,0.04612643,-0.9955217,-0.01908206,0.1633609,0.9863818,-0.0193431,0.1640964
393.1928,2,-,0.08041053,0.01317933,0.04616313,-0.9956051,-0.01881882,0.1613311,0.9867209,-0.01906976,0.1620392
393.2344,3,-,0.07922377,0.01304337,0.04622693,-0.995699,-0.01864999,0.158972,0.9871069,-0.01889134,0.1596493
393.2629,4,-,0.07765108,0.01300148,0.04630899,-0.9958197,-0.01870237,0.1558571,0.9876025,-0.01893488,0.1564951
393.3041,5,-,0.07342758,0.01271526,0.04603416,-0.9961565,-0.01857242,0.1474614,0.9888934,-0.0187788,0.1480011
393.3322,6,-,0.06935865,0.01236173,0.0455028,-0.9964769,-0.01832433,0.1393536,0.9900731,-0.01850594,0.1398086
393.3602,7,-,0.06409039,0.01156761,0.04515609,-0.9968549,-0.01727432,0.1288223,0.9915172,-0.01742035,0.1291813
393.4015,8,-,0.05557511,0.009846582,0.04487047,-0.9973971,-0.01465454,0.1117445,0.9936289,-0.01474744,0.1119784
393.4296,9,-,0.04893109,0.008822106,0.04442269,-0.9977748,-0.01325765,0.09842822,0.9950559,-0.01332273,0.09858784
393.4706,10,-,0.03861266,0.007183112,0.04406036,-0.9982566,-0.0109386,0.07772366,0.9969149,-0.01097201,0.07780213
393.4988,11,-,0.03278612,0.006145178,0.04343614,-0.9984992,-0.009423706,0.06600768,0.9977746,-0.009444442,0.0660557
393.5278,12,-,0.02674097,0.00512518,0.0426802,-0.9987177,-0.007954597,0.05385084,0.9985173,-0.00796624,0.0538769
393.5681,13,-,0.01431126,0.003158062,0.04162278,-0.9990259,-0.005118623,0.02885753,0.9995704,-0.005120778,0.02886153
393.5962,14,-,0.002809937,0.001624241,0.0404963,-0.9991744,-0.003018217,0.005746786,0.999979,-0.003018271,0.005746818
393.638,15,-,-0.01772374,-0.001114175,0.03874102,-0.9990914,0.0008530539,-0.0355016,0.9993693,0.000853592,-0.03550906
393.6661,16,-,-0.03324311,-0.003587902,0.03788281,-0.9987227,0.004647953,-0.06667314,0.9977641,0.004658335,-0.06672264
