time,frame,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z
655.3076,55,0.1988401,0.1456919,0.02869146,-0.9687173,-0.2708586,0.3936,0.8784729
655.3489,56,0.1981968,0.145983,0.02921985,-0.9687896,-0.271271,0.3925532,0.878814
655.3775,57,0.1976578,0.1460462,0.02922947,-0.9688899,-0.2714505,0.391555,0.8792039
655.4185,58,0.197008,0.1459609,0.02933939,-0.9690317,-0.2713213,0.3903789,0.8797665
655.4471,59,0.1966695,0.145735,0.0292231,-0.969138,-0.27098,0.3897174,0.8801649
655.4755,60,0.1964951,0.1454649,0.02882917,-0.9692258,-0.270647,0.3892834,0.8804593
655.5172,61,0.1963271,0.1451928,0.0286109,-0.969307,-0.2702385,0.3889107,0.8807495
655.5443,62,0.1962927,0.1451245,0.02842528,-0.9693298,-0.2701876,0.3887951,0.8808162
655.5858,63,0.1964789,0.1449019,0.02843813,-0.9693249,-0.2697391,0.3891453,0.8807989
655.6146,64,0.1965915,0.1447738,0.0281257,-0.9693304,-0.2696087,0.389268,0.8807846
655.6426,65,0.1967721,0.1446517,0.02804099,-0.9693145,-0.2693905,0.3895805,0.8807133
655.6836,66,0.1970776,0.1445945,0.02801466,-0.9692616,-0.2692578,0.3901411,0.8805057
655.7119,67,0.1974073,0.1447408,0.02811084,-0.9691699,-0.2694583,0.39078,0.8801609
655.7528,68,0.1975251,0.1447896,0.02859436,-0.9691244,-0.269342,0.3911331,0.8800396
655.7816,69,0.1976359,0.1446116,0.02850139,-0.9691312,-0.2690294,0.3913135,0.8800551
655.8093,70,0.1978408,0.1444266,0.02841883,-0.9691194,-0.2686884,0.3916715,0.88
655.8504,71,0.1977381,0.1440254,0.02843442,-0.9691995,-0.2679335,0.3914859,0.8803127
655.8788,72,0.1975617,0.1437227,0.02838334,-0.969282,-0.2674007,0.3911446,0.8806263
655.9067,73,0.1974684,0.1435253,0.02843321,-0.9693288,-0.267017,0.3909853,0.8808135
655.9486,74,0.1970441,0.143473,0.02862302,-0.9694173,-0.2668905,0.3902492,0.8811782
655.9768,75,0.1967207,0.1434446,0.02860138,-0.9694878,-0.2668826,0.389642,0.8814492
656.0178,76,0.1962711,0.1433002,0.02817767,-0.9696127,-0.2668305,0.3886896,0.8818854
656.046,77,0.1959071,0.1425668,0.02819032,-0.969794,-0.2654756,0.3880171,0.8825902
656.074,78,0.1954912,0.1414447,0.02850255,-0.970033,-0.2632682,0.387329,0.8835531
656.116,79,0.1946462,0.1394846,0.02913921,-0.9704679,-0.2593869,0.3859248,0.8853138
656.1434,80,0.1938204,0.1380979,0.02971733,-0.9708139,-0.2566151,0.3845348,0.8867253
