time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y,TF_eyeClosed,frame_range,count_1
393.2629,3,0.0,0.06415531,-0.07443681,0.004798798,0.9951484,-0.1475356,-0.1284025,0.9806865,-0.1493213,-0.128758,0,1-300,4.0
393.291,4,0.000109603,0.0714796,0.01345894,-0.0009645948,0.9973508,0.02670866,-0.1426064,0.989419,0.02698774,-0.1430943,0,301-600,5.0
393.3188,5,0.000109603,0.07226446,0.0135566,-0.0009823195,0.9972929,0.02689783,-0.1441643,0.9891881,0.02718512,-0.1446684,0,601-900,4.0
393.3466,6,7.085504e-05,0.07163001,0.01342856,-0.000964453,0.9973404,0.02664752,-0.1429049,0.9893776,0.02692711,-0.1433958,0,901-1200,2.0
393.3741,7,4.643816e-05,0.07504439,0.01243475,-0.0009358698,0.9971023,0.02465696,-0.1496771,0.9884275,0.02494047,-0.1502417,0,1201-1500,3.0
393.4163,8,3.079274e-05,0.08114167,0.01281455,-0.001043321,0.9966196,0.02537315,-0.1617615,0.9865037,0.02571461,-0.1624754,0,1501-1800,2.0
393.4439,9,2.06216e-05,0.1423721,0.009815085,-0.001411846,0.9897636,0.01902721,-0.2818571,0.9592677,0.01983254,-0.2857292,0,1801-2100,4.0
393.4853,10,1.39266e-05,0.1649521,0.01015713,-0.001698802,0.9862478,0.01947446,-0.3254017,0.9453753,0.02059679,-0.3314365,0,2101-2400,5.0
393.5136,11,9.470978e-06,0.165086,0.01010054,-0.001690745,0.986226,0.01936459,-0.3256583,0.9452892,0.0204825,-0.3317079,0,2401-2700,3.0
393.541,12,6.480385e-06,0.1659496,0.01072424,-0.001804817,0.9860743,0.02055077,-0.327316,0.9446914,0.02175052,-0.3334618,0,2701-3000,5.0
393.583,13,4.455695e-06,0.1701265,0.01108991,-0.001914723,0.985358,0.02120358,-0.3353134,0.941868,0.02250846,-0.3419379,0,3001-3300,2.0
393.611,14,3.076542e-06,0.1690589,0.01092959,-0.001874848,0.9855436,0.02090926,-0.3332708,0.9425993,0.02217891,-0.3397706,0,3301-3600,4.0
393.6526,15,2.131632e-06,0.1751614,0.01089313,-0.001938141,0.9844776,0.02076912,-0.3449271,0.9383997,0.02212887,-0.3521611,0,3601-3900,8.0
393.6801,16,1.481237e-06,0.1740879,0.01075315,-0.001901138,0.9846696,0.02051467,-0.3428789,0.9391556,0.02184027,-0.3499798,0,3901-4200,5.0
393.7081,17,0.009583923,0.189872,0.01302249,-0.002518648,0.9817193,0.02461241,-0.3728676,0.9275581,0.02652841,-0.3820976,0,4201-4500,7.0
