time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y,TF_eyeClosed,frame_range,count_1
1073.151,3,0.9999841,-0.07633569,-0.09567484,-0.007358936,0.9924541,-0.1887823,0.1529275,0.9700384,-0.1922106,0.1535299,1,1-300,3.0
1073.191,4,0.7548749,-0.07625633,0.03893546,0.002980032,0.9963233,0.07713011,0.152184,0.985338,0.07811853,0.1527776,1,301-600,6.0
1073.221,5,0.0346126,-0.07310259,0.03904432,0.002864105,0.9965557,0.07740095,0.1459253,0.9862631,0.07831848,0.1464482,0,601-900,3.0
1073.26,6,7.361174e-06,-0.03510534,0.02652041,0.0009319107,0.9990312,0.05292401,0.07019209,0.9961286,0.05307978,0.07024986,0,901-1200,3.0
1073.288,7,5.820766e-11,-0.03326845,0.02676578,0.0008912694,0.9990876,0.05342342,0.0665239,0.9963536,0.05356764,0.06657306,0,1201-1500,4.0
1073.317,8,0.0,-0.03431238,0.02611538,0.0008969154,0.9990695,0.05212061,0.06860776,0.9962813,0.0522675,0.06866169,0,1501-1800,5.0
1073.345,9,0.0,-0.03111104,0.02771413,0.000862965,0.9991313,0.0553264,0.06221586,0.9965281,0.05546222,0.06225607,0,1801-2100,3.0
1073.387,10,0.0005483482,-0.008009868,0.05711296,0.00045823,0.9983355,0.1140285,0.01604541,0.9933479,0.1142918,0.0160461,0,2101-2400,5.0
1073.416,11,0.0005716436,0.02922837,0.09728166,-0.00285818,0.9948235,0.1933891,-0.05871023,0.979364,0.1949559,-0.05874401,0,2401-2700,4.0
1073.456,12,0.0,0.03052874,0.1051548,-0.003229678,0.9939819,0.2088467,-0.06136925,0.9760209,0.2107988,-0.06140784,0,2701-3000,3.0
1073.484,13,0.0,0.03131923,0.1069389,-0.003370253,0.9937665,0.2123335,-0.06296883,0.9751664,0.2143944,-0.06301051,0,3001-3300,2.0
1073.512,14,0.0,0.03501947,0.1063072,-0.00374639,0.9937094,0.2110146,-0.0703949,0.9749448,0.2131497,-0.07045317,0,3301-3600,6.0
1073.539,15,0.0,0.03505637,0.106307,-0.003750332,0.9937081,0.2110132,-0.07046898,0.9749398,0.2131494,-0.07052743,0,3601-3900,7.0
1073.581,16,0.0,0.03440248,0.1060209,-0.003670279,0.9937618,0.2104666,-0.069154,0.9751521,0.2125688,-0.06920923,0,3901-4200,5.0
1073.609,17,0.0,0.03500582,0.1057966,-0.003726735,0.9937645,0.2100129,-0.07036364,0.9751633,0.2121219,-0.07042183,0,4201-4500,6.0
1073.651,18,0.0,0.0351202,0.1051882,-0.003717182,0.993825,0.2088161,-0.07058867,0.975404,0.2108983,-0.07064743,0,4501-4800,7.0
1073.681,19,0.0,0.02681875,0.07021693,-0.001888476,0.9971694,0.1399351,-0.05375089,0.9887007,0.1406004,-0.0537768,0,4801-5100,4.0
1073.72,20,0.0,-0.03487739,-0.02909373,-0.001015762,0.9989675,-0.05805653,0.06974187,0.9958742,-0.05823114,0.06979853,0,5101-5400,7.0
1073.748,21,0.0,-0.0807473,-0.1020316,-0.008309713,0.9914638,-0.2009794,0.1618118,0.9661388,-0.2050982,0.1625263,0,5401-5700,8.0
1073.776,22,0.0,-0.08182367,-0.1032984,-0.008526925,0.9912425,-0.203392,0.1639758,0.9652687,-0.2076724,0.1647197,0,5701-6000,3.0
1073.818,23,0.0,-0.08191016,-0.104921,-0.008671587,0.9910637,-0.2065462,0.164176,0.9645646,-0.2109484,0.1649227,0,6001-6300,5.0
1073.846,24,0.0,-0.08245718,-0.1047253,-0.008713438,0.9910386,-0.2061366,0.1652615,0.9644669,-0.2105631,0.1660232,0,6301-6600,9.0
1073.874,25,0.0,-0.08451258,-0.1054759,-0.008996965,0.9907833,-0.2074869,0.1693652,0.9634649,-0.2121153,0.1701856,0,6601-6900,5.0
1073.916,26,0.0,-0.08523131,-0.1060357,-0.009122764,0.9906608,-0.2085358,0.1708053,0.9629841,-0.2132588,0.171647,0,6901-7200,6.0
1073.943,27,0.0,-0.08650995,-0.1074319,-0.00938404,0.9903971,-0.2111768,0.1733747,0.9619488,-0.2161022,0.1742552,0,7201-7500,5.0
1073.985,28,0.0,-0.0868872,-0.1094416,-0.009603748,0.9901419,-0.2150566,0.1741634,0.9609463,-0.2201688,0.1750561,0,7501-7800,5.0
1074.013,29,0.0,-0.0879085,-0.1126672,-0.01000763,0.9896858,-0.2212508,0.1762587,0.9591564,-0.2267068,0.1771843,0,7801-8100,2.0
1074.04,30,0.0,-0.08832366,-0.117906,-0.01052937,0.989033,-0.2313659,0.177193,0.9565942,-0.237307,0.1781335,0,8101-8400,2.0
1074.084,31,0.0,-0.1066833,-0.1758187,-0.01917028,0.978437,-0.3399647,0.2155067,0.9154129,-0.355592,0.2172107,0,8401-8700,5.0
1074.124,32,0.0,-0.1074787,-0.1819563,-0.0200125,0.9772102,-0.3513173,0.2173413,0.9106805,-0.3681832,0.2190898,0,8701-9000,3.0
1074.152,33,0.0,-0.1088624,-0.1813894,-0.02020807,0.9771584,-0.3500926,0.2200826,0.9104937,-0.3670807,0.2218992,0,9001-9300,3.0
1074.18,34,0.0,-0.1087457,-0.1848358,-0.02058345,0.9765176,-0.3565141,0.2199933,0.9080202,-0.374135,0.2218076,0,9301-9600,8.0
1074.208,35,0.0,-0.1089777,-0.1838849,-0.02051799,0.9766725,-0.3547186,0.220417,0.9086204,-0.3721967,0.222242,0,9601-9900,8.0
1074.25,36,0.03824344,-0.09682436,-0.1783834,-0.01764187,0.9790267,-0.345868,0.1958813,0.9176088,-0.3604556,0.1971561,0,9901-10200,4.0
1074.277,37,0.03824344,-0.078706,-0.1843755,-0.01481385,0.9795875,-0.358892,0.1596615,0.9196221,-0.372082,0.1603477,0,10201-10500,4.0
1074.319,38,0.08485809,-0.0808005,-0.1864555,-0.01538864,0.9790142,-0.3625983,0.1639483,0.9174113,-0.3763968,0.1646917,0,10501-10800,7.0
1074.347,39,0.04839258,-0.1024548,-0.1898615,-0.0199255,0.9762472,-0.3666206,0.2076086,0.9069113,-0.3841664,0.2091296,0,10801-11100,4.0
1074.375,40,0.04839258,-0.1055826,-0.1890425,-0.0204491,0.9760621,-0.3647162,0.2138418,0.9062305,-0.3826202,0.2155061,0,11101-11400,2.0
1074.417,41,0.0009367839,-0.1063476,-0.1915195,-0.02087945,0.9754869,-0.3692085,0.2154789,0.904021,-0.3877327,0.2171823,0,11401-11700,6.0
1074.444,42,0.0009367839,-0.1100968,-0.1894414,-0.02138147,0.9754658,-0.3648791,0.2228924,0.9039813,-0.3836366,0.2247805,0,11701-12000,4.0
1074.487,43,1.603767e-05,-0.1129841,-0.1924329,-0.02231012,0.9745288,-0.3700214,0.2287989,0.9004084,-0.3899089,0.2308437,0,12001-12300,8.0
1074.515,44,2.608224e-06,-0.1127977,-0.1926988,-0.0223048,0.974498,-0.3705374,0.2284385,0.9002877,-0.3904463,0.2304734,0,12301-12600,7.0
1074.542,45,2.608224e-06,-0.1053034,-0.1947903,-0.02103913,0.9749489,-0.3753902,0.2135273,0.9019359,-0.3943976,0.2151841,0,12601-12900,5.0
1074.585,46,1.029519e-07,-0.1081529,-0.191775,-0.02126782,0.9752297,-0.369449,0.219105,0.9030506,-0.388337,0.2208971,0,12901-13200,10.0
1074.615,47,1.029519e-07,-0.1107411,-0.1968398,-0.02238234,0.9739043,-0.378449,0.2245139,0.897981,-0.3988551,0.2264442,0,13201-13500,4.0
1074.652,48,6.583809e-09,-0.1135595,-0.1939224,-0.02260586,0.9741598,-0.3726885,0.2300177,0.8989967,-0.3929952,0.2320959,0,13501-13800,8.0
