time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y,TF_eyeClosed,frame_range,count_1
453.579,3,0.08516516,-0.01276445,-0.02502218,-0.0003195203,0.9996054,-0.05001644,0.02553481,0.9984219,-0.05005366,0.02553758,0,1-300,7.0
453.6075,4,0.01734497,-0.04981769,-0.02247055,-0.001121107,0.9985049,-0.04476221,0.09953679,0.9940265,-0.0450008,0.09970189,0,301-600,3.0
453.6353,5,0.02436083,-0.05004956,-0.02240486,-0.001123044,0.9984948,-0.04462986,0.09999877,0.9939861,-0.04486975,0.1001662,0,601-900,7.0
453.6641,6,0.02728046,-0.05313072,-0.0215021,-0.001144304,0.9983554,-0.04281188,0.1061359,0.9934296,-0.04306838,0.1063362,0,901-1200,7.0
453.7035,7,0.04257241,-0.01082878,0.02617603,0.0002835682,0.9995987,0.0523249,0.02166371,0.9983951,0.05236111,0.02166541,0,1201-1500,11.0
453.7324,8,0.1144186,-0.01084843,0.02622958,0.0002846645,0.9995971,0.05243184,0.02170305,0.9983886,0.05246826,0.02170476,0,1501-1800,5.0
453.7605,9,0.1188582,0.05101247,0.07542115,-0.003863497,0.9958386,0.1498204,-0.1021831,0.9834188,0.151184,-0.1023618,0,1801-2100,5.0
453.8016,10,0.1351863,0.0574366,0.0791581,-0.004568521,0.9951956,0.1570308,-0.1150446,0.9808701,0.1587463,-0.1152999,0,2101-2400,1.0
453.8305,11,0.1366915,0.05973513,0.07700922,-0.00462221,0.9952286,0.1527313,-0.1196121,0.9810026,0.1544491,-0.1198992,0,2401-2700,3.0
453.8607,12,0.1131746,0.06177235,0.0782689,-0.004859126,0.9950048,0.1551555,-0.1236882,0.9801163,0.1570004,-0.1240058,0,2701-3000,6.0
453.8997,13,0.107177,0.05698807,0.07781975,-0.004455616,0.9953274,0.1544044,-0.114137,0.9813929,0.1560527,-0.1143863,0,3001-3300,6.0
453.9265,14,0.1054594,0.05555378,0.07727575,-0.004312575,0.9954515,0.1533694,-0.1112687,0.9818845,0.1549469,-0.1114996,0,3301-3600,12.0
453.9694,15,0.08664739,0.03965136,0.06403163,-0.002546181,0.9971566,0.1274972,-0.0794033,0.9886554,0.1282523,-0.07948697,0,3601-3900,7.0
453.9986,16,0.06283906,0.03986413,0.06409439,-0.002562386,0.997144,0.1276184,-0.07982902,0.9886055,0.1283793,-0.07991405,0,3901-4200,3.0
